首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,单位：户、人
地    区,合    计,,,"性别比
（女=100）",户籍人口,"少数民族
人口比重
（%）","非农业户口
人口比重
（%）",城乡人口,,家庭户,,,,家庭户类别,,,
,合计,男,女,,,,,城镇人口,乡村人口,户数,人口数,"户规模
（人/户）",,一代户,二代户,三代户,四代以上户
,,,,,,,,,,,,,一人户,,,,
  凤凰县,346814,179454,167360,107.23,400382,75.80,12.38,82472,264342,89360,338808,3.79,9621,19176,46092,23213,879
  花垣县,288581,148786,139795,106.43,304510,83.79,14.54,98331,190250,67622,277769,4.11,5980,11836,33183,21555,1048
  保靖县,278169,144351,133818,107.87,300177,81.70,14.84,85117,193052,68023,264226,3.88,7092,13138,33057,20752,1076
  古丈县,127297,66247,61050,108.51,141987,89.57,16.46,38443,88854,31943,123708,3.87,3010,5847,17026,8748,322
  永顺县,429672,221250,208422,106.15,529887,90.24,12.91,129924,299748,113447,417597,3.68,12020,26099,56488,29394,1466
  龙山县,501590,255517,246073,103.84,573261,69.38,14.92,144510,357080,132463,490492,3.70,13680,28446,67746,34462,1809
,,,,,,,,,,,,,,,,,
广东省,104320459,54400538,49919921,108.98,85024973,1.98,28.77,69030255,35290204,28630609,88979305,3.11,6265124,11749179,12217650,4515753,148027
广州市,12701948,6639745,6062203,109.53,8077303,1.68,51.38,10641408,2060540,3785278,10140810,2.68,979690,1727105,1593008,458192,6973
  荔湾区,898200,456844,441356,103.51,710210,1.33,78.14,868588,29612,302233,804011,2.66,69819,121434,140561,39935,303
  越秀区,1157666,577859,579807,99.66,1173604,1.32,85.36,1157666,,366853,1020629,2.78,76826,135286,173091,58074,402
  海珠区,1558663,799563,759100,105.33,952902,0.87,73.99,1558663,,516621,1324447,2.56,126617,222231,237207,56787,396
  天河区,1432426,759046,673380,112.72,774066,1.32,69.03,1426911,5515,445078,1058169,2.38,146474,238032,171216,35556,274
  白云区,2223150,1198119,1025031,116.89,837433,2.68,41.77,1736955,486195,678481,1679513,2.48,217968,383868,228161,64958,1494
  黄埔区,457930,252497,205433,122.91,201286,1.78,52.30,457930,,164617,392519,2.38,50886,92415,59303,12790,109
  番禺区,1764828,908909,855919,106.19,1010376,2.28,38.49,1413002,351826,516082,1353452,2.62,137426,249406,210291,55543,842
  花都区,945005,491802,453203,108.52,665530,1.50,24.59,609942,335063,210291,690381,3.28,34213,61131,107054,41158,948
  南沙区,259900,142374,117526,121.14,154784,2.17,20.15,178902,80998,78266,210627,2.69,20054,39964,27646,10407,249
  萝岗区,373656,202456,171200,118.26,189907,2.68,39.03,293585,80071,95830,259156,2.70,28881,52482,31905,11202,241
  增城市,1037109,544485,492624,110.53,835935,1.20,24.16,710146,326963,253418,833592,3.29,41031,83603,126547,42312,956
  从化巿,593415,305791,287624,106.32,571270,0.47,26.89,229118,364297,157508,514314,3.27,29495,47253,80026,29470,759
韶关市,2826246,1439912,1386334,103.86,3248519,1.69,36.62,1484761,1341485,883871,2628722,2.97,151336,309160,416108,153063,5540
  武江区,294708,146016,148692,98.20,246535,0.70,62.06,237102,57606,90844,273118,3.01,12804,28785,48081,13610,368
  浈江区,393521,209307,184214,113.62,349580,0.76,67.51,321119,72402,121762,333837,2.74,25820,48643,56968,15803,348
  曲江区,303371,156042,147329,105.91,314037,0.96,43.16,168046,135325,92189,283451,3.07,15832,30631,43389,17494,675
  始兴县,205452,101330,104122,97.32,248878,3.44,20.52,76313,129139,63178,194543,3.08,9968,19676,28705,14227,570
  仁化县,200354,101773,98581,103.24,231907,1.28,28.33,73858,126496,59804,184095,3.08,8440,19835,28183,11375,411
  翁源县,331320,167049,164271,101.69,397818,0.70,18.35,103372,227948,103451,314593,3.04,18720,35050,48936,18666,799
  乳源瑶族自治县,177471,90167,87304,103.28,215618,12.52,19.59,73580,103891,52371,168444,3.22,7917,15519,25516,10869,467
  新丰县,206091,105214,100877,104.30,262464,0.13,32.86,99897,106194,61230,197607,3.23,10178,19483,27987,13134,626
  乐昌市,397779,206751,191028,108.23,509016,0.44,32.68,191457,206322,130115,374617,2.88,23004,49827,59852,19818,618
  南雄市,316179,156263,159916,97.72,472666,1.11,19.41,140017,176162,108927,304417,2.79,18653,41711,48491,18067,658
深圳市,10358381,5613545,4744836,118.31,2510145,4.22,35.46,10358381,,3587005,7573220,2.11,1335870,2502027,925014,158605,1359
  罗湖区,923421,464767,458654,101.33,453628,1.70,54.09,923421,,300373,730536,2.43,92050,167421,111671,21116,165
  福田区,1317511,680575,636936,106.85,613032,2.08,65.02,1317511,,390730,987433,2.53,105872,202015,155938,32531,246
  南山区,1088345,587305,501040,117.22,476082,2.26,64.77,1088345,,397574,863757,2.17,128192,243819,137173,16529,53
  宝安区,4499284,2503891,1995393,125.48,508817,5.86,19.58,4499284,,1664298,3152531,1.89,716485,1331682,287426,44848,342
  龙岗区,2320460,1263100,1057360,119.46,413467,4.32,27.94,2320460,,780624,1699792,2.18,281342,528861,212016,39247,500
  盐田区,209360,113907,95453,119.33,45119,2.55,38.86,209360,,53406,139171,2.61,11929,28229,20790,4334,53
珠海市,1562530,813809,748721,108.69,1053186,2.49,58.19,1369538,192992,476615,1286349,2.70,130755,218770,201195,55599,1051
  香洲区,892685,459921,432764,106.28,572795,2.23,71.42,891483,1202,281764,731421,2.60,81556,132141,121038,28232,353
  斗门区,415882,215921,199961,107.98,341859,2.32,32.84,233093,182789,124629,370255,2.97,30705,50635,53456,19998,540
