首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,单位：人
地    区,15岁及以上人口,,,未婚,,,有配偶,,,离婚,,,丧偶,,,15-64岁妇女,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,"平均活产
子女数","平均存活
子女数"
  隆化县,29308,14889,14419,4869,3136,1733,22301,10883,11418,350,246,104,1788,624,1164,1.59,1.57
  丰宁满族自治县,27995,14209,13786,5024,3032,1992,20979,10354,10625,333,216,117,1659,607,1052,1.49,1.47
  宽城满族自治县,20138,10337,9801,3451,2113,1338,15512,7757,7755,191,132,59,984,335,649,1.53,1.51
  围场满族蒙古族自治县,34167,16993,17174,5090,3125,1965,26686,12996,13690,302,224,78,2089,648,1441,1.61,1.58
沧州市,577122,288858,288264,108872,60827,48045,435163,215633,219530,4783,2999,1784,28304,9399,18905,1.43,1.42
  新华区,17614,8737,8877,2802,1526,1276,13926,6953,6973,234,85,149,652,173,479,1.12,1.11
  运河区,25384,12439,12945,5514,2859,2655,18678,9231,9447,313,124,189,879,225,654,1.04,1.03
  沧县,54544,27498,27046,9845,5580,4265,41650,20694,20956,359,266,93,2690,958,1732,1.53,1.52
  青县,34756,17441,17315,6536,3622,2914,26250,13056,13194,270,171,99,1700,592,1108,1.38,1.36
  东光县,28941,14529,14412,5738,3223,2515,21476,10608,10868,230,160,70,1497,538,959,1.37,1.36
  海兴县,15927,7919,8008,2974,1652,1322,12043,5916,6127,108,80,28,802,271,531,1.61,1.59
  盐山县,35388,17921,17467,8327,4451,3876,24997,12563,12434,218,160,58,1846,747,1099,1.42,1.41
  肃宁县,27726,13978,13748,5012,2987,2025,21026,10378,10648,221,150,71,1467,463,1004,1.47,1.46
  南皮县,29010,14552,14458,5431,3041,2390,21858,10807,11051,209,152,57,1512,552,960,1.45,1.44
  吴桥县,21977,10775,11202,3844,2046,1798,16632,8166,8466,174,122,52,1327,441,886,1.32,1.30
  献县,46593,23179,23414,9552,5223,4329,34428,16933,17495,316,244,72,2297,779,1518,1.52,1.50
  孟村回族自治县,15527,7821,7706,3066,1678,1388,11517,5752,5765,124,89,35,820,302,518,1.56,1.55
  泊头巿,46455,23150,23305,8516,4753,3763,35226,17387,17839,362,250,112,2351,760,1591,1.43,1.42
  任丘市,68454,34188,34266,12113,6916,5197,52447,25960,26487,824,425,399,3070,887,2183,1.41,1.40
  黄骅市,44239,22567,21672,8660,5075,3585,33362,16723,16639,290,165,125,1927,604,1323,1.49,1.48
  河间市,64587,32164,32423,10942,6195,4747,49647,24506,25141,531,356,175,3467,1107,2360,1.53,1.52
廊坊市,367196,185150,182046,83298,45878,37420,263105,131702,131403,3347,1925,1422,17446,5645,11801,1.28,1.27
  安次区,31930,15887,16043,9407,4890,4517,20757,10361,10396,278,157,121,1488,479,1009,1.07,1.07
  广阳区,43915,21621,22294,10536,5431,5105,31234,15446,15788,532,221,311,1613,523,1090,0.99,0.99
  固安县,34775,17360,17415,7679,4223,3456,24916,12332,12584,249,171,78,1931,634,1297,1.34,1.33
  永清县,29692,15011,14681,6260,3567,2693,21425,10672,10753,248,172,76,1759,600,1159,1.39,1.38
  香河县,29276,14810,14466,5589,3156,2433,21826,10970,10856,253,151,102,1608,533,1075,1.23,1.22
  大城县,38868,19550,19318,8781,4820,3961,27937,13884,14053,302,201,101,1848,645,1203,1.56,1.56
  文安县,41294,21012,20282,8361,4663,3698,30786,15558,15228,297,197,100,1850,594,1256,1.47,1.46
  大厂回族自治县,10664,5420,5244,2228,1298,930,7768,3925,3843,110,65,45,558,132,426,1.22,1.22
  霸州市,50203,25415,24788,9943,5568,4375,37124,18706,18418,468,272,196,2668,869,1799,1.41,1.40
  三河市,56579,29064,27515,14514,8262,6252,39332,19848,19484,610,318,292,2123,636,1487,1.10,1.10
衡水市,356646,177809,178837,73305,40353,32952,262308,129669,132639,2408,1684,724,18625,6103,12522,1.35,1.34
  桃城区,43535,21263,22272,10426,5194,5232,31046,15380,15666,336,176,160,1727,513,1214,1.06,1.05
  枣强县,31683,15662,16021,5262,2900,2362,24457,12094,12363,201,147,54,1763,521,1242,1.48,1.46
  武邑县,26526,13381,13145,6404,3675,2729,19873,9606,10267,25,17,8,224,83,141,1.32,1.32
  武强县,18129,9104,9025,3703,2052,1651,13274,6605,6669,95,69,26,1057,378,679,1.37,1.36
  饶阳县,24306,12118,12188,4938,2729,2209,17788,8740,9048,196,159,37,1384,490,894,1.33,1.32
  安平县,26444,13357,13087,4584,2588,1996,20052,10054,9998,259,159,100,1549,556,993,1.38,1.36
  故城县,38791,19301,19490,7519,4153,3366,29014,14342,14672,211,169,42,2047,637,1410,1.52,1.51
  景县,42954,21574,21380,9274,5104,4170,30797,15329,15468,311,221,90,2572,920,1652,1.41,1.40
  阜城县,26547,13240,13307,5305,2907,2398,19612,9721,9891,202,141,61,1428,471,957,1.46,1.45
  冀州市,30430,15191,15239,6345,3573,2772,21918,10883,11035,211,158,53,1956,577,1379,1.28,1.27
  深州市,47301,23618,23683,9545,5478,4067,34477,16915,17562,361,268,93,2918,957,1961,1.36,1.35
,,,,,,,,,,,,,,,,,
山西省,2875002,1455922,1419080,649273,367875,281398,2050731,1024451,1026280,30794,19671,11123,144204,43925,100279,1.42,1.41
太原市,356410,179604,176806,100459,54269,46190,237346,119411,117935,4497,2253,2244,14108,3671,10437,1.01,1.01
  小店区,68999,34836,34163,26840,14045,12795,39834,20134,19700,566,249,317,1759,408,1351,0.81,0.80
  迎泽区,51082,24241,26841,12922,5856,7066,35290,17561,17729,773,328,445,2097,496,1601,0.84,0.83
  杏花岭区,55448,27532,27916,11911,6578,5333,39863,19840,20023,942,449,493,2732,665,2067,0.95,0.95
  尖草坪区,36625,18792,17833,11530,6559,4971,23089,11534,11555,541,294,247,1465,405,1060,0.94,0.94
  万柏林区,64801,33541,31260,18805,10667,8138,42824,21849,20975,900,408,492,2272,617,1655,0.93,0.93
  晋源区,17835,8906,8929,4837,2564,2273,12019,6069,5950,183,107,76,796,166,630,1.20,1.19
  清徐县,26295,13344,12951,5828,3304,2524,18951,9551,9400,200,141,59,1316,348,968,1.54,1.53
  阳曲县,9984,5219,4765,2002,1280,722,7205,3627,3578,138,97,41,639,215,424,1.63,1.61
  娄烦县,8423,4389,4034,1825,1079,746,6060,3060,3000,90,71,19,448,179,269,1.78,1.76
  古交市,16918,8804,8114,3959,2337,1622,12211,6186,6025,164,109,55,584,172,412,1.41,1.40
大同市,266000,134162,131838,58821,33009,25812,191272,95405,95867,3628,2156,1472,12279,3592,8687,1.36,1.36
