首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,0岁,,1-4岁,1-4岁,5-9岁,1-4岁,10-14岁,1-4岁,15-19岁,1-4岁,20-24岁,1-4岁,25-29岁,1-4岁,30-34岁,1-4岁,35-39岁,1-4岁,40-44岁,1-4岁,45-49岁,1-4岁,50-54岁,1-4岁,55-59岁,1-4岁,60-64岁,1-4岁,65-69岁,1-4岁,70-74岁,1-4岁,75-79岁,1-4岁,80-84岁,1-4岁,85岁及以上,1-4岁
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
  柞水县,759,643,3795,3384,4036,3443,4350,3870,6880,6567,8106,7780,5523,5002,4884,4319,8251,7087,8297,7049,6351,5149,4834,3711,5133,3855,3744,3159,3374,2731,1988,1658,1056,977,618,589,198,248
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甘肃省,149668,127309,602691,509976,773015,672572,958255,850649,1253158,1182427,1142615,1175949,835598,850420,810650,788762,1203659,1181327,1348508,1314719,1042022,997872,659318,603969,694781,664516,541662,533621,431452,424286,325137,323327,188730,194807,70650,73788,32624,40774
兰州市,15847,13629,66383,57249,80863,71476,89098,80621,147417,140935,241382,221217,132912,134673,127015,124533,171852,161767,183785,172883,154195,147248,111488,105211,103454,100819,70302,70910,54235,61887,48854,52184,32207,31566,12899,11647,5631,5889
  城关区,4686,4197,22014,19069,26184,23336,27133,25304,40972,45081,76417,80996,59963,60750,55839,53361,65701,59282,64315,57179,57932,53347,40405,37451,34505,32120,20649,21099,15450,19575,16180,18986,12086,11828,5476,4803,2588,2486
  七里河区,2373,2107,9660,8608,12084,11161,12810,11968,22849,18000,44954,29308,19866,20793,20377,20652,27105,25227,27998,25552,24857,22966,17866,16505,15750,15115,10682,10531,8174,10050,8311,9163,5867,5444,2395,2016,957,919
  西固区,1192,1059,5467,4817,8028,7054,9727,8674,12572,11627,15889,13432,12591,12135,12428,12573,19296,18241,21672,20189,18100,16786,12832,12103,11307,10747,7441,7744,5802,7801,6515,6732,4066,3463,1574,1241,552,581
  安宁区,881,807,4233,3764,4505,4236,5003,4488,14757,14617,45056,39599,10342,10645,8717,8821,11117,10174,10563,9713,8493,7725,5652,5627,5528,6066,4186,4400,3114,3992,3332,3108,1877,1578,719,523,287,265
  红古区,692,574,2801,2551,3633,3223,3886,3476,4668,4317,4441,4554,4738,4668,5219,4834,7833,7122,8178,7492,5881,6022,4107,4137,4903,4509,3547,3068,2305,2460,1787,1690,992,937,287,306,120,143
  永登县,3091,2508,10895,9117,12408,10341,14069,11985,18510,18268,13787,15045,11030,11045,11043,11071,17832,18147,23529,24244,18068,18460,14472,14046,13776,14388,10030,10604,8278,8418,5280,5954,2890,3348,905,1067,346,494
  皋兰县,897,706,2997,2409,3895,3063,4407,3670,6709,6101,3899,3589,3208,3249,3058,2944,5652,5821,7213,7507,4956,5774,4598,4737,4917,5100,3831,3800,2962,2747,1952,1814,1144,1225,376,417,187,254
  榆中县,2035,1671,8316,6914,10126,9062,12063,11056,26380,22924,36939,34694,11174,11388,10334,10277,17316,17753,20317,21007,15908,16168,11556,10605,12768,12774,9936,9664,8150,6844,5497,4737,3285,3743,1167,1274,594,747
嘉峪关市,937,816,4144,3829,6004,5427,6894,6109,7632,5937,11251,7019,9323,8664,10321,9646,14933,13346,14981,12830,10722,8918,6088,5652,6040,6280,5042,5315,4107,3797,3059,2586,1521,1285,590,411,217,180
  市辖区,937,816,4144,3829,6004,5427,6894,6109,7632,5937,11251,7019,9323,8664,10321,9646,14933,13346,14981,12830,10722,8918,6088,5652,6040,6280,5042,5315,4107,3797,3059,2586,1521,1285,590,411,217,180
金昌市,2216,1652,9933,7634,15077,10774,17279,13813,16358,13377,15410,14769,14471,14627,15668,15695,28298,26881,31390,29489,22153,20637,11855,11284,13387,13276,9862,10159,7596,8312,6442,5716,2902,2845,1045,958,349,461
  金川区,908,713,4269,3611,6602,5380,7779,6670,6998,5864,7153,6607,8024,7834,8800,8941,14927,14038,15776,14500,10785,9484,5458,5389,6399,6774,5025,5253,3689,4180,3667,2757,1521,1318,584,455,191,238
  永昌县,1308,939,5664,4023,8475,5394,9500,7143,9360,7513,8257,8162,6447,6793,6868,6754,13371,12843,15614,14989,11368,11153,6397,5895,6988,6502,4837,4906,3907,4132,2775,2959,1381,1527,461,503,158,223
白银市,8631,7568,33659,27442,46227,38491,69776,61496,104376,98030,77928,74910,55840,54779,50552,46548,79122,77799,89986,87284,69116,64972,46135,44168,45192,44550,33696,33719,27302,28638,21118,20817,12515,12562,4411,4427,2359,2611
  白银区,1079,933,4443,3990,6958,5836,9183,7521,11929,10049,10758,8774,9682,9730,10978,10304,16869,16152,18041,16720,13698,12156,8937,8980,8696,8768,6696,6404,5185,6364,5313,4921,2939,2507,1096,894,436,481
  平川区,898,773,3785,3056,5100,4331,7350,6191,12574,10203,9110,7300,6878,6928,6894,6166,10061,9893,10590,9899,7820,7051,5117,5032,5343,5001,3459,3166,2423,2614,1889,1882,1183,1047,478,380,281,253
  靖远县,2461,2115,10758,8474,13202,10525,20236,18252,29752,29031,21440,21294,16790,15921,13430,11549,21250,20215,21672,20991,15645,15295,11593,11657,10489,11477,8207,8915,6687,6741,4803,4818,2789,2911,1076,1084,669,711
  会宁县,2960,2765,9707,8393,14657,13165,23698,22279,36690,35751,27484,28437,15264,14997,13227,12540,20594,20705,27116,27005,22641,21250,13764,11784,14758,13217,10848,10678,9381,9129,6575,6678,4224,4535,1285,1540,717,835
  景泰县,1233,982,4966,3529,6310,4634,9309,7253,13431,12996,9136,9105,7226,7203,6023,5989,10348,10834,12567,12669,9312,9220,6724,6715,5906,6087,4486,4556,3626,3790,2538,2518,1380,1562,476,529,256,331
天水市,19931,17894,79887,69950,112977,102487,143115,133823,166608,161341,130181,145582,107358,119264,102897,102269,143687,147353,155501,156882,118670,117478,73666,69041,86631,83207,70880,66624,53505,47766,39997,36235,24755,23898,10157,10049,4914,6089
  秦州区,3157,2785,13703,12123,17787,15784,22085,20376,28838,28922,29137,32289,25895,26928,24789,23676,32373,30728,32912,30979,24785,23341,15382,14328,16639,16559,13633,13100,10248,9850,7912,7337,4963,4465,2126,1888,1019,1065
  麦积区,3113,2814,12145,10626,15797,14418,19945,17904,24013,22066,23769,24734,19537,21162,21138,19559,27645,26428,28479,26935,21577,20902,15199,14087,16161,15062,11928,11177,8766,8516,6918,6469,4440,4231,1970,1740,904,994
  清水县,1954,1925,7437,6376,10679,9712,13365,12663,11846,12529,8761,10328,7058,8133,7375,7698,11879,12239,12785,12542,11024,10244,6761,6119,7744,7429,6196,5832,4306,3895,3008,2728,1417,1400,531,555,185,250
  秦安县,3565,3046,11085,9737,18290,16861,26791,25555,30392,29359,16817,19255,12821,14786,12564,13217,19657,22637,24221,26384,18205,19462,11539,10851,14800,13933,12077,11072,9434,8099,7221,6386,4605,4601,1784,2015,974,1325
  甘谷县,3161,2917,14259,12468,22123,20144,26913,25640,33089,32127,22091,25427,17215,21497,14648,16987,21472,24677,23227,25775,17467,19486,10676,10922,13729,13770,11396,11303,9360,7591,7003,6076,4589,4531,1859,1830,933,1335
  武山县,2786,2451,12021,10514,16411,14559,19857,17718,23742,21660,17901,19643,16303,17211,14181,13146,19343,19149,20841,20610,15832,14428,8718,7545,10912,9812,9935,8538,6933,5719,5023,4393,2942,2944,1151,1258,489,649
  张家川回族自治县,2195,1956,9237,8106,11890,11009,14159,13967,14688,14678,11705,13906,8529,9547,8202,7986,11318,11495,13036,13657,9780,9615,5391,5189,6646,6642,5715,5602,4458,4096,2912,2846,1799,1726,736,763,410,471
武威市,9667,7821,39314,31225,53974,41208,73286,56878,98852,86983,81607,82949,58238,58222,50724,47871,86543,86548,100781,102535,78779,81645,48773,44674,50627,48153,35973,36379,28436,28213,20116,20960,12065,13190,4142,4308,1590,1810
  凉州区,5702,4311,24635,18618,29887,21570,36554,26361,53294,45535,50223,50993,35667,36240,29483,27452,48223,47809,54728,55661,43441,46530,26208,25360,28019,27413,18968,19243,15127,14852,10920,11175,6646,6944,2401,2277,921,904
  民勤县,715,678,2907,2658,6452,4985,12332,8901,14873,12614,5493,5307,4074,4150,5762,5606,12350,12879,14994,16621,11692,12410,6607,5861,7966,7200,6136,5777,4621,4424,3416,3551,2183,2631,776,942,286,421
  古浪县,2184,1897,8162,6810,12734,10416,18275,16297,21455,20246,19378,19741,12976,12705,10296,9917,16852,17218,20446,20163,15632,15211,10708,9205,9271,8970,7184,7451,5886,5904,4030,4158,2295,2547,693,738,290,379
  天祝藏族自治县,1066,935,3610,3139,4901,4237,6125,5319,9230,8588,6513,6908,5521,5127,5183,4896,9118,8642,10613,10090,8014,7494,5250,4248,5371,4570,3685,3908,2802,3033,1750,2076,941,1068,272,351,93,106
张掖市,7008,5260,29526,22136,34956,28327,44600,34322,45617,40797,42204,50685,36848,37763,36070,36782,60046,61511,75659,75262,56638,55106,33291,29568,37639,37608,29295,29009,21914,20278,12363,12905,6193,6805,2116,2113,611,684
  甘州区,2728,2017,11435,8465,14167,11452,18151,13385,19745,18087,21445,25619,16201,16935,15993,16447,25846,26288,30907,30426,22843,22704,13112,11921,15345,15509,12090,12171,9237,8180,5399,5346,2832,2694,952,810,276,273
  肃南裕固族自治县,190,134,627,562,873,826,977,952,902,878,1391,1267,1392,1135,1532,1234,2137,1644,2472,2003,1834,1584,1028,788,906,820,634,688,489,531,299,351,139,236,64,75,26,33
  民乐县,1560,1013,7054,4904,7687,5874,8481,6575,8646,7293,6446,8115,6787,6646,6608,6502,10113,10592,14250,13578,10766,10079,6796,5335,6622,6116,5100,5099,3644,3738,2013,2357,943,1212,267,360,72,113
  临泽县,756,662,3025,2539,3452,2979,4951,4065,4276,3916,4037,4816,4105,4156,3845,4082,7415,7683,8701,9038,6652,6380,3855,3282,4867,4492,3513,3131,2649,2215,1384,1389,634,734,253,243,71,85
  高台县,695,669,2741,2326,3347,3107,5493,4400,5253,4743,4378,5168,4282,4231,4159,4448,7020,7483,9808,10047,7324,6957,4009,3631,4763,4827,3830,3535,2906,2500,1558,1478,707,898,274,312,63,76
  山丹县,1079,765,4644,3340,5430,4089,6547,4945,6795,5880,4507,5700,4081,4660,3933,4069,7515,7821,9521,10170,7219,7402,4491,4611,5136,5844,4128,4385,2989,3114,1710,1984,938,1031,306,313,103,104
平凉市,12179,10460,47898,40496,67799,59217,84385,75571,113919,107435,76110,85867,54658,60564,54910,59305,90877,97044,105711,108456,83828,83099,52428,46456,57976,56167,45626,46818,38908,37174,28256,27278,16612,16728,5618,5746,2924,3530
  崆峒区,2540,2131,10823,9462,15506,13466,18161,16052,24394,22460,23492,25359,16673,17446,16748,16604,25277,24223,26756,24454,20450,18976,12194,11089,12786,13253,10224,10997,8947,8926,6596,6283,3775,3588,1569,1374,902,892
  泾川县,1752,1493,6543,5226,9734,8407,13313,12187,16208,14890,9191,10728,5836,6701,5249,6564,10036,12039,13239,15244,11546,12646,7733,6908,8251,7927,6549,7025,6118,5955,4410,4341,2532,2482,704,670,372,396
  灵台县,1177,947,4759,3702,6012,4844,7450,6219,9825,9217,4268,5573,3903,4508,4025,4829,7908,9109,9742,10087,8461,8776,5717,5121,5775,5410,4667,4632,3965,3663,2974,2615,1470,1421,378,389,176,223
  崇信县,590,465,2420,2033,2726,2421,3373,3058,5783,5514,4628,4513,3899,3350,3523,2840,5444,4494,6457,5386,4878,4169,2336,2077,2434,2437,1902,1954,1614,1510,1109,1070,615,545,186,187,87,89
  华亭县,1024,876,4758,4207,5595,5138,6050,5399,8724,8691,6827,7257,7171,6778,7039,6340,10996,9039,11280,9668,8810,7290,5726,4550,5238,4596,3576,3461,2956,2947,2148,1971,1099,1007,363,344,217,177
  庄浪县,2528,2162,9427,7912,14356,12707,18457,16879,23306,21232,14185,16998,8382,11095,8562,11270,13821,18417,16565,20331,12577,13862,8305,8027,10618,10598,8759,8905,6870,6244,4887,4809,3002,3153,1080,1184,524,831
  静宁县,2568,2386,9168,7954,13870,12234,17581,15777,25679,25431,13519,15439,8794,10686,9764,10858,17395,19723,21672,23286,17106,17380,10417,8684,12874,11946,9949,9844,8438,7929,6132,6189,4119,4532,1338,1598,646,922
酒泉市,4641,4070,22006,19788,32194,29045,38210,34491,41588,37518,41743,39956,35284,35972,37574,36974,59879,55904,68842,64105,53755,50922,32062,28559,34118,30282,23872,23035,16968,17928,13295,12260,6361,6106,2468,2207,1000,965
  肃州区,1899,1704,8670,8035,12510,11528,13955,12730,15416,14846,15959,16586,13216,15023,14721,15150,23058,22250,26421,24798,19828,19841,11495,10868,13156,12566,9516,9499,6869,7569,5624,5184,2750,2574,976,886,328,342
  金塔县,595,566,2998,2596,4668,4052,5759,5151,7054,5839,5180,4933,3663,4124,4348,4645,7265,7022,8607,8738,6899,7212,4235,4019,4988,4129,3829,3361,2768,2343,1712,1587,761,858,348,365,106,137
  瓜州县,614,503,3022,2650,4585,4116,5721,4958,6304,5288,6883,6032,5405,4781,5266,4905,8075,7335,9403,8358,7643,6400,4420,3384,4216,3393,2970,2527,2090,2072,1562,1475,755,781,307,267,178,154
  肃北蒙古族自治县,38,45,221,223,313,271,316,280,409,333,920,533,907,533,989,481,1405,677,1282,660,839,545,468,338,401,337,256,234,173,144,97,105,48,64,23,33,16,22
  阿克塞哈萨克族自治县,60,40,263,231,322,275,296,278,175,100,595,354,626,490,604,477,800,545,837,510,545,365,347,260,280,204,149,133,98,69,51,61,27,36,8,15,10,9
  玉门市,703,563,3252,2830,4475,3939,5584,5051,5808,4920,5961,5480,5416,4754,5334,5057,9059,8153,10886,9687,8393,7221,4910,3857,4636,4081,3463,3483,2661,2952,2246,1893,1018,899,413,338,237,179
  敦煌市,732,649,3580,3223,5321,4864,6579,6043,6422,6192,6245,6038,6051,6267,6312,6259,10217,9922,11406,11354,9608,9338,6187,5833,6441,5572,3689,3798,2309,2779,2003,1955,1002,894,393,303,125,122
庆阳市,14698,11908,62438,50619,68741,57297,82549,68919,116639,107894,97474,107916,69952,69768,59674,60539,85806,89202,107954,113463,88531,91403,62502,59296,60737,58807,47256,47394,40424,39339,30938,29938,17492,16517,5846,5448,2770,3103
  西峰区,2462,1980,9916,7937,10592,8657,12071,9780,20692,19415,21138,22854,14191,14203,11982,12064,16368,16088,18995,18870,14191,14658,8845,9191,9450,9442,7035,7010,5770,5785,4281,4405,2356,2460,765,811,358,460
  庆城县,1457,1145,6345,5135,7036,5813,8733,7509,12831,12164,14380,14868,10582,9524,8783,7837,11434,11254,13808,13652,11210,10841,7159,6482,6523,6558,5216,5096,4086,3990,3005,2895,1606,1430,559,479,245,228
  环县,2054,1725,7688,6064,9752,8240,11804,10490,16252,15484,13876,13976,10632,9157,8594,8683,12300,12265,15094,15322,12242,11719,9083,8382,8140,7844,5992,6018,5307,5089,3915,3506,2177,2028,766,622,318,318
  华池县,711,526,3550,2749,3536,3102,4024,3362,5910,5412,6103,6105,5126,4575,3839,3586,4423,4215,6168,6396,5597,5400,4127,3532,2938,2796,2161,2014,1881,1811,1474,1343,825,724,312,265,133,124
  合水县,886,720,4357,3343,4376,3551,5200,3990,7482,6621,6549,7519,4355,4331,4170,3985,6015,5946,7540,7879,6071,6113,4254,3888,4005,3893,3065,3119,2758,2668,2106,1892,1102,969,353,321,144,186
  正宁县,1505,1253,5985,4799,5512,4279,7086,5293,9829,8673,6160,7484,4428,5132,4212,4640,6739,7612,8521,9433,7364,8095,5695,5644,5110,4975,4003,4334,3477,3362,2885,2774,1611,1453,541,474,275,262
  宁县,2654,2195,12508,10317,14082,12011,16522,13757,21211,19594,14489,17704,10109,11491,8972,9581,13740,15583,17623,20325,15527,17532,12320,12332,11771,11397,9643,10003,8021,8274,6374,6515,3851,3543,1296,1249,681,817
  镇原县,2969,2364,12089,10275,13855,11644,17109,14738,22432,20531,14779,17406,10529,11355,9122,10163,14787,16239,20205,21586,16329,17045,11019,9845,12800,11902,10141,9800,9124,8360,6898,6608,3964,3910,1254,1227,616,708
定西市,16101,13604,60582,52195,79293,71937,105647,96883,146141,138818,101739,109032,75387,76964,79358,76786,127852,126620,147833,145700,113668,105531,68472,59373,75426,71225,62192,60847,48481,45432,35381,36946,20292,24167,6492,8609,2829,4789
  安定区,2137,1793,7793,6730,9919,8820,13244,11520,23741,22968,16142,17815,10534,11191,12226,11374,20582,20053,23835,23575,19418,17674,12061,10249,12854,12119,10084,9749,7967,7726,6251,6384,3744,4218,1305,1455,561,803
  通渭县,1725,1314,6712,5206,11242,9966,19169,18090,22628,21765,8826,10216,6218,7309,7201,8150,13628,16643,16764,19266,13632,13978,7511,6632,10608,10378,9097,8510,7875,6325,5678,5553,3630,4314,1028,1392,514,846
  陇西县,2786,2189,10613,8661,13025,11374,19532,16692,25635,23116,15726,16755,11342,11954,12570,12392,22331,22515,25365,25240,18860,18324,10987,9654,12415,12229,10363,10330,8293,7226,6317,6016,3915,4209,1313,1561,558,876
  渭源县,1572,1406,6058,5563,9116,8608,12037,11633,16237,15466,12273,12671,8784,8616,9766,9255,16706,15353,20050,18553,15225,12998,8739,6799,9589,8129,7666,7362,5912,5532,4117,4710,2218,2930,677,1051,289,549
  临洮县,3285,2938,11075,9851,13050,11950,15569,14801,26347,25311,21682,23483,16071,16752,15480,15194,22518,21925,26158,26599,21602,20433,14865,13420,14839,14151,11893,12024,9352,9244,6477,6805,3591,4408,1155,1580,493,1015
  漳县,1340,1128,4623,4047,6242,5698,8609,8150,11354,10728,9735,9680,6505,5652,5676,4863,8977,8565,10817,10067,7107,6359,3739,3383,4407,4195,3972,3756,2993,2784,2054,2192,1052,1240,362,490,152,264
  岷县,3256,2836,13708,12137,16699,15521,17487,15997,20199,19464,17355,18412,15933,15490,16439,15558,23110,21566,24844,22400,17824,15765,10570,9236,10714,10024,9117,9116,6089,6595,4487,5286,2142,2848,652,1080,262,436
陇南市,16950,15325,64853,58443,80277,73405,95418,89530,117434,115425,105446,110222,87839,83172,91566,79394,135084,120260,144551,127800,99956,84764,57799,49456,67374,59267,58887,54089,48182,43804,34521,32744,18893,19173,8218,9430,3716,5051
  武都区,3496,3428,13411,12476,16877,15412,18187,17249,26349,26287,25705,25577,19741,17676,21268,18329,30450,27243,31458,28155,21070,17618,11940,10022,14055,11375,12270,11096,10314,9246,7239,6566,3915,3631,1770,2021,873,1209
  成县,1693,1431,6754,6061,7254,6796,7604,7220,10934,11158,10028,11445,8466,8423,8529,7430,13232,11809,12913,11693,9423,8193,5909,5127,6280,5651,5509,4880,4344,4002,3147,3102,1712,1841,758,903,260,429
  文县,1472,1322,4672,4477,6535,6127,6882,6566,9066,8893,8416,8448,7377,6816,8700,7731,12333,11191,12855,11598,8786,7421,5387,4650,5819,5173,4797,4422,4153,3879,3386,3326,1840,1762,786,854,405,473
  宕昌县,1827,1689,7319,6489,9507,8653,10386,9731,11808,11397,10586,10980,9328,7950,9569,7669,14480,12241,17150,14329,11177,9054,6374,5352,7329,6647,6558,6662,4709,5090,3135,3615,1566,2036,523,817,223,358
  康县,1011,993,4369,3956,4366,4231,4756,4640,7181,6767,5872,6150,6086,5758,8178,6372,11191,9155,11052,9150,7409,5784,4896,3848,5106,4275,4561,3907,3949,3539,3069,2932,1611,1815,701,799,260,366
  西和县,2610,2296,10576,9230,14499,12905,19084,17716,20454,20261,18673,20101,13775,13677,11914,10823,17715,17405,18870,18321,13357,12046,7310,6319,9103,8279,8012,7342,6746,5831,4695,4235,2617,2627,1173,1329,573,773
  礼县,3532,2940,11972,10369,14984,13290,20620,18817,21974,21121,18461,19110,15164,14811,14884,13059,22026,18670,25709,21563,17597,15047,9096,8041,12016,11154,11125,10454,8945,7929,6175,5678,3526,3545,1488,1720,697,928
  徽县,1105,1065,4986,4657,5334,5067,6654,6366,7788,7784,5991,6714,6420,6707,6683,6337,11071,10419,11866,10726,8890,7757,5438,4877,6162,5505,4932,4362,4124,3491,2959,2625,1638,1526,781,795,289,403
  两当县,204,161,794,728,921,924,1245,1225,1880,1757,1714,1697,1482,1354,1841,1644,2586,2127,2678,2265,2247,1844,1449,1220,1504,1208,1123,964,898,797,716,665,468,390,238,192,136,112
临夏回族自治州,15769,12650,62287,50796,69380,59779,79783,71845,97053,96186,86879,95109,69329,70451,65632,66871,84632,85409,88747,88884,67706,64815,41519,39655,41666,41030,36638,36994,31940,31339,24485,24804,13494,14732,5262,6039,3034,4054
  临夏市,1697,1452,6915,5700,8165,7069,9093,8267,12661,12367,11892,12944,10240,10536,10086,10153,13561,13208,13814,13257,10282,10160,6854,6661,7008,6657,5363,5383,4421,4597,3668,3622,1997,2152,747,822,419,576
  临夏县,2982,2199,9791,7681,10529,8660,12198,10359,16430,16138,13243,14852,9940,10091,9505,9853,14367,15292,15792,16256,11587,11700,7502,7538,8461,8177,7362,7240,6564,6010,4664,4787,2466,2978,835,1041,400,653
  康乐县,2021,1633,8553,6866,7687,7114,9691,8853,11340,11472,10011,11607,8143,8366,7146,7477,9505,10082,10387,10664,8490,8490,5299,4841,4748,4701,4297,4296,3732,3929,2975,3241,1574,1828,549,737,339,489
  永靖县,965,866,3837,3454,4623,4208,5458,4682,9075,8262,6943,6964,5729,5691,6314,6063,9794,9305,10210,9732,7531,7007,5055,4677,4865,5032,3804,3944,3384,3210,2493,2422,1512,1567,485,478,237,283
  广河县,2301,1871,8647,7120,9442,8332,12161,11470,12560,12749,11357,11964,8517,9048,8047,8295,8300,8515,8189,8489,6475,6216,3498,3415,3213,3405,3374,3607,2830,3005,2629,2601,1486,1454,799,844,553,688
  和政县,1683,1295,6091,5029,6579,5446,6653,5839,10133,10470,8204,9209,5496,5714,5714,5800,7926,8364,9135,9428,7353,6486,3658,3321,3961,3718,3547,3576,3287,3176,2360,2416,1193,1523,380,473,183,264
  东乡族自治县,2278,1870,10671,8111,12745,10270,13849,11968,13835,13340,14076,15189,13393,13003,11783,11823,11467,10914,10713,10436,8130,7530,4680,4702,4450,4648,4556,4712,3937,3745,2918,2777,1635,1496,844,871,525,617
  积石山保安族东乡族撒拉族自治县,1842,1464,7782,6835,9610,8680,10680,10407,11019,11388,11153,12380,7871,8002,7037,7407,9712,9729,10507,10622,7858,7226,4973,4500,4960,4692,4335,4236,3785,3667,2778,2938,1631,1734,623,773,378,484
甘南藏族自治州,5093,4652,19781,18174,25253,23702,28215,26348,33524,31751,33261,30716,28159,25537,28689,25549,35048,31683,32787,29146,24305,21334,13240,11576,14514,13845,12141,12329,9454,10379,6312,7954,3428,5233,1386,2396,680,1558
  合作市,541,482,1992,1900,2894,2657,3062,2917,4473,4629,6927,5878,3652,3448,4071,3596,4198,3699,3978,3653,3495,3139,1976,1631,1743,1545,1266,1238,951,1130,751,949,421,621,192,296,85,214
  临潭县,997,841,4088,3545,4494,4109,5543,5083,6837,6665,5650,5658,4403,4006,4553,4507,7149,6848,7182,6597,5184,4695,3388,3046,3597,3319,2846,2755,2054,2179,1258,1580,629,988,167,320,80,161
  卓尼县,913,804,2952,2681,3535,3306,4018,3754,4793,4460,4549,4381,4104,3411,4348,3833,5433,4692,5045,4401,3440,3126,1924,1639,2142,2186,1804,1895,1451,1568,813,1102,419,786,167,323,105,219
  舟曲县,863,832,3854,3432,4915,4560,5863,5553,6430,6241,5017,5179,4994,4617,4355,3910,7107,6756,6566,5800,4820,4075,2350,2120,3145,3024,2682,2623,2170,2256,1470,1658,715,996,328,447,146,239
  迭部县,373,360,1466,1306,2127,2050,2315,2193,2456,2187,1969,1803,2126,1995,2464,2225,2605,2451,2488,2204,1725,1430,904,811,1011,1031,921,982,787,876,526,711,256,458,120,228,72,154
  玛曲县,492,488,2070,1949,2743,2517,2418,2267,2959,2435,3215,2506,2906,2680,2773,2292,2728,2125,2238,1778,1527,1141,668,500,666,609,662,697,464,529,312,424,201,290,90,180,44,162
  碌曲县,308,285,1088,1138,1442,1552,1576,1444,1635,1503,1759,1539,1760,1654,1750,1440,1772,1536,1536,1236,1156,1011,508,441,554,527,497,590,427,483,274,397,177,260,70,160,30,115
  夏河县,606,560,2271,2223,3103,2951,3420,3137,3941,3631,4175,3772,4214,3726,4375,3746,4056,3576,3754,3477,2958,2717,1522,1388,1656,1604,1463,1549,1150,1358,908,1133,610,834,252,442,118,294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青海省,37911,33753,154744,142410,199588,186519,217250,204931,251790,237295,251152,235948,220178,206741,254853,234276,301903,267117,295724,263320,223728,199004,127841,114055,118916,113877,87431,89784,69039,75055,53509,55678,31124,32763,12400,13786,4712,6618
西宁市,11777,10417,48734,44424,64473,59284,70702,65507,91446,87664,99714,94455,77627,74408,95956,89657,121945,110303,124857,114102,98022,90600,58690,54193,53979,52328,37566,39750,30237,35914,27154,26839,15642,14602,6186,5396,2072,2086
  城东区,1679,1469,7625,6830,9557,8679,10092,9227,14655,11970,18238,16073,13305,12930,15418,14739,19680,17659,19737,17905,16200,14787,10447,9764,8661,8323,5889,6447,5153,6738,5560,5379,3141,2667,1250,996,434,385
  城中区,1156,1095,5208,4786,6944,6518,7799,7275,11248,10151,11157,11418,9817,10749,12365,12784,15825,15688,17278,16624,14678,14121,9142,8953,7604,7413,5104,5552,4198,5852,4701,4951,3047,2546,1293,1017,461,469
  城西区,796,665,3644,3312,5215,4796,6328,5868,8735,9218,12464,12923,8781,7994,9655,9013,13687,12556,14963,13817,12668,11667,7419,6749,5458,5140,3490,4098,3066,4493,3806,3735,2225,1995,893,663,336,296
  城北区,1357,1217,5805,5149,6864,6287,7377,6793,11830,10734,17391,14229,11014,10865,13413,12308,16856,15046,17439,15720,13291,12037,8608,8264,7324,7243,4561,5307,3881,5405,4425,4119,2392,2162,951,778,287,273
  大通回族土族自治县,2928,2600,11586,10573,15571,14533,17376,16610,19420,19708,17826,17492,15592,14638,19976,18598,23266,21494,22888,21000,17401,16343,10132,8861,10310,10119,7739,7604,5526,5619,3481,3489,1832,2023,696,680,200,207
  湟中县,3247,2792,12340,11308,16049,14429,17103,15260,19621,19891,17040,16550,14720,13111,19588,16967,25260,21088,24652,21890,17582,15910,8905,8176,10823,10563,8064,8168,6314,5703,3916,3823,2221,2404,815,936,272,334
  湟源县,614,579,2526,2466,4273,4042,4627,4474,5937,5992,5598,5770,4398,4121,5541,5248,7371,6772,7900,7146,6202,5735,4037,3426,3799,3527,2719,2574,2099,2104,1265,1343,784,805,288,326,82,122
海东地区,10382,8868,42412,37366,51743,47364,55700,52103,66977,64385,53122,55082,50072,48476,59376,55293,68302,62127,68365,63456,53396,49869,33228,30793,33438,32785,25214,25327,20062,19375,13002,13517,7993,8631,2989,3429,1246,1580
  平安县,687,546,2490,2283,3527,3291,3657,3483,4500,4010,3050,3113,3061,3124,4358,4277,5650,5392,5601,5353,4470,4257,2553,2593,2727,2744,2048,2050,1782,1695,1171,1141,726,728,282,341,114,100
  民和回族土族自治县,2482,2035,10513,9001,12554,11281,15974,14825,19195,18129,14551,14744,12284,11290,14448,13305,16633,14814,16672,15387,12870,11764,7695,7245,7857,7688,5968,6064,4834,4468,3407,3450,2105,2264,746,797,350,429
  乐都县,1281,1223,5537,5129,8098,7578,9394,8893,11902,11364,8461,8835,8297,8121,10756,9552,14147,12631,14273,13043,10512,10327,7463,7038,7531,7541,5606,5551,4395,4221,2837,3057,1784,1950,631,703,237,285
  互助土族自治县,2578,2049,9751,8056,12692,10855,12811,11348,16865,15938,13696,13799,13396,12317,16044,14580,18430,16528,18948,17310,15594,14287,9604,8198,899,8528,6301,6286,4838,4816,2750,2922,1722,1956,590,668,177,219
