首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
地    区,0岁,,1-4岁,1-4岁,5-9岁,1-4岁,10-14岁,1-4岁,15-19岁,1-4岁,20-24岁,1-4岁,25-29岁,1-4岁,30-34岁,1-4岁,35-39岁,1-4岁,40-44岁,1-4岁,45-49岁,1-4岁,50-54岁,1-4岁,55-59岁,1-4岁,60-64岁,1-4岁,65-69岁,1-4岁,70-74岁,1-4岁,75-79岁,1-4岁,80-84岁,1-4岁,85岁及以上,1-4岁
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
  青龙满族自治县,4462,3609,17815,14717,15990,12898,11663,9055,16353,13006,26069,24499,18993,18157,15483,14156,16115,15352,22854,20811,22173,21710,20778,18730,16929,15846,12039,11412,7014,6487,7039,6610,5215,5165,2531,2617,1066,1308
  昌黎县,2729,2454,11600,10824,14482,13713,12751,12164,20000,20845,20065,20395,18290,18344,19837,19014,19363,19652,24477,24413,25297,26269,22807,22236,24864,22777,16422,14646,10582,9516,8122,6724,6061,6231,3469,3998,1707,2557
  抚宁县,2680,2486,10879,10021,13177,12373,12361,11587,17194,16587,25520,24384,16138,16196,17955,17364,19152,18193,23775,22729,22643,22019,20029,19792,21753,21443,14370,14506,9093,8714,7118,6188,4886,4919,2429,3158,1305,1957
  卢龙县,2235,1999,9473,8686,10500,10061,11154,10338,13106,12826,13849,13656,10829,10418,11200,10660,12319,12840,17710,18412,17753,17804,16398,15148,16344,14825,11495,10498,7773,6915,5974,5427,4069,4584,2000,2608,977,1576
邯郸市,71098,59555,349402,289179,363150,296873,255211,215999,343703,325828,493047,522978,403217,437307,291614,289713,326170,323026,379844,378318,310553,313785,282262,275178,266357,268411,192758,202912,107287,118560,85975,100127,58501,75553,27044,41288,10405,22495
  邯山区,1613,1327,7971,6916,9385,8183,9179,8217,11783,10708,30403,27408,15086,16914,13503,14080,16912,17480,15744,16160,14444,14146,13144,13018,12333,12434,8123,8254,4758,5401,4420,5308,2957,3556,1473,1526,589,770
  丛台区,1469,1174,6337,5693,8695,7634,10706,9546,11593,10931,12977,13765,13305,15094,12784,13944,18201,20042,18106,18369,16143,15186,13336,12458,11709,11350,8711,8833,5698,6128,5220,6337,3574,4079,1626,1609,643,773
  复兴区,767,695,3850,3438,4998,4270,4979,4519,4956,4399,8680,6953,9093,7886,8378,7732,10872,9893,9583,8661,8234,7025,6740,6374,6647,6227,5199,4994,3071,3026,2392,2531,1486,1527,678,701,243,326
  峰峰矿区,2341,2070,9712,8287,11875,10046,12919,11231,16209,14944,26453,25163,20197,20229,14519,13733,20593,20326,24198,23131,26474,23515,23446,19445,19532,15113,12876,11034,8107,7676,6318,7500,4317,4904,1839,2082,652,905
  邯郸县,3355,3100,19593,15978,17171,14591,11090,10020,17433,16083,27900,28168,23639,24771,15902,15037,16658,15626,19350,19069,14412,14039,12941,13058,12350,13389,8786,9477,4883,5673,3472,4221,2420,3317,1181,2096,484,1279
  临漳县,4709,4110,28608,22207,29047,22044,13935,11574,22077,21944,33830,40218,24222,29122,16870,17898,16700,18263,22033,25904,17372,21190,16758,18187,17691,18563,12017,12196,7182,6923,5031,5879,3347,4998,1702,3410,794,2045
  成安县,3683,2973,19048,15974,16179,13527,7927,7097,12613,13604,17748,22114,17082,21352,9928,11191,10794,11892,13610,14751,9710,11434,10905,11631,12011,12185,8302,8509,4729,4833,3793,4529,2547,3971,1170,2271,482,1299
  大名县,7592,5996,32308,26145,37635,30596,22820,19449,19512,18910,41146,45503,34923,40662,25157,25502,25231,24675,30687,29038,25169,25365,21152,20468,20426,21273,15644,18999,7692,10381,6889,8470,5047,6460,2667,3748,1189,2509
  涉县,3183,2683,12695,9932,14457,11088,11538,9244,19930,17487,24160,24052,16244,16185,11783,11636,16662,16950,18923,18490,15917,15423,14053,12988,11857,11702,9252,9302,5349,4899,3933,3405,2320,2486,904,1198,243,504
