首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,
地    区,全部数据,,,长表数据,,,,,,,,,,,,
,家庭户,"平均每户
住房间数
（间/户）","人均住房
建筑面积
（平方米/人）",家庭户,住房内有无管道自来水,,住房内有无厨房,,住房内有无厕所,,住房内有无洗澡设施,,住房来源,,,
,,,,,有,无,有,无,有,无,有,无,租赁,自建,购买,其他
  金平苗族瑶族傣族自治县,81579,2.91,17.86,8449,1093,7356,3642,4807,1057,7392,1016,7433,302,7435,453,259
  绿春县,49442,2.77,17.67,4927,2419,2508,2378,2549,898,4029,732,4195,162,4469,212,84
  河口瑶族自治县,30491,1.92,20.19,3151,2287,864,2140,1011,1180,1971,1558,1593,498,1440,1000,213
文山壮族苗族自治州,815164,3.22,27.88,80122,42045,38077,54018,26104,39147,40975,19506,60616,4031,70494,4452,1145
  文山县,121382,3.15,29.99,11924,8090,3834,9428,2496,7892,4032,5064,6860,1394,8228,2108,194
  砚山县,108086,3.16,26.22,10887,4367,6520,7641,3246,6026,4861,2715,8172,687,9519,494,187
  西畴县,58833,3.36,26.92,5715,1853,3862,5161,554,4819,896,1416,4299,162,5381,119,53
  麻栗坡县,65612,3.65,30.99,6614,4940,1674,5685,929,5008,1606,3195,3419,294,5948,290,82
  马关县,91018,3.30,37.58,8207,6877,1330,7142,1065,5495,2712,1623,6584,290,7432,353,132
  丘北县,105607,3.18,34.28,10443,3299,7144,5997,4446,3036,7407,1287,9156,229,9716,341,157
  广南县,169297,3.07,20.80,16793,7607,9186,7961,8832,4315,12478,2295,14498,450,15841,288,214
  富宁县,95329,3.26,23.42,9539,5012,4527,5003,4536,2556,6983,1911,7628,525,8429,459,126
西双版纳傣族自治州,314020,2.46,26.78,29577,21664,7913,21591,7986,12693,16884,18685,10892,3362,18344,6230,1641
  景洪市,151937,2.45,28.16,13641,11530,2111,10645,2996,6954,6687,9761,3880,1961,6824,3952,904
  勐海县,83750,2.50,26.57,8507,4900,3607,5601,2906,2721,5786,4540,3967,626,6705,829,347
  勐腊县,78333,2.44,24.60,7429,5234,2195,5345,2084,3018,4411,4384,3045,775,4815,1449,390
大理白族自治州,918419,3.64,28.72,92113,55385,36728,78232,13881,50265,41848,29608,62505,4901,77958,7199,2055
  大理市,181715,3.47,33.17,17988,13622,4366,15375,2613,10360,7628,9273,8715,2626,10375,4609,378
  漾濞彝族自治县,29412,3.55,30.40,2996,1690,1306,2529,467,1236,1760,975,2021,104,2610,141,141
  祥云县,118703,3.22,30.09,11880,4965,6915,10114,1766,5392,6488,2324,9556,494,10588,521,277
  宾川县,87316,3.77,25.73,8846,4585,4261,7559,1287,5448,3398,3461,5385,258,7832,571,185
  弥渡县,83223,3.47,23.65,8218,4832,3386,6863,1355,2680,5538,1428,6790,265,7544,284,125
  南涧彝族自治县,56751,3.07,26.66,5636,2826,2810,4477,1159,2923,2713,1206,4430,157,5165,153,161
  巍山彝族回族自治县,78884,3.71,28.28,7891,6451,1440,7291,600,6426,1465,4447,3444,245,7324,168,154
  永平县,45619,3.64,37.18,4668,2691,1977,4218,450,3249,1419,1505,3163,165,4286,110,107
  云龙县,58495,3.98,27.56,5921,3378,2543,4795,1126,2824,3097,1385,4536,169,5460,154,138
  洱源县,69318,3.59,20.41,7008,2446,4562,5360,1648,2532,4476,907,6101,127,6564,149,168
  剑川县,41363,5.23,29.97,4195,2967,1228,3821,374,2763,1432,749,3446,96,3943,112,44
  鹤庆县,67620,4.14,30.43,6866,4932,1934,5830,1036,4432,2434,1948,4918,195,6267,227,177
德宏傣族景颇族自治州,315547,2.53,26.88,31995,23759,8236,26172,5823,13539,18456,12236,19759,4148,24156,2505,1186
  瑞丽市,54187,2.42,27.83,5615,3748,1867,4064,1551,3725,1890,3115,2500,1807,2901,662,245
  潞西市,98550,2.50,27.49,10049,8140,1909,8362,1687,4487,5562,3910,6139,1118,7419,1181,331
  梁河县,40725,2.65,34.09,4123,3440,683,3684,439,1008,3115,1259,2864,180,3663,86,194
  盈江县,75560,2.60,24.02,7663,5860,1803,6172,1491,2624,5039,2216,5447,902,6262,193,306
  陇川县,46525,2.50,23.32,4545,2571,1974,3890,655,1695,2850,1736,2809,141,3911,383,110
怒江傈僳族自治州,139018,2.87,19.68,14331,2147,12184,7182,7149,3217,11114,1876,12455,1012,11876,966,477
  泸水县,45543,3.01,24.88,4621,965,3656,2926,1695,1767,2854,976,3645,338,3608,520,155
  福贡县,26472,2.50,17.89,2686,198,2488,860,1826,266,2420,196,2490,137,2363,104,82
  贡山独龙族怒族自治县,11152,2.49,17.35,1192,102,1090,842,350,139,1053,103,1089,95,973,53,71
  兰坪白族普米族自治县,55851,3.00,16.77,5832,882,4950,2554,3278,1045,4787,601,5231,442,4932,289,169
迪庆藏族自治州,91579,4.48,36.99,9729,3415,6314,6937,2792,3067,6662,2649,7080,782,8245,351,351
  香格里拉县,38887,4.57,42.07,4240,2211,2029,3381,859,1675,2565,1720,2520,521,3276,303,140
  德钦县,12950,5.67,40.60,1470,479,991,1123,347,244,1226,345,1125,89,1268,7,106
  维西傈僳族自治县,39742,4.01,30.65,4019,725,3294,2433,1586,1148,2871,584,3435,172,3701,41,105
,,,,,,,,,,,,,,,,
西藏自治区,670838,3.86,28.64,67612,25619,41993,38292,29320,33142,34470,5826,61786,13395,46748,3732,3737
拉萨市,153632,3.38,29.00,15469,10189,5280,11876,3593,11280,4189,3447,12022,5905,6223,2288,1053
  城关区,91611,2.70,30.30,9081,6687,2394,7098,1983,7050,2031,3204,5877,5471,1276,1645,689
  林周县,10435,5.43,26.75,1029,355,674,929,100,757,272,13,1016,48,970,4,7
  当雄县,9312,2.73,18.27,999,46,953,175,824,40,959,6,993,79,380,499,41
  尼木县,5478,3.97,24.08,575,360,215,454,121,446,129,7,568,57,499,4,15
  曲水县,7434,4.51,32.59,746,382,364,603,143,495,251,3,743,24,635,3,84
  堆龙德庆县,13635,4.69,37.28,1339,1048,291,1209,130,1157,182,171,1168,153,1013,116,57
  达孜县,7131,4.12,33.05,737,567,170,669,68,621,116,37,700,24,607,8,98
  墨竹工卡县,8596,4.67,25.47,963,744,219,739,224,714,249,6,957,49,843,9,62
昌都地区,113833,3.69,27.36,11114,2811,8303,4951,6163,4245,6869,456,10658,1328,8817,277,692
  昌都县,24470,3.81,28.92,2358,1093,1265,1194,1164,985,1373,327,2031,694,1379,142,143
  江达县,11883,3.77,21.75,1162,116,1046,684,478,447,715,6,1156,17,1109,2,34
  贡觉县,6658,3.81,24.25,664,94,570,431,233,270,394,17,647,107,520,4,33
  类乌齐县,8771,2.67,28.78,849,45,804,69,780,53,796,5,844,116,675,19,39
  丁青县,10310,3.65,23.38,945,83,862,185,760,146,799,10,935,84,757,76,28
  察雅县,9807,3.91,27.80,914,87,827,380,534,267,647,20,894,40,785,3,86
  八宿县,6999,4.16,29.49,840,136,704,279,561,141,699,17,823,36,700,6,98
  左贡县,7947,3.75,28.78,834,584,250,268,566,522,312,11,823,76,745,11,2
  芒康县,12666,4.09,25.76,1138,448,690,941,197,912,226,25,1113,48,1040,2,48
  洛隆县,8070,3.46,39.14,768,79,689,451,317,465,303,10,758,64,533,5,166
  边坝县,6252,3.01,26.62,642,46,596,69,573,37,605,8,634,46,574,7,15
山南地区,87998,5.07,31.32,8978,4203,4775,6769,2209,5844,3134,574,8404,1227,7354,125,272
  乃东县,19748,4.59,32.96,1942,1392,550,1682,260,1552,390,478,1464,653,1062,104,123
  扎囊县,8158,6.09,39.85,879,365,514,605,274,305,574,11,868,75,781,3,20
  贡嘎县,10142,5.02,29.92,1007,550,457,875,132,686,321,28,979,61,927,4,15
  桑日县,4397,5.38,22.64,420,148,272,94,326,82,338,2,418,8,376,1,35
  琼结县,4570,4.22,18.51,452,52,400,425,27,406,46,3,449,72,380,,
  曲松县,4185,4.93,32.12,440,227,213,415,25,381,59,2,438,39,386,3,12
  措美县,3753,5.53,34.55,381,41,340,203,178,77,304,1,380,38,334,,9
  洛扎县,4696,6.79,39.14,521,3,518,440,81,430,91,4,517,37,483,1,
  加查县,5677,3.11,36.21,569,243,326,395,174,329,240,10,559,60,498,7,4
  隆子县,9723,4.67,22.97,1119,659,460,1045,74,1052,67,27,1092,78,1032,1,8
  错那县,4742,4.25,36.65,431,404,27,164,267,115,316,2,429,66,364,,1
  浪卡子县,8207,6.73,29.46,817,119,698,426,391,429,388,6,811,40,731,1,45
日喀则地区,145401,4.69,31.04,14861,4471,10390,6782,8079,8684,6177,589,14272,1632,12350,280,599
  日喀则市,30132,5.26,37.20,2999,2165,834,2061,938,2151,848,493,2506,933,1614,234,218
  南木林县,13825,4.40,35.43,1381,396,985,708,673,603,778,8,1373,10,1298,2,71
  江孜县,11987,5.82,43.42,1298,875,423,455,843,1191,107,12,1286,42,1213,20,23
  定日县,10685,4.82,27.38,1102,19,1083,271,831,584,518,,1102,19,1005,2,76
  萨迦县,9025,5.53,25.00,893,131,762,428,465,469,424,13,880,51,820,,22
  拉孜县,9523,4.36,19.32,976,14,962,123,853,551,425,,976,54,903,6,13
  昂仁县,11105,3.68,22.61,1143,14,1129,655,488,627,516,9,1134,123,998,3,19
  谢通门县,8350,3.31,18.46,857,196,661,556,301,418,439,2,855,45,763,2,47
  白朗县,7203,5.21,36.81,703,30,673,367,336,525,178,2,701,46,653,2,2
  仁布县,4872,7.06,34.22,522,243,279,444,78,458,64,12,510,10,474,1,37
  康马县,4430,5.03,39.27,490,128,362,52,438,422,68,5,485,69,419,2,
  定结县,3828,4.43,27.28,400,2,398,6,394,5,395,,400,27,372,1,
  仲巴县,5163,2.66,19.01,500,5,495,15,485,13,487,,500,11,473,,16
  亚东县,3213,3.94,47.11,316,119,197,104,212,211,105,15,301,41,244,5,26
  吉隆县,3333,3.88,31.15,375,25,350,216,159,124,251,,375,40,332,,3
  聂拉木县,3540,4.15,26.60,304,90,214,121,183,85,219,11,293,41,248,,15
  萨嘎县,2937,4.04,30.90,361,11,350,174,187,110,251,2,359,33,322,,6
  岗巴县,2250,2.31,21.81,241,8,233,26,215,137,104,5,236,37,199,,5
那曲地区,98035,2.93,25.09,9785,389,9396,3706,6079,618,9167,103,9682,1322,7711,133,619
  那曲县,27531,2.93,30.67,2689,213,2476,765,1924,289,2400,67,2622,759,1659,106,165
  嘉黎县,6157,3.08,27.39,647,18,629,441,206,84,563,,647,74,565,3,5
  比如县,10426,3.87,27.41,1013,83,930,239,774,68,945,17,996,46,837,10,120
  聂荣县,6877,1.98,17.35,745,5,740,366,379,1,744,1,744,49,590,,106
  安多县,8735,2.40,19.71,884,5,879,289,595,9,875,1,883,93,773,,18
  申扎县,4412,2.39,15.08,451,47,404,316,135,50,401,1,450,63,378,2,8
  索县,8443,3.71,33.73,781,8,773,316,465,44,737,7,774,59,689,6,27
  班嘎县,8541,2.08,15.00,826,1,825,8,818,6,820,,826,33,697,3,93
  巴青县,8201,3.59,28.29,874,7,867,742,132,49,825,7,867,105,766,3,
  尼玛县,8712,2.74,17.00,875,2,873,224,651,18,857,2,873,41,757,,77
阿里地区,22962,2.67,18.65,2268,324,1944,525,1743,313,1955,58,2210,378,1121,444,325
  普兰县,2373,3.92,29.39,243,93,150,152,91,116,127,2,241,66,176,,1
  札达县,1698,3.65,24.10,152,9,143,55,97,6,146,,152,21,44,72,15
  噶尔县,4233,3.20,27.75,430,193,237,228,202,149,281,31,399,136,223,40,31
  日土县,2357,3.03,19.58,233,,233,2,231,,233,,233,45,188,,
  革吉县,3611,1.84,12.70,356,26,330,34,322,32,324,22,334,30,40,126,160
  改则县,5341,1.99,13.28,542,1,541,32,510,4,538,1,541,47,204,203,88
  措勤县,3349,2.32,14.97,312,2,310,22,290,6,306,2,310,33,246,3,30
林芝地区,48977,3.59,32.11,5137,3232,1905,3683,1454,2158,2979,599,4538,1603,3172,185,177
  林芝县,15700,2.69,29.28,1624,1268,356,1185,439,988,636,377,1247,948,472,150,54
  工布江达县,7213,3.39,40.13,726,326,400,563,163,422,304,20,706,131,555,4,36
  米林县,5792,4.32,36.26,624,446,178,509,115,259,365,62,562,159,424,10,31
  墨脱县,2317,3.51,15.89,268,36,232,76,192,32,236,8,260,51,211,1,5
  波密县,7414,4.56,30.77,753,378,375,576,177,148,605,65,688,161,563,11,18
  察隅县,5715,3.59,24.51,608,298,310,394,214,94,514,35,573,76,511,8,13
  朗县,4826,4.48,46.25,534,480,54,380,154,215,319,32,502,77,436,1,20
,,,,,,,,,,,,,,,,
陕西省,10718563,3.15,30.20,1082809,620881,461928,882614,200195,894596,188213,390851,691958,125154,720682,211384,25589
西安市,2504155,2.83,32.23,248514,180660,67854,209092,39422,196229,52285,138990,109524,50997,102067,84306,11144
  新城区,196653,1.85,21.09,16797,15419,1378,15295,1502,14820,1977,12691,4106,4282,775,10088,1652
  碑林区,192247,2.29,28.03,18869,18093,776,17987,882,17940,929,15678,3191,4083,531,12136,2119
  莲湖区,256672,2.17,25.73,25694,23442,2252,23034,2660,23115,2579,18675,7019,6489,1661,14514,3030
  灞桥区,184334,2.99,32.14,18566,17212,1354,16759,1807,16556,2010,10995,7571,4641,7336,6341,248
  未央区,238677,2.20,27.52,23935,15949,7986,18940,4995,19087,4848,15741,8194,7543,5129,10273,990
  雁塔区,393151,2.20,28.66,40609,28498,12111,29513,11096,32954,7655,21487,19122,20099,3633,15546,1331
  阎良区,79279,3.76,37.38,7366,6613,753,6795,571,5641,1725,4956,2410,456,4144,2679,87
  临潼区,172270,3.60,34.70,16960,7231,9729,12918,4042,8244,8716,6657,10303,509,13996,2112,343
  长安区,268168,3.45,36.48,27304,15760,11544,21807,5497,17139,10165,12612,14692,1289,20416,4890,709
  蓝田县,142793,3.78,35.25,14625,7849,6776,12703,1922,11356,3269,2124,12501,403,13354,746,122
  周至县,150871,3.77,37.90,15365,8556,6809,13468,1897,12016,3349,4278,11087,338,14147,700,180
  户县,149299,3.00,38.84,14533,9588,4945,12577,1956,9857,4676,7673,6860,380,11776,2116,261
  高陵县,79741,4.74,47.95,7891,6450,1441,7296,595,7504,387,5423,2468,485,5169,2165,72
铜川市,253315,2.77,26.21,23946,14775,9171,19598,4348,19933,4013,6564,17382,2789,13534,6433,1190
  王益区,66949,2.20,22.29,5528,4410,1118,4362,1166,3691,1837,2001,3527,628,1531,2911,458
  印台区,67113,2.48,22.18,6440,3760,2680,4970,1470,6029,411,1277,5163,1266,2999,1645,530
  耀州区,92983,3.28,31.52,9045,5802,3243,8334,711,7280,1765,3085,5960,690,6543,1663,149
  宜君县,26270,3.20,25.47,2933,803,2130,1932,1001,2933,,201,2732,205,2461,214,53
宝鸡市,1028578,3.51,27.26,104378,69857,34521,92539,11839,88311,16067,41093,63285,7026,70792,24918,1642
  渭滨区,143405,2.78,30.28,14380,11777,2603,12589,1791,11815,2565,9899,4481,2215,3136,8768,261
  金台区,126599,2.65,26.90,12696,10835,1861,11098,1598,9927,2769,8347,4349,1862,3070,7466,298
  陈仓区,150228,3.85,26.45,15367,10381,4986,13521,1846,9597,5770,5778,9589,562,12560,2015,230
  凤翔县,129853,3.93,26.74,13015,9139,3876,12850,165,12773,242,4488,8527,222,11346,1329,118
  岐山县,127236,4.21,27.63,12817,9561,3256,10984,1833,12662,155,4279,8538,607,10054,1913,243
  扶风县,103307,3.85,31.94,10221,5047,5174,9493,728,8766,1455,2686,7535,102,9283,723,113
  眉县,79499,4.13,32.85,7937,6249,1688,7315,622,7937,,2943,4994,216,6978,649,94
  陇县,62756,3.02,18.44,7019,1379,5640,6752,267,6639,380,730,6289,255,6144,585,35
  千阳县,35123,3.72,22.59,3601,2674,927,3165,436,2541,1060,752,2849,175,2982,414,30
  麟游县,24693,3.23,20.57,2608,759,1849,1749,859,946,1662,232,2376,320,1949,278,61
  凤县,32773,2.53,21.96,3243,1325,1918,1972,1271,3234,9,703,2540,430,2096,607,110
  太白县,13106,3.30,23.99,1474,731,743,1051,423,1474,,256,1218,60,1194,171,49
咸阳市,1353942,3.79,31.90,134524,79117,55407,117961,16563,91817,42707,50164,84360,6711,100406,25129,2278
  秦都区,147726,3.30,35.24,15029,12956,2073,13771,1258,12724,2305,10687,4342,1569,5046,8085,329
  杨陵区,42918,4.95,43.97,4344,3536,808,4131,213,3763,581,2454,1890,219,3006,1054,65
  渭城区,124979,3.10,32.36,12133,9216,2917,10202,1931,9064,3069,7729,4404,1549,4006,6247,331
  三原县,115781,3.39,34.67,11812,7769,4043,10812,1000,8987,2825,5388,6424,369,9084,2258,101
  泾阳县,122431,4.62,39.32,12073,4529,7544,10764,1309,4387,7686,4774,7299,282,10951,681,159
  乾县,133541,4.52,29.39,13225,3147,10078,9860,3365,3727,9498,1958,11267,85,12409,639,92
  礼泉县,122839,3.96,33.08,12297,4066,8231,9313,2984,4373,7924,2431,9866,414,10842,953,88
  永寿县,47766,4.19,24.36,4716,2533,2183,4634,82,4716,,531,4185,207,4186,264,59
  彬县,85191,3.20,24.74,8714,6479,2235,7799,915,8714,,1856,6858,702,7190,489,333
  长武县,43666,5.12,27.16,4340,2143,2197,3877,463,2522,1818,523,3817,107,3953,162,118
  旬邑县,63696,4.70,22.64,6355,4123,2232,5781,574,6170,185,1094,5261,277,5756,260,62
  淳化县,55310,3.27,24.59,5020,4664,356,4647,373,4741,279,1354,3666,196,4364,267,193
  武功县,98638,4.11,30.44,9678,4567,5111,8484,1194,7053,2625,2612,7066,186,8479,851,162
  兴平市,149460,2.73,34.22,14788,9389,5399,13886,902,10876,3912,6773,8015,549,11134,2919,186
渭南市,1445151,3.64,33.38,141734,85207,56527,119114,22620,141203,531,45521,96213,6445,112966,19562,2761
  临渭区,259353,3.53,34.43,25472,13604,11868,21067,4405,25351,121,11080,14392,1321,17152,6322,677
  华县,92355,2.98,30.08,9223,4536,4687,7537,1686,9222,1,2958,6265,385,7084,1597,157
  潼关县,41336,3.23,27.52,4137,2519,1618,3188,949,4137,,1077,3060,264,3216,550,107
  大荔县,173241,3.98,31.40,16990,11744,5246,15261,1729,16831,159,5339,11651,482,15646,754,108
  合阳县,116770,4.75,33.01,11258,7108,4150,9581,1677,11258,,2410,8848,398,9775,957,128
  澄城县,112531,3.18,36.15,10851,7318,3533,9153,1698,10774,77,2467,8384,976,8055,1589,231
  蒲城县,188118,3.74,32.72,18726,15363,3363,17442,1284,18723,3,6840,11886,639,16514,1374,199
  白水县,76864,3.23,29.00,7783,4053,3730,5070,2713,7783,,1285,6498,594,6258,779,152
  富平县,193171,3.82,39.84,19060,9660,9400,17022,2038,19060,,4639,14421,310,17508,1121,121
  韩城市,114475,3.53,32.49,11267,5430,5837,8255,3012,11097,170,4108,7159,891,7067,2792,517
  华阴市,76937,3.10,29.11,6967,3872,3095,5538,1429,6967,,3318,3649,185,4691,1727,364
延安市,646054,2.34,21.80,67681,28370,39311,29396,38285,55409,12272,12630,55051,14514,42473,10116,578
  宝塔区,148447,2.08,22.07,14657,7010,7647,7264,7393,14193,464,4923,9734,4076,6206,4375,
  延长县,42452,1.92,20.17,4671,846,3825,991,3680,3713,958,517,4154,769,3241,455,206
  延川县,51200,1.85,15.80,5112,1052,4060,812,4300,3259,1853,602,4510,1519,2952,641,
  子长县,63659,1.94,17.35,6713,1924,4789,1320,5393,6518,195,651,6062,1760,4351,602,
  安塞县,48961,2.37,20.87,5087,2418,2669,1902,3185,3120,1967,616,4471,1153,3241,518,175
  志丹县,38718,2.16,18.73,4950,2183,2767,1476,3474,2956,1994,821,4129,1147,3389,414,
  吴旗县,39893,2.85,28.31,4496,2147,2349,3815,681,2879,1617,1167,3329,840,3086,570,
  甘泉县,23680,2.30,21.76,2498,1011,1487,1428,1070,2387,111,494,2004,511,1650,337,
  富县,39941,3.51,22.08,3929,1795,2134,2280,1649,3420,509,390,3539,418,3066,382,63
  洛川县,57964,2.83,26.73,5790,3656,2134,3288,2502,4877,913,952,4838,623,4638,529,
  宜川县,37280,2.45,20.53,3970,1069,2901,1577,2393,3572,398,518,3452,618,2899,359,94
  黄龙县,14990,2.89,23.86,1758,1257,501,1306,452,1214,544,293,1465,122,1365,231,40
  黄陵县,38869,2.53,27.99,4050,2002,2048,1937,2113,3301,749,686,3364,958,2389,703,
汉中市,1093481,3.01,32.78,111902,50983,60919,107336,4566,111708,194,31978,79924,7389,86035,16536,1942
  汉台区,183324,2.60,33.24,17702,13355,4347,15781,1921,17563,139,9174,8528,2641,8465,6234,362
  南郑县,156109,3.27,39.68,15479,6282,9197,15479,,15479,,4151,11328,569,13166,1451,293
  城固县,145855,3.32,31.93,14915,7267,7648,14915,,14915,,4723,10192,803,11772,2203,137
  洋县,120099,3.57,31.91,13009,3999,9010,10650,2359,13009,,2625,10384,596,11371,921,121
  西乡县,115013,2.65,33.37,11287,4381,6906,11282,5,11287,,3127,8160,851,9132,1153,151
  勉县,124923,2.69,32.58,13081,5102,7979,13081,,13081,,3571,9510,352,10694,1831,204
  宁强县,93288,2.98,28.90,9855,2925,6930,9825,30,9825,30,1264,8591,568,8565,595,127
  略阳县,58205,2.78,26.90,6214,3402,2812,5963,251,6189,25,1596,4618,629,4048,1290,247
  镇巴县,74025,3.22,30.94,7617,2403,5214,7617,,7617,,1155,6462,240,6683,486,208
  留坝县,13432,3.01,30.64,1631,992,639,1631,,1631,,356,1275,57,1258,243,73
  佛坪县,9208,3.57,34.06,1112,875,237,1112,,1112,,236,876,83,881,129,19
榆林市,988769,2.49,24.09,101726,50907,50819,60207,41519,73389,28337,20854,80872,22186,67241,9976,2323
  榆阳区,197095,2.15,23.93,20062,15365,4697,15673,4389,18862,1200,6851,13211,6616,9861,3102,483
  神木县,140179,2.21,26.46,14464,11306,3158,9332,5132,7415,7049,4195,10269,5380,6812,1838,434
  府谷县,74066,2.44,26.93,8237,5712,2525,5339,2898,5575,2662,2727,5510,2077,4873,1058,229
  横山县,75646,2.72,23.32,8255,2063,6192,4778,3477,4801,3454,868,7387,1152,6772,276,55
  靖边县,91260,3.01,23.96,9266,5709,3557,7012,2254,7241,2025,1931,7335,1855,6576,608,227
  定边县,83067,3.67,21.63,8724,2817,5907,7266,1458,7375,1349,1376,7348,1612,6326,669,117
  绥德县,94378,2.07,22.73,8895,1746,7149,1411,7484,3117,5778,980,7915,1140,6505,1050,200
  米脂县,46714,2.35,25.31,4768,1088,3680,4509,259,4537,231,645,4123,631,3634,392,111
  佳县,62785,2.87,26.67,6435,2507,3928,2820,3615,6210,225,350,6085,269,5752,210,204
  吴堡县,24480,2.53,20.07,2493,464,2029,600,1893,1125,1368,328,2165,375,1846,201,71
  清涧县,44965,2.20,26.73,4619,1437,3182,935,3684,2067,2552,250,4369,372,3928,252,67
  子洲县,54134,2.16,19.32,5508,693,4815,532,4976,5064,444,353,5155,707,4356,320,125
安康市,773547,3.18,31.54,82695,43806,38889,77247,5448,80945,1750,33575,49120,4147,67373,10004,1171
  汉滨区,240371,3.04,27.98,26368,14931,11437,25578,790,25992,376,10159,16209,1507,19662,4831,368
  汉阴县,76618,3.10,37.78,8343,5254,3089,7947,396,8343,,6803,1540,294,7196,747,106
  石泉县,52785,3.00,31.33,5470,2678,2792,5020,450,5470,,2441,3029,435,4123,851,61
  宁陕县,21305,3.28,30.15,2236,2199,37,2229,7,2236,,851,1385,129,1719,353,35
  紫阳县,84485,3.22,31.90,8807,3535,5272,8178,629,8334,473,2584,6223,321,7699,556,231
  岚皋县,48331,2.97,34.62,5418,2577,2841,5010,408,5267,151,1604,3814,309,4485,549,75
  平利县,58541,3.04,33.52,6068,3379,2689,5466,602,6011,57,2322,3746,320,5150,535,63
  镇坪县,16768,3.09,41.50,1768,1520,248,1654,114,1768,,874,894,38,1410,276,44
  旬阳县,123866,3.54,30.79,12912,4568,8344,11179,1733,12386,526,3660,9252,628,11270,868,146
  白河县,50477,3.54,34.69,5305,3165,2140,4986,319,5138,167,2277,3028,166,4659,438,42
商洛市,631571,3.50,29.55,65709,17199,48510,50124,15585,35652,30057,9482,56227,2950,57795,4404,560
  商州区,145069,3.64,28.13,15163,5332,9831,8681,6482,3639,11524,2269,12894,890,12518,1580,175
  洛南县,115112,4.23,32.07,13081,2471,10610,10508,2573,5785,7296,1152,11929,232,12225,513,111
  丹凤县,77837,3.48,29.54,7798,1529,6269,5604,2194,3011,4787,982,6816,68,7525,167,38
  商南县,62657,3.21,31.87,6411,1324,5087,5035,1376,2557,3854,1443,4968,415,5380,557,59
  山阳县,109958,3.10,25.15,10940,1464,9476,10286,654,10364,576,1547,9393,433,9910,530,67
  镇安县,78204,3.11,30.43,7908,2428,5480,6356,1552,7908,,1458,6450,598,6578,666,66
  柞水县,42734,3.25,34.82,4408,2651,1757,3654,754,2388,2020,631,3777,314,3659,391,44
,,,,,,,,,,,,,,,,
甘肃省,6900369,3.95,23.40,717605,404053,313552,607038,110567,461290,256315,156536,561069,47355,505717,149890,14643
兰州市,1112369,2.63,24.79,110285,84604,25681,93375,16910,84529,25756,46410,63875,20642,32623,52639,4381
  城关区,436644,2.02,25.01,42216,37984,4232,35029,7187,36931,5285,23933,18283,13027,2206,24434,2549
  七里河区,172885,2.47,23.78,17012,13917,3095,15459,1553,14636,2376,8275,8737,2498,3165,10642,707
  西固区,125267,2.50,24.60,12484,11309,1175,11518,966,11220,1264,5894,6590,2211,2231,7706,336
  安宁区,64879,2.26,30.51,6557,5781,776,5787,770,5648,909,3541,3016,1241,1143,3831,342
  红古区,43100,3.14,26.86,4167,3038,1129,3717,450,3005,1162,1471,2696,503,1344,2200,120
  永登县,123676,3.69,25.30,12606,6666,5940,10740,1866,7393,5213,1578,11028,685,9789,1935,197
  皋兰县,40003,4.02,21.76,4062,1907,2155,3303,759,786,3276,473,3589,180,3184,655,43
  榆中县,105915,3.88,22.57,11181,4002,7179,7822,3359,4910,6271,1245,9936,297,9561,1236,87
嘉峪关市,80320,2.35,31.02,7936,7766,170,7469,467,7091,845,4853,3083,999,603,6173,161
  市辖区,80320,2.35,31.02,7936,7766,170,7469,467,7091,845,4853,3083,999,603,6173,161
金昌市,158043,3.16,29.03,15479,12869,2610,13015,2464,9257,6222,5828,9651,1598,6248,7386,247
  金川区,84836,2.28,27.61,7863,7201,662,7026,837,6144,1719,4102,3761,933,1382,5420,128
  永昌县,73207,4.19,30.40,7616,5668,1948,5989,1627,3113,4503,1726,5890,665,4866,1966,119
白银市,447600,3.19,23.12,45327,22960,22367,38620,6707,25867,19460,7970,37357,2434,30053,12213,627
  白银区,98692,2.44,26.25,9697,8642,1055,9191,506,8427,1270,3262,6435,741,1873,6919,164
  平川区,56535,3.20,23.35,5722,4312,1410,5011,711,3287,2435,1779,3943,427,2588,2527,180
  靖远县,108398,3.93,23.83,10824,5073,5751,9086,1738,6970,3854,1021,9803,296,9674,728,126
  会宁县,124313,2.97,20.17,13251,2232,11019,11156,2095,5680,7571,966,12285,613,11789,780,69
  景泰县,59662,3.54,24.47,5833,2701,3132,4176,1657,1503,4330,942,4891,357,4129,1259,88
天水市,815229,4.42,20.29,84347,36617,47730,75669,8678,66862,17485,15518,68829,2536,68518,12131,1162
  秦州区,174306,3.88,21.77,17676,9584,8092,16082,1594,15241,2435,5296,12380,1501,10179,5534,462
  麦积区,144344,4.15,22.52,14521,9471,5050,13233,1288,11476,3045,3827,10694,472,10215,3412,422
  清水县,69437,5.24,19.22,7359,3227,4132,6586,773,5126,2233,506,6853,71,6808,424,56
  秦安县,125226,5.33,20.14,13109,3638,9471,12652,457,12370,739,1099,12010,181,12177,669,82
  甘谷县,131984,4.75,20.35,13810,4412,9398,12542,1268,11332,2478,2057,11753,151,12793,783,83
  武山县,108756,3.13,18.11,11231,3973,7258,9259,1972,7218,4013,1236,9995,102,10165,919,45
  张家川回族自治县,61176,5.44,17.62,6641,2312,4329,5315,1326,4099,2542,1497,5144,58,6181,390,12
