首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,
地    区,全部数据,,,长表数据,,,,,,,,,,,,
,家庭户,"平均每户
住房间数
（间/户）","人均住房
建筑面积
（平方米/人）",家庭户,住房内有无管道自来水,,住房内有无厨房,,住房内有无厕所,,住房内有无洗澡设施,,住房来源,,,
,,,,,有,无,有,无,有,无,有,无,租赁,自建,购买,其他
  河间市,219664,3.54,28.05,22093,20085,2008,21471,622,19071,3022,13283,8810,205,20048,1758,82
廊坊市,1204601,3.81,31.23,122797,115451,7346,117031,5766,100464,22333,94372,28425,5831,88098,27708,1160
  安次区,95083,3.82,33.84,9749,9165,584,9216,533,8020,1729,7360,2389,510,6941,2175,123
  广阳区,144762,3.90,37.77,15079,14275,804,14445,634,13780,1299,12985,2094,1245,4674,8764,396
  固安县,105326,5.51,32.47,10563,9282,1281,10200,363,9532,1031,7490,3073,214,9394,927,28
  永清县,95471,4.71,32.35,9619,7992,1627,8953,666,7951,1668,6263,3356,28,8844,720,27
  香河县,95063,4.15,30.73,9857,9715,142,9724,133,9456,401,9405,452,525,7413,1897,22
  大城县,137393,3.36,27.16,13922,13497,425,13733,189,12378,1544,9070,4852,64,12494,1333,31
  文安县,140655,2.97,28.37,14340,13184,1156,12992,1348,8228,6112,8730,5610,240,12824,1221,55
  大厂回族自治县,37958,4.54,30.06,3918,3888,30,3896,22,3855,63,3734,184,82,3196,621,19
  霸州市,168009,3.68,30.40,16950,15963,987,15425,1525,8924,8026,11488,5462,1196,13483,2103,168
  三河市,184881,3.05,30.23,18800,18490,310,18447,353,18340,460,17847,953,1727,8835,7947,291
衡水市,1258305,3.67,30.99,125296,108881,16415,112478,12818,102202,23094,68733,56563,2264,107938,14020,1074
  桃城区,154407,3.01,30.72,15363,14629,734,14720,643,14128,1235,11500,3863,771,6735,7282,575
  枣强县,120348,3.80,31.62,12134,10443,1691,9626,2508,8858,3276,6833,5301,256,11121,721,36
  武邑县,91936,3.02,22.76,9198,6291,2907,7319,1879,6538,2660,4653,4545,113,8579,484,22
