首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,单位：人
地    区,"16岁及以上
人口","各种职业人口
总计",,,,,,,,"各种未工作
人口总计",,,,,,,,,
,,,国家机关、党群组织、企业、事业单位负责人,专业技术人员,"办事人员和
有关人员","商业、服务业
人员","农、林、牧、
渔、水利业
生产人员","生产、运输
设备操作人员
及有关人员","不便分类的
其他从业人员",,在校学生,丧失工作能力,毕业后未工作,"因单位原因
失去工作","因本人原因
失去工作",承包土地被征用,离退休,料理家务,其他
  迎泽区,50403,27565,1002,6577,4630,10760,146,4414,36,22838,6634,465,717,672,395,13,9056,3115,1771
  杏花岭区,54695,26078,1198,5955,3719,7837,213,7129,27,28617,5813,802,1142,1550,781,11,11360,5184,1974
  尖草坪区,36053,15050,433,2332,1028,4360,1607,5251,39,21003,7966,706,658,621,324,57,5278,4591,802
  万柏林区,63990,31889,1125,6147,3460,11661,236,9215,45,32101,10071,768,1247,776,711,42,8946,8012,1528
  晋源区,17481,8119,325,906,572,2010,1425,2880,1,9362,2768,629,355,200,158,104,1473,3258,417
  清徐县,25642,16670,315,1035,577,2152,9021,3524,46,8972,2143,1662,352,67,64,53,650,3406,575
  阳曲县,9789,5701,63,304,233,576,3589,936,,4088,624,962,140,44,41,13,310,1641,313
  娄烦县,8187,3494,59,336,202,380,1745,755,17,4693,597,653,213,43,79,20,172,2121,795
  古交市,16508,7257,337,983,482,1193,1182,2959,121,9251,1586,689,650,204,112,15,756,4076,1163
大同市,260380,142998,1754,12584,8216,22314,62813,35252,65,117382,23269,10768,6296,3395,1626,198,19996,42702,9132
  城区,56588,26569,781,5715,4272,6899,96,8802,4,30019,4744,428,1741,1943,390,49,10290,6864,3570
  矿区,41326,14902,150,2245,1610,2482,58,8352,5,26424,3670,681,2107,986,526,10,5733,10065,2646
  南郊区,32607,18464,151,835,498,4997,5355,6627,1,14143,4002,1330,611,87,347,92,887,6269,518
  新荣区,8176,4763,27,192,107,383,3180,869,5,3413,578,471,244,29,82,,87,1669,253
  阳高县,21754,15682,134,558,252,830,12698,1210,,6072,1824,1454,212,74,29,1,606,1698,174
  天镇县,15952,10588,50,372,130,829,7977,1230,,5364,1428,933,170,28,19,1,346,2263,176
  广灵县,13342,8508,32,450,181,811,6279,755,,4834,1072,734,136,37,19,,320,2317,199
  灵丘县,17832,9948,90,479,325,1024,6529,1501,,7884,1355,1055,315,49,65,17,573,3663,792
  浑源县,26526,18149,167,693,414,1996,12342,2534,3,8377,2122,1740,258,83,35,11,616,3042,470
  左云县,12265,6573,80,680,211,1046,3213,1303,40,5692,1391,823,296,50,73,13,298,2570,178
  大同县,14012,8852,92,365,216,1017,5086,2069,7,5160,1083,1119,206,29,41,4,240,2282,156
阳泉市,109453,59752,1416,6449,5152,13959,14362,18307,107,49701,6896,4981,2355,1324,1065,38,9578,20202,3262
  城区,16311,9199,328,1573,2072,3203,8,2015,,7112,1048,182,257,416,125,1,3075,1552,456
  矿区,20589,10569,289,1512,1164,2325,18,5255,6,10020,1372,317,595,229,367,,3101,3727,312
  郊区,23080,11801,311,1255,930,4405,955,3929,16,11279,1707,1154,431,201,334,12,1707,4775,958
  平定县,24434,13019,222,999,556,2018,5195,3986,43,11415,1272,1850,363,262,141,15,831,5819,862
  盂县,25039,15164,266,1110,430,2008,8186,3122,42,9875,1497,1478,709,216,98,10,864,4329,674
长治市,263034,175056,2185,11930,8343,24988,94560,32967,83,87978,20235,13163,4684,1346,1533,169,12038,28556,6254
  城区,39983,20819,273,3745,3383,7890,279,5225,24,19164,5874,538,866,595,509,66,5721,3641,1354
  郊区,22343,14106,187,1185,814,3276,3316,5314,14,8237,1383,813,493,98,184,7,1592,3068,599
  长治县,27476,19751,286,754,538,1784,12220,4168,1,7725,1761,1511,409,67,109,19,654,2724,471
  襄垣县,20903,13296,159,902,687,1282,7233,3031,2,7607,1342,1071,605,71,109,36,801,2855,717
  屯留县,20878,16066,175,634,459,1063,11656,2079,,4812,1352,1149,276,49,35,5,338,1446,162
  平顺县,11652,8153,163,458,203,650,6115,564,,3499,763,709,147,42,72,8,166,1325,267
  黎城县,12173,8918,75,433,340,671,6009,1390,,3255,590,690,133,47,30,1,306,1257,201
  壶关县,22566,15406,158,529,221,1557,10864,2076,1,7160,1381,1615,551,60,155,2,435,2455,506
  长子县,26578,18324,117,663,257,2171,12746,2336,34,8254,1775,1658,351,45,68,10,480,3053,814
  武乡县,14261,9949,129,584,242,965,7061,968,,4312,724,973,172,75,65,4,284,1672,343
  沁县,13909,9692,65,438,184,781,7554,670,,4217,1236,760,293,105,58,6,399,1135,225
  沁源县,12734,8510,182,667,545,1524,3709,1883,,4224,874,718,113,34,59,4,295,1863,264
  潞城市,17578,12066,216,938,470,1374,5798,3263,7,5512,1180,958,275,58,80,1,567,2062,331
晋城市,177234,115173,2546,8109,7230,17247,51422,28541,78,62061,10454,10164,2766,1121,1076,117,6140,25760,4463
  城区,36859,22579,886,3202,3745,6546,660,7534,6,14280,2949,691,662,392,484,48,2549,5327,1178
  沁水县,16680,10902,206,684,499,1319,5655,2485,54,5778,673,1120,222,114,30,20,494,2672,433
  阳城县,29807,19625,445,1287,754,2565,9580,4990,4,10182,1797,2097,301,199,173,6,880,3934,795
  陵川县,18374,12676,223,549,365,1207,8810,1522,,5698,748,1359,277,85,83,5,409,2330,402
  泽州县,37723,25478,161,1026,620,2473,15332,5854,12,12245,2411,2448,490,72,97,12,652,5227,836
  高平市,37791,23913,625,1361,1247,3137,11385,6156,2,13878,1876,2449,814,259,209,26,1156,6270,819
朔州市,130840,77065,1279,6045,3005,16006,36212,14504,14,53775,13503,7322,2914,424,500,177,3455,21773,3707
  朔城区,36894,22429,529,2701,1156,5417,9162,3458,6,14465,3784,1722,654,134,90,41,1364,5760,916
  平鲁区,15583,8605,98,440,386,1194,4902,1585,,6978,1920,956,502,38,95,70,271,2620,506
  山阴县,19232,10538,227,683,476,1174,5787,2191,,8694,2005,1242,390,81,107,23,454,3597,795
  应县,24786,15773,27,482,134,4695,8977,1458,,9013,2319,1811,358,71,51,11,354,3226,812
  右玉县,8850,5830,112,334,213,728,3267,1173,3,3020,637,528,168,24,55,4,171,1289,144
  怀仁县,25495,13890,286,1405,640,2798,4117,4639,5,11605,2838,1063,842,76,102,28,841,5281,534
晋中市,255808,158712,3015,11835,9117,24710,67210,42731,94,97096,17871,13981,2936,2386,1249,196,13502,38386,6589
  榆次区,51512,28466,580,3210,2813,6479,7603,7723,58,23046,5376,2178,669,891,271,69,5202,6641,1749
  榆社县,10861,6355,66,384,355,869,3264,1417,,4506,740,595,138,79,44,12,315,2084,499
  左权县,12978,9665,189,571,364,981,5772,1788,,3313,777,686,100,27,46,,312,1125,240
  和顺县,11792,7127,118,405,418,1460,3709,1017,,4665,509,590,242,115,28,,344,2465,372
  昔阳县,18113,13320,199,617,425,1423,8183,2473,,4793,620,1123,103,101,54,7,535,2113,137
  寿阳县,17363,11289,252,719,367,1156,6169,2617,9,6074,578,1191,174,146,59,28,721,2799,378
  太谷县,23902,14922,346,1284,461,1750,7208,3873,,8980,3223,1227,129,138,67,11,1260,2488,437
  祁县,20582,13721,177,798,549,1964,5928,4303,2,6861,928,1108,138,93,56,14,763,3227,534
  平遥县,37527,22204,266,1203,814,2673,11219,6025,4,15323,2700,2596,434,311,121,28,1469,6793,871
  灵石县,19751,11106,282,999,1102,2198,2459,4046,20,8645,873,1161,418,168,229,23,878,4195,700
  介休市,31427,20537,540,1645,1449,3757,5696,7449,1,10890,1547,1526,391,317,274,4,1703,4456,672
运城市,403949,296703,2643,13194,7083,31345,209784,32381,273,107246,33695,22432,4141,1106,836,401,9904,27359,7372
  盐湖区,56380,38015,500,3482,1963,7648,20621,3774,27,18365,7556,2616,504,212,217,286,2378,3810,786
  临猗县,44739,37200,176,916,293,1472,32858,1485,,7539,2973,2466,158,54,53,2,443,872,518
  万荣县,33839,26656,124,698,297,1577,22472,1488,,7183,2368,2429,321,37,32,9,299,1425,263
  闻喜县,32204,23123,526,1020,493,2152,11976,6815,141,9081,2014,1984,474,170,57,15,798,3025,544
  稷山县,27060,18939,182,812,290,2023,12900,2719,13,8121,2627,1654,274,45,48,4,404,2383,682
  新绛县,24446,18756,83,729,318,1644,13800,2182,,5690,1832,1435,139,97,35,15,597,1379,161
  绛县,21385,15343,243,626,338,2195,10070,1871,,6042,1369,1092,220,25,63,1,896,2001,375
  垣曲县,17797,11950,176,682,439,1495,7471,1687,,5847,1132,883,280,80,85,28,1009,1885,465
  夏县,28224,22730,52,495,244,1685,19181,991,82,5494,1722,1751,214,28,35,2,314,987,441
  平陆县,20656,14187,44,369,204,890,11969,709,2,6469,1423,1338,356,44,43,11,297,1785,1172
  芮城县,30516,24205,121,836,449,2136,19046,1612,5,6311,2503,1602,126,46,24,,444,1136,430
  永济市,35642,27007,151,1208,745,3871,18913,2117,2,8635,3247,1994,212,218,61,10,1182,1325,386
  河津市,31061,18592,265,1321,1010,2557,8507,4931,1,12469,2929,1188,863,50,83,18,843,5346,1149
忻州市,242572,148718,1865,9035,6013,18239,89575,23987,4,93854,17893,16118,4612,1632,964,159,8676,37065,6735
  忻府区,43533,26708,442,2348,1727,4316,13146,4729,,16825,4779,2415,637,584,188,37,2449,4784,952
  定襄县,16883,10699,163,578,386,881,6064,2625,2,6184,750,1030,321,140,66,7,647,2825,398
  五台县,24169,13512,83,736,473,1662,9151,1407,,10657,1720,2045,534,68,98,10,772,4796,614
  代县,16630,10138,154,453,358,1171,6513,1489,,6492,917,1156,267,88,79,6,615,2720,644
  繁峙县,21251,12354,180,649,249,1570,8220,1486,,8897,1528,1393,502,56,92,6,445,4249,626
  宁武县,12739,6918,98,491,307,882,3715,1424,1,5821,609,782,505,73,68,18,414,2788,564
  静乐县,12932,7857,52,394,305,778,5194,1133,1,5075,959,800,225,37,74,9,223,2039,709
  神池县,8457,5425,18,173,97,593,4183,361,,3032,610,672,222,64,42,34,146,988,254
  五寨县,9094,6002,59,325,192,572,4275,579,,3092,881,556,138,34,21,,241,1017,204
  岢岚县,6813,4684,59,216,148,395,3317,549,,2129,452,452,102,13,8,4,149,874,75
  河曲县,11813,7440,118,492,315,829,3888,1798,,4373,865,800,200,98,37,2,373,1803,195
  保德县,12142,7615,69,431,367,1201,3540,2007,,4527,1221,741,242,19,24,19,205,1813,243
  偏关县,8607,5434,104,445,134,408,3808,535,,3173,638,651,162,73,17,,247,1198,187
  原平市,37509,23932,266,1304,955,2981,14561,3865,,13577,1964,2625,555,285,150,7,1750,5171,1070
临汾市,336694,217022,2766,14326,9333,32339,119712,38480,66,119672,26591,17514,6033,1869,1509,375,11796,43728,10257
  尧都区,72362,41143,981,4883,2605,11040,13145,8449,40,31219,8948,2664,1401,898,497,164,4230,9344,3073
  曲沃县,18774,12976,126,609,494,1602,7732,2410,3,5798,1225,1174,204,60,38,16,396,2226,459
  翼城县,25192,16771,259,953,410,1618,10561,2966,4,8421,1820,1500,355,117,103,6,658,2982,880
  襄汾县,35672,25303,286,836,408,1552,19510,2710,1,10369,2466,2457,300,108,138,20,713,3467,700
  洪洞县,56210,38703,212,1971,754,5451,22746,7568,1,17507,3795,3298,727,40,204,15,978,7217,1233
  古县,7587,5122,58,347,413,502,2525,1277,,2465,471,432,103,20,23,5,138,1074,199
  安泽县,6244,4790,107,259,227,496,2909,792,,1454,249,315,63,16,12,3,157,569,70
  浮山县,9754,6518,45,320,335,745,4078,995,,3236,465,579,173,49,22,2,298,1272,376
  吉县,8154,5854,8,313,214,543,4362,414,,2300,535,444,118,9,18,3,163,851,159
  乡宁县,18584,12735,106,677,499,1235,8264,1940,14,5849,1288,997,377,39,101,3,248,2260,536
  大宁县,5079,2783,17,150,199,296,1873,248,,2296,296,270,345,17,19,2,145,834,368
  隰县,7840,5281,101,263,178,640,3868,231,,2559,562,372,173,36,22,2,236,1065,91
  永和县,5149,3509,37,136,105,382,2451,398,,1640,394,267,92,14,21,2,89,655,106
  蒲县,7512,4860,32,272,380,514,2911,751,,2652,442,392,186,22,36,16,166,1112,280
  汾西县,10736,6306,55,359,298,534,4595,465,,4430,795,750,395,43,62,4,214,1891,276
  侯马市,19661,12172,197,1127,955,3309,3238,3346,,7489,1039,730,295,274,98,22,2009,2323,699
  霍州市,22184,12196,139,851,859,1880,4944,3520,3,9988,1801,873,726,107,95,90,958,4586,752
吕梁市,279678,160795,2327,11197,6151,24997,78291,37810,22,118883,26188,15309,5700,964,1349,355,6399,54506,8113
  离石区,24787,11091,336,1693,1232,2308,1858,3664,,13696,4225,809,782,92,196,53,854,5681,1004
  文水县,31241,18570,239,1078,611,2051,10193,4398,,12671,2587,1771,425,108,90,16,664,6181,829
  交城县,17802,9073,181,834,320,2119,2328,3291,,8729,1641,1052,413,72,100,7,490,4569,385
  兴县,21646,15124,164,724,433,2081,9296,2426,,6522,2105,1164,281,45,101,20,313,1980,513
  临县,44481,30339,121,949,336,3989,19631,5304,9,14142,3101,2807,657,41,122,27,544,5929,914
  柳林县,23206,11485,205,891,367,1917,4213,3892,,11721,2341,1235,635,65,126,52,348,6198,721
  石楼县,7892,5529,81,197,58,693,4108,392,,2363,743,420,83,4,18,4,110,851,130
  岚县,12517,7688,93,290,170,683,5479,972,1,4829,1069,685,207,27,31,5,175,2245,385
  方山县,10698,6339,44,353,194,525,4188,1034,1,4359,627,530,282,13,27,7,140,2339,394
  中阳县,10312,5082,133,448,327,467,1309,2398,,5230,844,411,285,43,55,37,246,3023,286
  交口县,9107,4409,45,328,196,815,2421,603,1,4698,867,577,297,46,100,17,157,2032,605
  孝义市,35153,16897,565,2120,1039,4320,3775,5068,10,18256,3570,1936,908,183,257,77,1389,8497,1439
  汾阳市,30836,19169,120,1292,868,3029,9492,4368,,11667,2468,1912,445,225,126,33,969,4981,508
,,,,,,,,,,,,,,,,,,,
内蒙古自治区,1948123,1285021,20598,101924,62105,211089,642431,245000,1874,663102,130593,90658,20907,12803,10946,3101,122439,213511,58144
呼和浩特市,236602,134300,2479,18000,12378,32492,38815,29907,229,102302,31422,7871,3276,2584,1442,399,18889,28749,7670
  新城区,46382,24660,801,5460,2943,8625,561,6138,132,21722,6132,752,719,773,297,18,5266,5823,1942
  回民区,32675,16334,112,2183,2420,6218,238,5161,2,16341,4833,549,549,525,263,89,4181,4028,1324
  玉泉区,31289,17981,411,2044,1332,6698,1204,6223,69,13308,3124,695,495,339,453,21,2685,4612,884
  赛罕区,52966,27142,750,4936,4392,6583,4507,5971,3,25824,10872,1259,660,842,272,261,5016,4991,1651
  土默特左旗,26414,16821,184,1815,416,1674,10771,1941,20,9593,2693,1611,335,45,65,1,652,3288,903
  托克托县,15210,9811,46,552,221,888,6425,1676,3,5399,842,865,238,9,29,1,407,2589,419
  和林格尔县,14258,10004,78,416,269,912,7154,1175,,4254,1907,779,102,19,34,2,207,1060,144
  清水河县,7928,5283,33,265,189,266,3539,991,,2645,567,424,103,8,10,1,205,1044,283
  武川县,9480,6264,64,329,196,628,4416,631,,3216,452,937,75,24,19,5,270,1314,120
包头市,217615,123206,2370,13838,8283,32914,25052,40357,392,94409,17604,6293,3308,2611,1614,775,26875,27453,7876
  东河区,43532,21165,312,2350,1572,8783,1858,6147,143,22367,3507,1077,1104,816,479,87,7024,5951,2322
  昆都仑区,60033,32649,791,4790,2100,9833,492,14451,192,27384,5458,848,956,830,483,238,9068,7656,1847
  青山区,49818,27174,657,4501,3288,8239,738,9737,14,22644,5094,547,571,607,365,271,8333,4927,1929
  石拐区,1947,853,30,52,54,169,242,305,1,1094,82,189,50,38,21,39,186,408,81
  白云鄂博矿区,2052,1315,63,105,70,285,6,786,,737,64,29,16,14,10,1,177,382,44
  九原区,15438,9362,188,638,458,1926,2148,3990,14,6076,758,470,195,138,94,80,774,2957,610
  土默特右旗,21671,15031,233,676,370,1417,9808,2527,,6640,1362,1540,164,68,69,27,658,2477,275
  固阳县,14395,9677,45,363,166,1186,6596,1294,27,4718,780,1063,161,55,54,11,331,1592,671
  达尔罕茂明安联合旗,8729,5980,51,363,205,1076,3164,1120,1,2749,499,530,91,45,39,21,324,1103,97
乌海市,42627,25101,1017,2770,1810,6292,1416,11783,13,17526,2630,914,506,554,464,20,5557,5533,1348
  海勃湾区,23501,14330,606,1925,1210,3993,468,6116,12,9171,1776,391,275,249,170,16,3061,2627,606
  海南区,8306,5196,253,346,210,1003,621,2762,1,3110,249,252,68,75,130,2,784,1185,365
  乌达区,10820,5575,158,499,390,1296,327,2905,,5245,605,271,163,230,164,2,1712,1721,377
赤峰市,343535,249392,3157,14968,6292,26823,166066,31734,352,94143,21136,18307,2786,1790,1308,356,12946,29534,5980
  红山区,33508,19518,637,2628,1383,7021,2468,5374,7,13990,2680,826,612,566,343,31,4442,3404,1086
  元宝山区,25248,14091,313,1685,569,2278,4319,4731,196,11157,1341,1044,369,266,183,39,2188,4777,950
  松山区,45958,32380,627,2310,1057,3564,19749,5066,7,13578,4260,2129,342,223,184,176,1363,4021,880
  阿鲁科尔沁旗,21161,16882,104,718,250,1340,13652,817,1,4279,756,1243,109,57,47,1,485,1295,286
  巴林左旗,25962,19768,133,1235,253,1550,15083,1512,2,6194,1513,1245,161,86,54,18,566,2268,283
  巴林右旗,12664,9336,107,539,295,1039,5926,1353,77,3328,607,759,77,23,54,1,376,1195,236
  林西县,16405,11704,117,640,245,1142,8131,1426,3,4701,797,1040,133,79,34,3,495,1663,457
  克什克腾旗,17769,12993,260,741,366,1649,7807,2148,22,4776,916,1108,100,10,37,11,464,1734,396
  翁牛特旗,35300,27393,101,1101,409,1568,22734,1480,,7907,1933,2083,359,75,111,27,631,2448,240
  喀喇沁旗,22262,16854,146,722,335,998,12829,1818,6,5408,992,1400,143,51,59,25,435,2004,299
  宁城县,43815,33826,372,1361,485,2320,26207,3081,,9989,2480,2692,244,248,137,14,834,2710,630
  敖汉旗,43483,34647,240,1288,645,2354,27161,2928,31,8836,2861,2738,137,106,65,10,667,2015,237
通辽市,239426,179423,1273,8761,4176,17248,133276,14393,296,60003,12978,13191,1635,679,830,96,8887,17078,4629
  科尔沁区,67522,45929,516,3780,2195,7040,26055,6323,20,21593,5073,2751,734,430,573,67,5034,5193,1738
  科尔沁左翼中旗,37480,28874,79,806,255,1515,25011,1205,3,8606,1706,2328,248,61,30,12,705,2666,850
  科尔沁左翼后旗,29486,23133,118,796,387,1696,18802,1184,150,6353,1158,1806,110,45,35,1,722,2086,390
  开鲁县,30872,25393,102,731,329,1752,21542,936,1,5479,1553,1702,104,36,18,2,533,1326,205
  库伦旗,13211,10777,43,414,250,605,8828,636,1,2434,491,794,55,35,22,,326,417,294
  奈曼旗,30808,24464,141,883,258,1537,20594,1038,13,6344,1381,1930,107,45,33,2,557,1863,426
  扎鲁特旗,21811,16339,151,799,309,1507,12143,1427,3,5472,1032,1580,115,7,52,7,616,1817,246
  霍林郭勒市,8236,4514,123,552,193,1596,301,1644,105,3722,584,300,162,20,67,5,394,1710,480
鄂尔多斯市,152664,103865,3093,10808,6484,21733,26346,35342,59,48799,7497,6429,1394,647,1015,885,4808,19957,6167
  东胜区,45450,30738,1114,4608,2548,8911,827,12729,1,14712,2853,977,420,317,514,465,1783,5682,1701
  达拉特旗,25385,17192,443,1240,671,2566,7935,4331,6,8193,1348,1358,222,94,116,91,671,3459,834
  准格尔旗,27679,16629,262,1496,1117,3478,4083,6143,50,11050,1198,1503,297,110,175,123,842,5070,1732
  鄂托克前旗,5865,4206,109,296,161,649,2223,768,,1659,275,391,51,10,22,11,138,497,264
  鄂托克旗,11178,8145,135,513,549,1466,1931,3551,,3033,528,337,108,31,48,10,321,1210,440
  杭锦旗,8982,6227,178,514,331,978,3212,1012,2,2755,393,642,68,16,31,25,394,849,337
  乌审旗,9484,7173,167,743,287,1366,3711,899,,2311,350,463,89,25,26,5,276,867,210
  伊金霍洛旗,18641,13555,685,1398,820,2319,2424,5909,,5086,552,758,139,44,83,155,383,2323,649
呼伦贝尔市,195631,111810,2577,9876,6829,20805,49353,22222,148,83821,9186,9084,3294,2138,1781,95,20177,29298,8768
  海拉尔区,25275,13906,751,2047,1629,4442,1216,3819,2,11369,2734,571,396,267,253,18,4004,2311,815
  阿荣旗,22611,17000,116,646,293,1653,12925,1364,3,5611,748,1287,207,55,66,2,634,2209,403
  莫力达瓦达斡尔族自治旗,20971,14010,165,669,382,809,11415,570,,6961,786,1338,325,76,110,10,513,2872,931
  鄂伦春自治旗,17173,8778,115,671,780,1317,4093,1801,1,8395,545,965,275,361,191,6,1759,3285,1008
  鄂温克族自治旗,10708,5549,102,636,399,994,1554,1864,,5159,369,445,219,3,86,5,1398,1959,675
  新巴尔虎右旗,4890,3063,40,186,156,674,1554,452,1,1827,154,199,69,15,19,2,420,786,163
  新巴尔虎左旗,3296,2380,44,186,94,321,1522,213,,916,61,141,35,14,5,,127,413,120
  陈巴尔虎旗,2907,1984,65,244,149,364,732,428,2,923,62,153,43,9,34,,128,401,93
  满洲里市,19544,10796,300,997,802,3976,258,4444,19,8748,1047,553,380,83,169,,2619,3081,816
  扎兰屯市,27126,10420,370,1702,890,2687,1402,3332,37,16706,1375,1270,679,709,432,37,4495,5446,2263
  牙克石市,26296,16467,203,1019,449,2149,10827,1772,48,9829,861,1554,364,297,214,14,1788,3928,809
  根河市,6076,3572,93,365,297,618,1357,842,,2504,173,243,104,124,61,1,790,807,201
  额尔古纳市,8758,3885,213,508,509,801,498,1321,35,4873,271,365,198,125,141,,1502,1800,471
巴彦淖尔市,132111,97676,1153,5972,4405,16360,52448,17315,23,34435,6869,6223,878,373,703,110,5303,10344,3632
  临河区,44002,31071,439,2657,2000,6902,12163,6905,5,12931,2927,1711,348,148,353,70,2340,3705,1329
  五原县,22233,17146,133,687,483,2923,10178,2728,14,5087,1122,972,89,42,61,14,605,1673,509
  磴口县,9251,6689,56,388,337,918,4046,942,2,2562,387,459,83,31,94,6,599,658,245
  乌拉特前旗,22342,16139,235,899,625,2027,9733,2620,,6203,889,1436,123,100,69,9,824,2049,704
  乌拉特中旗,9268,6938,146,416,317,924,4053,1082,,2330,181,549,53,14,29,3,280,849,372
  乌拉特后旗,4885,3610,87,274,231,491,1242,1284,1,1275,165,237,50,10,36,7,162,481,127
  杭锦后旗,20130,16083,57,651,412,2175,11033,1754,1,4047,1198,859,132,28,61,1,493,929,346
乌兰察布市,175513,115768,909,6027,4525,13765,70649,19740,153,59745,12612,10792,1700,423,464,138,7631,21020,4965
  集宁区,29145,15223,251,1981,1836,4539,1297,5279,40,13922,3690,760,355,170,134,18,3417,3935,1443
  卓资县,11538,7719,81,423,212,779,5435,788,1,3819,924,811,121,10,26,2,314,1304,307
  化德县,10702,7313,50,312,289,601,4439,1622,,3389,797,648,111,9,23,4,376,1160,261
  商都县,18963,13118,58,470,294,1144,8564,2585,3,5845,908,1343,78,14,56,2,494,2340,610
  兴和县,17596,11863,115,430,243,1227,7046,2758,44,5733,932,1180,147,51,34,52,338,2651,348
  凉城县,15191,10879,32,438,323,577,8848,661,,4312,995,1032,130,37,42,2,390,1286,398
  察哈尔右翼前旗,13073,9005,25,324,250,792,6225,1384,5,4068,692,1056,114,23,23,17,329,1505,309
  察哈尔右翼中旗,12740,9026,35,291,181,655,7525,339,,3714,1043,931,140,30,41,5,332,1047,145
  察哈尔右翼后旗,13081,8836,56,389,206,677,6343,1105,60,4245,645,919,191,18,19,4,371,1736,342
  四子王旗,14299,10098,85,334,138,792,8124,625,,4201,843,1019,65,12,15,1,365,1619,262
  丰镇巿,19185,12688,121,635,553,1982,6803,2594,,6497,1143,1093,248,49,51,31,905,2437,540
兴安盟,113312,78475,730,4894,2688,8631,53919,7539,74,34837,4103,7324,993,484,805,54,5320,12626,3128
  乌兰浩特市,23672,13705,366,1898,1300,3297,3943,2900,1,9967,1617,1132,388,275,542,33,2499,2712,769
  阿尔山市,3222,1412,56,143,181,322,318,392,,1810,116,188,79,77,40,,444,564,302
  科尔沁右翼前旗,22217,16537,37,475,189,873,14251,705,7,5680,593,1713,175,31,37,10,393,2446,282
  科尔沁右翼中旗,19795,14241,105,867,355,1430,9902,1581,1,5554,634,1255,124,50,54,11,793,2136,497
  扎赉特旗,26592,19417,104,934,360,1499,15721,737,62,7175,611,1691,149,32,69,,602,3152,869
  突泉县,17814,13163,62,577,303,1210,9784,1224,3,4651,532,1345,78,19,63,,589,1616,409
锡林郭勒盟,79991,52902,1398,4394,3087,11303,22238,10353,129,27089,3830,3610,941,390,324,36,4208,10136,3614
  二连浩特市,5746,3714,73,285,253,1928,148,1026,1,2032,406,106,83,9,19,2,176,1050,181
  锡林浩特市,17934,10949,489,1712,995,3180,1421,3065,87,6985,868,470,210,130,131,8,1676,2527,965
