首发论坛：经济学家bbs.jjxj.org,,,,,,,,,,,,,,,,,,,单位：人
地    区,"16岁及以上
人口","各种职业人口
总计",,,,,,,,"各种未工作
人口总计",,,,,,,,,
,,,国家机关、党群组织、企业、事业单位负责人,专业技术人员,"办事人员和
有关人员","商业、服务业
人员","农、林、牧、
渔、水利业
生产人员","生产、运输
设备操作人员
及有关人员","不便分类的
其他从业人员",,在校学生,丧失工作能力,毕业后未工作,"因单位原因
失去工作","因本人原因
失去工作",承包土地被征用,离退休,料理家务,其他
  海兴县,15702,11386,94,437,305,562,8840,1145,3,4316,640,865,212,48,46,12,419,1743,331
  盐山县,34894,27334,52,857,354,1391,21564,3116,,7560,2086,1958,163,23,18,2,419,2452,439
  肃宁县,27402,20301,321,769,406,2150,13283,3271,101,7101,1401,1869,165,73,136,53,655,2166,583
  南皮县,28629,23391,277,708,328,1014,19028,2012,24,5238,1415,1504,88,33,52,5,475,1385,281
  吴桥县,21711,17032,105,595,163,929,14535,702,3,4679,1248,1103,112,25,34,8,456,912,781
  献县,45934,36196,469,1083,429,2129,27805,4165,116,9738,2563,2766,237,67,111,12,578,2500,904
  孟村回族自治县,15248,10480,433,552,343,912,5524,2715,1,4768,821,830,152,20,16,6,250,2410,263
  泊头巿,45856,34314,520,1661,614,3395,20875,7197,52,11542,2672,2342,267,100,148,8,1746,3705,554
  任丘市,67971,47028,1103,3482,1746,5656,22495,12528,18,20943,2905,3442,884,134,344,11,3167,8371,1685
  黄骅市,43429,28560,677,1957,742,4192,15577,5299,116,14869,2915,1888,576,189,198,46,2298,5770,989
  河间市,63995,48623,840,1577,807,5748,28769,10871,11,15372,2527,3716,467,118,186,9,1157,5857,1335
廊坊市,362789,248102,5970,18859,9162,37127,120252,56643,89,114687,30101,20063,3151,1012,1913,388,14106,39155,4798
  安次区,31622,21460,247,1395,436,2872,11360,5141,9,10162,3883,1591,251,112,234,16,1203,2475,397
  广阳区,43449,24983,782,4910,2032,5978,6229,5015,37,18466,5303,1313,606,356,392,176,4725,4619,976
  固安县,34410,26345,101,949,333,2359,20644,1951,8,8065,2207,2284,213,64,98,28,649,2197,325
  永清县,29253,23246,130,680,446,1265,19133,1592,,6007,1400,1866,192,25,39,3,534,1694,254
  香河县,28916,20919,280,1154,855,4571,7189,6870,,7997,1789,1684,116,12,38,13,978,3027,340
  大城县,38351,28689,174,1267,310,2576,20619,3741,2,9662,2802,2487,281,12,35,1,705,3006,333
  文安县,40754,28017,1167,1196,697,3518,13818,7620,1,12737,2173,2298,340,46,107,,665,6485,623
  大厂回族自治县,10466,7095,72,448,304,923,3221,2126,1,3371,814,784,133,17,39,14,438,1066,66
  霸州市,49571,33342,1886,2555,989,5745,10857,11310,,16229,3011,3175,382,79,177,18,1025,7792,570
  三河市,55997,34006,1131,4305,2760,7320,7182,11277,31,21991,6719,2581,637,289,754,119,3184,6794,914
衡水市,351702,272917,2148,11694,5285,18293,207325,27918,254,78785,24543,21422,2183,1001,646,159,8655,15241,4935
  桃城区,42769,26058,549,2993,1969,4927,9944,5676,,16711,5918,1929,573,445,273,35,3342,3087,1109
  枣强县,31217,24925,111,594,366,1480,17510,4864,,6292,1631,2163,146,61,41,1,489,1190,570
  武邑县,26093,20165,77,592,262,920,17609,705,,5928,2728,1280,187,33,33,14,418,878,357
  武强县,17957,14444,106,484,182,651,11911,1095,15,3513,836,1152,105,62,14,3,351,644,346
  饶阳县,24012,19645,129,565,273,1282,16108,1269,19,4367,1195,1591,82,46,23,7,432,776,215
  安平县,26196,19901,243,737,383,1305,12503,4592,138,6295,1294,1639,202,28,37,1,544,2144,406
  故城县,38232,31315,145,813,343,1720,25363,2931,,6917,2372,2047,131,63,17,10,574,1257,446
  景县,42272,34784,274,794,371,1753,29609,1975,8,7488,2082,2426,341,49,89,,494,1494,513
  阜城县,26166,21439,147,602,278,692,18802,917,1,4727,1411,1635,133,40,22,68,358,846,214
  冀州市,30085,23023,176,2458,360,1209,16958,1798,64,7062,2516,2086,134,100,47,5,651,1138,385
  深州市,46703,37218,191,1062,498,2354,31008,2096,9,9485,2560,3474,149,74,50,15,1002,1787,374
,,,,,,,,,,,,,,,,,,,
山西省,2810549,1729275,28047,136452,88159,277508,846313,351466,1330,1081274,249093,140043,48930,20368,14912,2792,145996,381984,77156
太原市,350907,177281,6251,31748,18516,51364,22372,46506,524,173626,52498,8291,6493,4801,3205,607,44512,41947,11272
  小店区,68159,35458,1394,7173,3613,10435,3208,9443,192,32701,14296,955,1019,624,540,279,6511,6543,1934
