表9—10  全国镇1989年育龄妇女分年龄、文化程度和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率
  45-49岁,    441 879,    367,    0.83,    32,    0.07,    61,    0.14,    86,    0.19,    100,    0.23,    88,    0.20
    45,    105 302,    91,    0．86,    7,    0．07,    16,    0.15,    27,    0.26,    20,    0.19,    21,    0.20
    46,    96 933,    88,    0．91,    7,    0.07,    18,    0.19,    16,    0.17,    26,    0.27,    21,    0.22
    47,    89 883,    76,    0．85,    7,    0.08,    12,    0.13,    20,    0.22,    17,    0.19,      20,    0．22
    48,    79 989,    72,    0.90,    6,    0.08,    10,    0.13,    14,    0.18,    26,    0.33,    16,    0．20
    49,    69 772,    40,    0.57,    5,    0.07,     5,    0.07,    9,    0.13,    11,    0.16,    10,    0.14
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
高中,    4 931 765,    311 800,    63.22,    225 604,    45.75,    73 234,    14.85,    10 387,    2.11,    2 051,    0.42,    524,    0．11
  15—19岁,    1 115 836,    3 239,    2.90,    3 071,    2.75,    159,    0.14,    6,    0.01,    2,    0.00,    1,    0.00
    15,    150 615,    6,    0.04,    5,    0.03,    1,    0.01,-,-,-,-,-,-
    16,    232 638,    31,    0．13,    27,    0.12,    4,    0.02,-,-,-,-,-,-
    17,    249 750,    150,    0.60,    141,    0.56,    9,    0.04,-,-,-,-,-,-
    18,    247 714,    597,    2.41,    570,    2.30,    27,    0.11,-,-,-,-,-,-
    19,    235 119,    2 455,    10.44,    2 328,    9.90,    118,    0.50,    6,    0.03,         2,    0．01,    1,    0．00
  20—24岁,    1 026 601,    127 032,    123.74,    117 889,    114.83,    8 330,    8.11,    728,    0.71,    75,    0.07,    10,    0．01
    20,    229 337,    7 559,    32.96,    7 224,    31.50,    311,    1.36,    20,    0.09,   2,    0.01,    2,    0.01
