表9—16  全国1989年育龄妇女分年龄、行业门类和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    行业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
    37,    995 539,    5 790,    5.82,    1 516,    1.52,    3 219,    3.23,    662,    0.66,    243,    0.24,    150,    0.1 5
    38,    862 809,    3 518,    4.08,    956,    1．11,    1 839,    2.13,    441,    0.51,    159,    0.18,    123,    0.14
    39,    871 022,    2 428,    2.79,    702,    0．81,    1 095,    1．26,    375,    0.43,    142,    0.16,    114,    0.13
  40-44岁,    2 880 929,    3 199,    1.11,    930,    0．32,    1 125,    0.39,    600,    0.21,    315,    0.11,    229,    0.08
    40,    715 715,    1 263,    1.76,    404,    0.56,    488,    0.68,    198,    0．28,    101,    0.14,    72,    0．10
    41,    649 608,    802,    1.23,    236,    0．36,    293,    0.45,    146,    0.22,    79,    0.12,    48,    0.07
    42,    586 789,    564,0.96,    157,    0．27,    200,    0.34,    110,    0.19,    53,    0.09,    44,    0．07
    43,    498 571,    345,    0.69,    83,    0．17,    91,    0.18,    91,    0.18,    46,    0．09,    34,    0.07
    44,    430 246,    225,    0.52,    50,    0．12,    53,    0．12,    55,    0.13,    36,    0．08,    31,    0．07
  45—49岁,    1 594 913,    697,    0.44,    84,    0．05,    143,    0.09,    209,    0.13,    1 55,    0.10,    106,    0．07
    45,    379 152,    191,    0.50,    31,    0．08,    39,    0．10,    54,    0.14,    37,    0.10,    30,    0.08
    46,    352 921,    156,    0．44,    17,    0.05,    41,    0.12,    48,    0.14,    28,    0．08,    22,    0.06
    47,    345 390,    149,    0．43,    17,    0．05,    34,    0.10,    47,    0.14,    32,    0.09,    19,    0.06
    48,    317 094,    114,    0.36,    10,    0．03,    19,    0.06,    32,    0.10,    29,    0.09,    24,    0.08
    49,    200 356,    87,    0.43,    9,    0.04,    10,    0.05,    28,    0.14,    29,    0.14,    11,    0.05
地质普查和勘探业,    189 960,    9 235,    48.62,    8 516,    44.83,    666,    3.51,    44,    0.23,    7,    0.04,      2,    0．01
  15-19岁,    8 882,    16,    1.80,    15,    1.69,    1,    0.1 1,-,-,-,-,-,-
    15,    231,-,-,-,-,-,-,-,-,-,-,-,-
    16,    678,-,-,-,-,-,-,-,-,-,-,-,-
    17,    1 501,    2,    1.33,    2,    1.33,-,-,-,-,-,-,-,-
    18,    2 604,    6,    2.30,    5,1.92,    1,    0.38,-,-,-,-,-,-
    19,    3 868,    8,    2.07,    8,    2.07,-,-,-,-,-,-,-,-
  20—24岁,    32 512,    3 848,    118.36,    3 808,    117.13,    38,    1.17,    1,    0.03,    1,    0.03,-,-
    20,    5 446,    131,    24.05,    131,    24.05,-,-,-,-,-,-,-,-
    21,    5 665,    291,    51.37,    289,    51.02,      2,    0.35,-,-,-,-,-,-
    22,    5 795,    599,    103.36,    593,    102.33,    6,    1.04,-,-,-,-,-,-
    23,    7 143,    1 152,    161.28,    1 142,    159.88,    9,    1.26,    1,    0.14,-,-,-,-
    24,    8 463,    1 675,    197.92,    1 653,    195.32,    21,    2.48,-,-,    1,    0.12,-,-
  25—29岁,    43 400,    4 570,    105.30,    4 340,    100.00,    218,    5.02,    9,    0.21,      2,    0.05,    1,    0.02
    25,    10 814,    1 770,    163.68,    1 720,    159.05,    50,    4.62,-,-,-,-,-,-
    26,    11 424,    1 525,    133.49,    1 477,    129.29,    44,    3.85,    3,    0.26,-,-,    1,    0.09
    27,    6 860,    686,    100．00,    637,    92.86,    46,    6.71,    2,    0．29,    1,    0.15,-,-
    28,    6 261,    335,    53.51,    305,    48.71,    30,    4.79,-,-,-,-,-,-
    29,    8 041,    254,    31.59,    201,    25.00,    48,    5.97,    4,    0．50,    1,    0．12,-,-
  30-34岁,    42 951,    633,    14.74,    306,    7.12,    305,    7.10,    21,    0.49,    1,    0．02,-,-
    30,    7 801,    166,    21.28,    109,    13.97,    55,    7.05,    1,    0.13,    1,    0.13,-,-
    31,    10 738,    177,    16.48,    88,    8.20,    84,    7.82,    5,    0.47,-,-,-,-
    32,    8 905,    138,    15.50,    58,    6.51,    74,    8.31,    6,    0．67,-,-,-,-
    33,    7 878,    91,    11.55,    34,4.32,    53,    6.73,    4,    0.51,-,-,-,-
    34,    7 629,    61,    8.00,    17,    2.23,    39,    5.1 1,   5,    0.66,-,-,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    行业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
,,,,  出生数,  生育率,,,,,,,,
  35—39岁,    28 624,    143,    5.00,    42,    1.47,    92,    3.21,    8,    0.28,-,-,    1,    0.03
    35,    6 744,    52,    7.71,    16,    2.37,35,    5.19,    1,    0.15,-,-,-,-
    36,    5 975,    42,    7.03,    1 5,    2.51,    24,    4.02,2,    0.33,-,-,    1,    0．17
    37,    5 791,    23,    3.97,    4,    0.69,    19,    3.28,-,-,-,-,-,-
    38,    4 953,    12,    2.42,    3,    0.61,    6,    1.21,    3,    0.61,-,-,-,-
    39,    5 161,    14,    2.71,    4,    0.78,    8,    1.55,    2,    0.39,-,-,-,-
  40-44岁,    18 604,    22,    1.18,    5,    0.27,    11,    0.59,    5,    0.27,    1,    0.05,-,-
    40,    4 234,    9,    2.13,    3,    0.71,    5,    1.18,    1,    0.24,-,-,-,-
    41,    3 987,    7,    1.76,     2,    0.50,    4,    1.00,    1,    0.25,-,-,-,-
    42,    3 848,    4,    1.04,-,-,     2,    0．52,    2,    0.52,-,-,-,-
    43,    3 362,    2,    0.59,-,-,-,-,    1,    0.30,    1,    0.30,-,-
    44,    3 173,-,-,-,-,-,-,-,-,-,-,-,-
  45—49岁,    14 987,    3,    0.20,-,-,    1,    0.07,-,-,    2,    0.13,-,-
    45,    2 963,-,-,-,-,-,-,-,-,-,-,-,-
    46,    3166,-,-,-,-,-,-,-,-,-,-,-,-
    47,    3 218,    3,    0.93,-,-,    1,    0.31,-,-,    2,    0.62,-,-
    48,    3 105,-,-,-,-,-,-,-,-,-,-,-,-
    49,    2 535,-,-,-,-,-,-,-,-,-,-,-,-
建筑业,    1 825 734,    86 037,    47.12,    73 765,    40.40,    10 238,    5.61,    1 539,    0.84,    371,    0.20,    124,    0.07
  15—19岁,    135 812,    1 102,    8．11,    1 050,    7.73,    50,    0.37,    2,    0.01,-,-,-,-
    15,    7 297,    5,    0.69,    5,    0.69,-,-,-,-,-,-,-,-
    16,    15 883,    17,    1.07,    16,    1.01,    1,    0.06,-,-,-,-,-,-
    17,    25 619,        74,    2.89,    72,    2.81,    2,    0.08,-,-,-,-,-,-
    18,    38 220,    243,    6.36,    231,    6.04,    11,    0．29,    1,    0.03,-,-,-,-
    19,    48 793,    763,    15.64,    726,    14.88,    36,    0.74,    1,    0．02,-,-,-,-
  20—24岁,    325 707,    37 739,    115.87,    35 474,    108.91,    2 034,    6.24,    210,    0.64,    19,    0.06,    2,    0.01
    20,    60 069,    2 228,    37.09,    2 089,    34.78,    131,    2.18,    8,    0.13,-,-,-,-
    21,    58 476,    3 893,    66.57,    3 676,    62.86,    198,    3.39,    16,    0．27,    2,    0.03,    1,    0.02
    22,    56 299,    5 631,    100.02,    5 279,    93.77,    318,    5.65,    33,    0．59,    1,    0.02,-,-
    23,    70 588,    11 293,    159.98,    10 604,    150.22,    626,    8.87,    55,    0.78,    8,    0.11,-,-
