表9—13  全国市1989年育龄妇女分年龄、职业大类和孩次的生育状况,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    职业和,1989年年中,  出生,  生育率,,,,,,,,,,
    年龄别,妇女人数,  人数,,,,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率,    出生数,    生育率
,,,,  出生数,    生育率,,,,,,,,
    19,    120 489,    2 593,    21.52,    2 441,    20.26,    144,    1.20, 7,    0.06,    1,    0.01,-,-
  20—24岁,    705 123,    90 496,    128.34,    82 808,    117.44,    6 934,    9.83,    683,    0.97,    63,    0.09,    8,    0.01
    20,    143 067,    7 231,    50.54,    6 819,    47.66,    389,    2.72,    21,    0.15,    2,    0.01,-,-
    21,    131 566,    11 704,    88.96,    10 878,    82.68,    775,    5.89,    47,    0.36,    3,    0.02,    1,    0.01
    22,    117 140,    15 150,    129.33,    13 837,    118.12,    1 217,    10.39,    91,    0．78,    4,    0．03,    1,    0．01
    23,    146 181,    26 057,    178.25,    23 801,    162.82,    2 031,    13.89,    209,    1.43,    15,    0.10,    1,    0.01
    24,    167 169,    30 354,    181.58,    27 473,    164.34,    2 522,    15.09,    315,    1.88,    39,    0.23,   5,    0.03
  25—29岁,    855 032,    78 004,    91.23,    63 167,    73.88,    12 240,    14.32,    2 136,    2.50,    394,    0.46,    67,    0．08
    25,    208 635,    30 049,    144.03,    26 411,    126.59,    3 091,    14.82,    482,    2.31,    56,    0.27,    9,    0.04
    26,    227 613,    24 516,    107.71,    20 261,    89.02,    3 523,    15.48,    626,    2.75,    95,    0.42,    11,    0.05
    27,    133 787,    10 674,    79.78,    8 081,    60.40,    2 080,    15.55,    416,    3.11,    90,    0.67,7,    0.05
    28,    128 413,    6 627,    51.61,    4 744,    36.94,    1 551,    12.08,    261,    2.03,    58,    0.45,    13,    0．10
    29,    156 584,    6 138,    39.20,    3 670,    23.44,    1 995,    12.74,    351,    2.24,    95,    0．61,    27,    0.17
  30—34岁,    837 860,    17 110,    20.42,    7 334,    8.75,    7 791,    9.30,    1 408,    1.68,    438,    0.52,    139,    0.17
    30,    149 756,    4 579,    30.58,    2 391,    15.97,    1 762,    11.77,    324,    2.16,    77,    0．51,    25,    0.17
    31,    190 588,    4 564,    23.95,    2 022,    10.61,    2 049,    10.75,    360,    1.89,    108,    0.57,    25,    0.13
    32,    172 306,    3 361,    19.51,    1 291,    7.49,    1 648,    9.56,    296,    1.72,    101,    0．59,    25,    0．15
    33,    161 638,    2 566,    15.87,    952,    5.89,    1 283,    7.94,    214,    1.32,    81,    0.50,        36,    0.22
    34,    163 572,    2 040,    12.47,    678,    4.14,    1 049,    6.41,    214,    1.31,    71,    0.43,    28,    0.17
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
