　　,,,,,,,,,,
表5—1    全国不同规模的家庭户类别,,,,,,,,,,
,,,,,,,,,,
,,,,,,单位:户,,,,
家庭户规模,合计,一代户,二代户,三代户,四代户,五代户及五代以上户,,,,
,,,,,,,,,,
吉林省,181195,127138,18562,1541,107035,53544,27159,1848,24537,513
黑龙江省,249310,174799,22992,2254,149553,73921,40616,3024,30281,590
,,,,,,,,,,
上海市,110204,70203,24601,460,45142,39385,25355,658,13372,616
江苏省,656045,452694,92509,5058,355127,200280,96903,5673,97704,3071
浙江省,509882,371115,110722,5881,254512,137151,83140,5034,48977,1616
安徽省,368011,258272,50004,5138,203130,108281,53206,5615,49460,1458
福建省,311939,238681,36613,5313,196755,72147,27260,3535,41352,1111
江西省,235751,177806,26371,3839,147596,57271,22846,3539,30886,674
山东省,602415,411345,104379,3411,303555,188555,114365,4300,69890,2515
,,,,,,,,,,
河南省,341861,239627,35742,3783,200102,100621,40614,4134,55873,1613
湖北省,299516,220945,37678,3277,179990,77577,35308,2976,39293,994
湖南省,316393,232947,42089,4283,186575,82406,37424,4400,40582,1040
广东省,677291,520627,77237,12291,431099,154168,45027,8655,100486,2496
广西壮族自治区,305964,229326,34641,4967,189718,75419,26512,4134,44773,1219
海南省,64163,45890,6764,605,38521,17959,5296,708,11955,314
,,,,,,,,,,
重庆市,193513,142571,24295,3665,114611,50278,22179,3299,24800,664
四川省,511529,383724,65995,8827,308902,125975,56183,8253,61539,1830
贵州省,179920,135738,19111,2940,113687,43774,17472,2576,23726,408
云南省,237507,181626,25277,1814,154535,55215,20699,1685,32831,666
西藏自治区,7999,6838,602,87,6149,1112,106,30,976,49
,,,,,,,,,,
陕西省,175945,131007,21446,2033,107528,44597,21222,2161,21214,341
甘肃省,69242,52408,6285,798,45325,16725,5992,832,9901,109
青海省,15699,12406,1247,191,10968,3267,1053,185,2029,26
宁夏回族自治区,16280,12028,1692,183,10153,4235,2034,241,1960,17
新疆维吾尔自治区,63820,50588,6531,1288,42769,13122,5851,738,6533,110
,,,,,,,,,,
,,,,,,,,,,
　　,,,,,,,,,,
表5—4c    省、自治区、直辖市有65岁及65岁以上老年人口的家庭户户数（乡村）,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,单位:户
,          ,有一个65岁以上老年人的户,,,,有二个65岁以上老年人的户,,,,其他
地   区   别,合  计,   小计   ,单身老人户,一个老年人与,   其他   ,   小计   ,只有一对老夫妇户,一对老夫妇户与,其他,
                              ,          ,,,未成年的亲属户,,,,未成年的亲属户,,
,,,,,,,,,,
合计,46060214,33859394,4929507,531928,28397959,12044905,4733819,434081,6877005,155915
,,,,,,,,,,
北京市,193816,133950,26717,674,106559,59192,27835,844,30513,674
天津市,164542,111319,14420,385,96514,52417,22014,543,29860,806
河北省,2823215,2004599,330014,15995,1658590,806630,363289,15769,427572,11986
山西省,1134454,832347,156192,8640,667515,299199,137928,7347,153924,2908
内蒙古自治区,623855,467412,65254,2819,399339,155090,70456,3062,81572,1353
,,,,,,,,,,
辽宁省,1106149,756248,94974,4031,657243,345987,163202,6342,176443,3914
吉林省,620507,454441,37003,2305,415133,164279,60441,3261,100577,1787
黑龙江省,703624,530419,42642,3479,484298,171812,68813,4509,98490,1393
,,,,,,,,,,
上海市,174433,110616,38485,300,71831,62813,37579,388,24846,1004
江苏省,3130993,2166824,396784,21459,1748581,949260,418100,24091,507069,14909
