　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表7—1    全国按现住地、户口登记地分的人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,单位:人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                              ,户        口        登        记        地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 现  住  地,合计, 本县（市） , 本县（市） ,本县（市）,  本市区  ,  本市区  , 本市区其 , 本省其他县,省外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                              ,, 其他乡 , 其他镇 , 其他街道 ,  其他乡  ,  其他镇  ,  他街道  ,（市）、市区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          ,          ,          ,          ,          ,          ,          , ,          ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆市,440737,88060,133829,6271,18756,38890,14218,54195,86518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四川省,1560674,407383,424839,35576,42789,59919,34839,396246,159083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
贵州省,469768,77741,104893,6686,13249,13847,15094,164978,73280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
云南省,997007,185379,157222,3857,4533,7483,3355,427656,207522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西藏自治区,53061,6863,2160,2503,2676,614,3299,11044,23902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陕西省,666934,155877,158234,35111,28275,21546,33061,142334,92496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
甘肃省,360291,92120,75407,23810,12228,3303,11458,106992,34973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
青海省,133785,41877,16876,3327,716,280,735,51776,18198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,268486,42225,37854,3450,5851,1470,18650,77231,81755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,1196657,113798,106338,80790,5286,2381,4804,168777,714483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表7—2    全国按现住地、户口登记地在外省分的人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位:人,,,,,,
 现  住  地,户        口        登        记        地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,合计,  北京市  ,  天津市  ,  河北省  ,  山西省  ,  内蒙古自治区  ,  辽宁省  ,  吉林省  , 黑龙江省 ,  上海市  ,  江苏省  ,  浙江省  ,  安徽省  ,  福建省  ,  江西省  ,  山东省  ,  河南省  ,  湖北省  ,  湖南省  ,  广东省  , 广西壮族自治区,  海南省  ,  重庆市  ,  四川省  ,  贵州省  ,  云南省  ,西藏自治区,  陕西省  ,  甘肃省  ,  青海省  , 宁夏回族自治区, 新疆维吾尔自治区,,,,,,
,          ,,,,,,,,,,,,,,,,          ,          ,          ,          ,          ,          , ,,,,,,,,,          ,,,,,,
