表2-2省自治区直辖市的市按居委会村委会分的人口数,,,,,,,,,
,,,,,,,,,
单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
    铁西区,    726 364,    368 466,    357 898,    726 364,    368 466,    357 898,-,-,-
    苏家电区,    421 101,    215 257,    205 844,    200 806,    101 291,    99 515,    220 295,    113 966,    106 329
    东陵区,    455 625,    234 847,    220 778,    162 766,    84 267,    78 499,    292 859,    150 580,    142 279
    新城子区,    304 038,    156 174,    147 864,    94 966,    48 962,    46 004,    209 072,    107 212,    101 860
    于洪区,    428 134,    219 607,    208 527,    145 758,    75 467,    70 291,    282 376,    144 140,    138 236
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
  省、自治区、直辖市的市按居委会、村委会分的人口数(续05),,,,,,,,,
表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  大连市,    3 473 832,    1 778 414,    1 695 418,    2 178 008,    1 115 358,    1 062 650,    1 295 824,    663 056,    632 768
    中山区,    349 143,    176 750,    172 393,    349 143,    176 750,    172 393,-,-,-
    西岗区,    322 183,    165 565,    156 618,    322 183,    165 565,    156 618,-,-,-
    沙河口区,    486 525,    248 306,    238 219,    486 525,    248 306,    238 219,-,-,-
    甘井子区,    503 276,    266 319,    236 957,    373 297,    198 703,    174 594,    129 979,    67 616,    62 363
    旅顺口区,    212 143,    106 738,    105 405,    123 166,    61 572,    61 594,    88 977,    45 166,    43 811
    金州区,    599 202,    302 511,    296 691,    229 996,    114 349,    1 15 647,    369 206,    188 162,    181 044
    瓦房店市,    1 001 360,    512 225,    489 135,    293 698,    150 113,    143 585,    707 662,    362 112,    345 550
  鞍山市,    2 478 650,    1 266 330,    1 212 320,    1 589 837,    809 738,    780 099,    888 813,    456 592,    432 221
    铁东区,    398 696,        201 147,    197 549,    398 696,    201 147,    197 549,-,-,-
    铁西区,    283 540,    143 545,    139 995,    283 540,    143 545,    139 995,-,-,-
    立山区,    417 860,    215 081,    202 779,    417 860,    215 081,    202 779,-,-,-
    旧堡区,    342 124,    175 292,    166 832,    133 851,    68 759,    65 092,    208 273,    106 533,    101 740
    海城市,    1 036 430,    531 265,    505 165,    355 890,    181 206,    174 684,    680 540,    350 059,    330 481
  抚顾市,    1 388 011,    703 013,    684 998,    1 288 959,    652 467,    636 492,    99 052,    50 546,    48 506
    新抚区,    525 072,    264 735,    260 337,    525 072,    264 735,    260 337,-,-,-
    露天区,    382 900,    194 769,    188 131,    382 900,    194 769,    188 131,-,-,-
    望花区,    313 100,    158 971,    154 129,    313 100,    158 971,    154 129,-,-,-
    顺城区,    166 939,    84 538,    82 401,    67 887,    33 992,    33 895,    99 052,    50 546,    48 506
  本溪市,    937 805,    475 743,    462 062,    759 083,    383 898,    375 185,    178 722,    91 845,    86 877
    平山区,    318 779,    160 671,    158 108,    296 018,    149 247,    146 771,    22 761,    11 424,    11 337
    溪湖区,    247 247,    127 238,    120 009,    191 622,    98 333,    93 289,    55 625,    28 905,    26 720
    明山区,    272 711,    137 533,    135 178,    213 177,    107 006,    106 171,    59 534,    30 527,    29 007
    南芬区,    99 068,    50 301,    48 767,    58 266,    29 312,    28 954,    40 802,    20 989,    19 813
  丹东市,    660 518,    331 235,    329 283,    543 027,    271 416,    271 611,    117 491,    59 819,    57 672
    元宝区,    188 576,    94 135,    94 441,    188 576,    94 135,    94 441,-,-,-
    振兴区,    274 436,    137 437,    136 999,    274 436,    137 437,    136 999,-,-,-
    振安区,    197 506,    99 663,    97 843,    80 015,    39 844,    40 171,    117 491,    59 819,    57 672
  锦州市,    736 297,    373 110,    363 187,    596 182,    302 563,    293 619,    140 115,    70 547,    69 568
    古塔区,    207 749,    104 220,    103 529,    207 749,    104 220,    103 529,-,-,-
    凌河区,    266 433,    134 031,    132 402,    266 433,    134 031,    132 402,-,-,-
    太和区,    236 380,    121 891,    114 489,    117 471,    61 786,    55 685,    118 909,    60 105,    58 804
    天桥镇,    25 735,    12 968,    12 767,    4 529,    2 526,    2 003,    21 206,    10 442,    10 764
  营口市,    571 513,    293 687,    277 826,    458 353,    234 846,    223 507,    113 160,    58 841,    54 319
    站前区,    228 752,    118 107,    110 645,    228 752,    118 107,    110 645,-,-,-
    西市区,    149 180,    75 411,    73 769,    149 180,    75 411,    73 769,-,-,-
    鲅鱼圈区,    58 864,    30 263,    28 601,    58 864,    30 263,    28 601,-,-,-
    老边区,    134 717,    69 906,    64 811,    21 557,    11 065,    10 492,    113 160,    58 841,    54 319
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
表2-2单位：人,,,,,,,,,
,,,,,,,,,
,    合计,,,    居委会,,,    村委会,,
    市名,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  阜新市,    743 165,    375 333,    367 832,    600 124,    302 848,    297 276,    143 041,    72 485,    70 556
    海州区,    295 031,    148 968,    146 063,    295 031,    148 968,    146 063,-,-,-
    新邱区,    82 403,    41 750,    40 653,    82 403,    41 750,    40 653,-,-,-
    太平区,    157 642,    79 100,    78 542,    157 642,    79 100,    78 542,-,-,-
    清河门区,    73 634,    37 332,    36 302,    40 733,    20 809,    19 924,    32 901,    16 523,    16 378
    细河区,    134 455,    68 183,    66 272,    24 315,    12 221,    12 094,    110 140,    55 962,    54 178
  辽阳市,    639 553,    325 569,    313 984,    493 250,    249 897,    243 353,    146 303,    75 672,    70 631
    白塔区,    183 063,    92 083,    90 980,    183 063,    92 083,    90 980,-,-,-
    文圣区,    150 064,    75 216,    74 848,    150 064,    75 216,    74 848,-,-,-
    宏伟区,    68 337,    35 212,    33 125,    68 337,    35 212,    33 125,-,-,-
    弓长岭区,    92 194,    47 674,    44 520,    60 992,    31 571,    29 421,    31 202,    16 103,    15 099
    太子河区,    145 895,    75 384,    70 511,    30 794,    15 815,    14 979,    115 101,    59 569,    55 532
  盘锦市,    428 314,    224 428,    203 886,    367 639,    193 309,    174 330,    60 675,    31 119,    29 556
    双台子区,    146 006,    74 819,    71 187,    108 013,    55 372,    52 641,    37 993,    19 447,    18 546
    兴隆台区,    282 308,    149 609,    132 699,    259 626,    1 37 937,    121 689,    22 682,    11 672,    11 010
  铁岭市,    1 097 616,    560 692,    536 924,    507 690,    255 859,    251 831,    589 926,    304 833,    285 093
    银州区,    246 511,    124 083,    122 428,    223 761,    112 593,    111 168,    22 750,    11 490,    11 260
    清河区,    56 886,    28 434,    28 452,    36 574,    17 898,    18 676,20 312,    10 536,    9 776
    铁法市,    206 689,    105 851,    100 838,    124 287,    63 460,    60 827,    82 402,    42 391,    40 011
    开原市,    587 530,    302 324,    285 206,    123 068,    61 908,    61 160,    464 462,    240 416,224 046
  朝阳市,    989 749,    503 417,    486 332,    359 759,    181 781,    177 978,    629 990,    321 636,    308 354
    双塔区,    238 641,    120 199,    118 442,    177 347,    89 503,    87 844,      61 294,    30 696,    30 598
    龙城区,    130 326,    66 426,    63 900,    24 416,    12 805,    11 611,    105 910,53 621,    52 289
    北票市,    620 782,    316 792,    303 990,    157 996,    79 473,    78 523,    462 786,    237 319,    225 467
  锦西市,    1 350 134,    686 628,    663 506,    470 021,    237 302,    232 719,    880 113,    449 326,    430 787
    连山区,    597 520,    302 161,    295 359,    238 271,    119 285,    118 986,    359 249,    182 876,    176 373
    葫芦岛区,    80 354,    41 295,    39 059,    55 135,    28 701,    26 434,    25 219,    12 594,    12 625
    南票区,    151 406,    78 035,    73 371,    57 930,    29 985,    27 945,    93 476,    48 050,    45 426
    兴城市,    520 854,    265 137,    255 717,    118 685,    59 331,    59 354,402 169,    205 806,    196 363
吉林省,    12 511 360,    6 379 490,    6 131 870,    6 677 304,    3 376 600,    3 300 704,    5 834 056,    3 002 890,    2 831 166
  长春市,    2 980 870,    1 524 857,    1 456 013,    1 901 467,    968 069,    933 398,    1 079 403,    556 788,    522 615
    南关区,    463 802,    234 483,    229 319,    397 671,    200 597,    197 074,    66 131,    33 886,    32 245
    宽城区,    379 398,    189 903,    189 495,    347 502,    173 366,    174 136,    31 896,    16 537,    15 359
    朝阳区,    823 500,    427 095,    396 405,    719 866,    373 673,    346 193,    103 634,    53 422,    50 212
