表2-4省自治区直辖市的市按非农业户口和农业户口分的人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,    农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    的比例
总计,335 043 971, 172 785 428, 162 258 543, 143 232 103, 76 152 556, 67 079 547,  188 452 831,  94 940 131,  93 512 700,    3 359 037,  1 692 741,    1 666 296,    42.75
北京市,    7 362 426,    3 841 774,    3 520 652,    5 715 368,  2 990 519,  2 724 849,    1 561 038,    803 436,    757 602,    86 020,    47 819,    38 201,    77.63
  市辖区,    7 362 426,    3 841 774,    3 520 652,    5 715 368,  2 990 519,  2 724 849,    1 561 038,    803 436,    757 602,    86 020,    47 819,    38 201,    77.63
    东城区,    606 203,    309 679,    296 524,    575 144,    291 991,    283 153,    21 686,    12 286,    9 400,    9 373,    5 402,    3 971,    94.88
    西城区,    755 813,    385 216,    370 597,    716 843,    361 291,    355 552,    28 614,    18 204,    10 410,    10 356,    5 721,    4 635,    94.84
    崇文区,    417 651,    211 320,    206 331,    402 738,    203 228,    199 510,    11 964,    6 471,    5 493,    2 949,    1 621,    1 328,    96.43
    宣武区,    556 877,    290 204,    266 673,    537 003,    278 861,    258 142,    15 719,    8 993,    6 726,    4 155,    2 350,    1 805,    96.43
    朝阳区,    1 448 441,    762 960,    685 481,  1 116 844,    592 791,    524 053,    317 124,    162 060,    155 064,    14 473,    8 109,    6 364,    77.11
    丰台区,    789 151,    417 835,    371 316,    557 621,    294 616,    263 005,    225 196,    119 928,    105 268,    6 334,    3 291,    3 043,    70.66
    石景山区,    308 811,    164 619,    144 192,    269 230,    144 076,    125 154,    37 963,    19 641,    18 322,    1 618,    902,    716,    87.18
    海淀区,    1 442 776,    763 046,    679 730,    1 160 800,    610 496,    550 304,    257 822,    138 534,    119 288,    24 154,    14 016,    10 138,    80.46
    门头沟区,    270 343,    143 986,    126 357,    156 210,    85 657,    70 553,    112 411,    57 420,    54 991,    1 722,    909,    813,    57.78
    房山区,    766 360,    392 909,    373 451,    222 935,    127 512,    95 423,    532 539,    259 899,    272 640,    10 886,    5 498,    5 388,    29.09
天津市,    5 855 044,    2 987 121,    2 867 923,    4 521 266,  2 335 082,  2 186 184,    1 309 687,    639 666,    670 021,    24 091,    12 373,    11 718,    77.22
  市辖区,    5 855 044,    2 987 121,    2 867 923,    4 521 266,  2 335 082,2 186 184,    1 309 687,    639 666,    670 021,    24 091,    12 373,    11 718,    77.22
    和平区,    490 789,    241 327,    249 462,    484 039,    237 763,    246 276,    5 134,    2 716,    2 418,    1 616,    848,    768,    98.62
    河东区,    623 997,    318 889,    305 108,    609 522,    310 809,    298 713,    12 455,    7 063,    5 392,    2 020,    1 017,    1 003,    97.68
    河西区,    660 020,    337 124,    322 896,    644 104,    328 772,    315 332,    14 046,    7 307,    6 739,    1 870,    1 045,    825,    97.59
    南开区,    706 588,    367 813,    338 775,    683 712,    355 833,    327 879,    20 241,    10 553,    9 688,    2 635,    1 427,    1 208,    96.76
    河北区,    609 704,    308 874,    300 830,    598 605,    303 206,    295 399,    9 514,    4 818,    4 696,    1 585,    850,    735,    98.18
    红桥区,    573 743,    291 326,    282 417,    560 288,    284 763,    275 525,    11 761,    5 681,    6 080,    1 694,    882,    812,    97.65
    塘沽区,    443 444,    233 895,    209 549,    340 609,    182 348,    158 261,    100 697,    50 351,    50 346,    2 138,    1 196,    942,        76.81
    汉沽区,    166 348,    84 445,    81 903,    112 141,    58 561,    53 580,    53 152,    25 391,    27 761,        1 055,    493,    562,    67.41
    大港区,    309 637,    160 886,    148 751,    161 114,    91 064,    70 050,    144 674,    67 855,    76 819,    3 849,    1 967,    1 882,    52.03
    东郊区,    296 013,    150 301,    145 712,    83 422,    46 552,    36 870,    211 233,    103 128,    108 105,    1 358,    621,    737,    28.18
    西郊区,    299 923,    152 257,    147 666,    68 753,    38 659,    30 094,    229 881,    112 937,    116 944,    1 289,    661,    628,    22.92
    南郊区,    359 569,    180 305,    179 264,    75 627,    41 108,    34 519,    282 542,    138 564,    143 978,    1 400,    633,    767,    21.03
    北郊区,    315 269,    159 679,    155 590,    99 330,    55 644,    43 686,    214 357,    103 302,    111 055,    1 582,    733,    849,    31.51
河北省,  14 317 944,    7 381 309,    6 936 635,    5 873 653,  3 214 909,  2 658 744,    8 327 852,    4 108 901,    4 218 951,    116 439,    57 499,    58 940,    41.02
  石家庄市,    1 390 206,    727 171,    663 035,    1 065 392,    574 112,    491 280,    313 576,    147 285,    166 291,    11 238,    5 774,    5 464,    76.64
    长安区,    340 925,    177 539,    163 386,    315 589,    164 579,    151 010,    23 512,    11 891,    11 621,    1 824,    1 069,    755,    92.57
    桥东区,    227 923,    119 865,    108 058,    206 161,    109 224,    96 937,    20 602,    10 058,    10 544,    1 160,    583,    577,    90.45
    桥西区,    189 758,    97 705,    92 053,    176 913,    91 145,    85 768,    11 957,    6 080,    5 877,    888,    480,    408,    93.23
    新华区,    263 340,    146 283,    117 057,    244 105,    135 164,    108 941,    18 062,    10 431,    7 631,    1 173,    688,    485,    92.70
    郊区,    254 275,    126 424,    127 851,    55 427,    36 024,    19 403,    196 273,    89 234,    107 039,    2 575,    1 166,    1 409,    21.80
    井陉矿区,    113 985,    59 355,    54 630,    67 197,    37 976,    29 221,    43 170,    19 591,    23 579,    3 618,    1 788,    1 830,    58.95
  唐山市,    1 517 758,    779 898,    737 860,  1 041 700,    561 213,    480 487,    470 051,    215 665,    254 386,    6 007,    3 020,    2 987,    68.63
    路南区,    197 951,    103 582,    94 369,    180 039,    95 902,    84 137,    17 392,    7 400,    9 992,    520,    280,    240,    90.95
    路北区,    400 963,    208 439,    192 524,    381 528,    199 666,    181 862,    18 741,    8 345,    10 396,    694,    428,        266,    95.15
    东矿区,    401 621,    204 081,    197 540,    288 717,    154 151,    134 566,    111 271,    49 204,    62 067,    1 633,    726,    907,    71.89
    开平区,    389 082,    196 969,    192 113,    125 228,    75 002,    50 226,    261 683,    120 939,    140 744,    2 171,    1 028,    1 143,    32.19
    新区,    128 141,    66 827,    61 314,    66 188,    36 492,    29 696,    60 964,    29 777,    31 187,    989,    558,    431,    51.65
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表2-4单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,    农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    的比例
  秦皇岛市,    521 142,    270 346,    250 796,    360 425,  189 891,  170 534,    157 522,    78 955,    78 567,    3 195,    1 500,    1 695,    69.16
    海港区,    331 327,    174 704,    156 623,    261 310,  138 351,  122 959,    68 123,    35 453,    32 670,    1 894,    900,    994,    78.87
    山海关区,    134 639,    68 187,    66 452,    75 574,    39 311,  36 263,    58 297,    28 523,    29 774,    768,    353,    415,    56.13
    北戴河区,    55 176,    27 455,    27 721,    23 541,    12 229,  11 312,    31 102,    14 979,    16 123,    533,    247,    286,    42.67
  邯郸市,  1 787 151,    957 923,    829 228,    832 402,  475 331, 357 071,    927 683,    469 446,    458 237,    27 066,    13 146,    13 920,    46.58
    邯山区,    225 164,    122 233,    102 931,    182 159,  101 129,  81 030,    38 248,    18 600,    19 648,    4 757,    2 504,    2 253,    80.90
    丛台区,    252 920,    131 306,    121 614,    214 063,  112 586,  101 477,    35 280,    16 996,    18 284,3577,    1 724,    1 853,    84.64
    复兴区,    196 495,    117 963,    78 532,    147 711,    90 271,  57 440,    46 231,    26 495,    19 736,    2 553,    1 197,    1 356,    75.17
    峰峰矿区,    477 279,    263 824,    213 455,    253 930,  148 615,  105 315,    210 063,    108 877,    101 186,    13 286,    6 332,    6 954,    53.20
    武安市,    635 293,    322 597,    312 696,    34 539,    22 730,  11 809,    597 861,    298 478,    299 383,2 893,    1 389,    1 504,    5.44
  邢台市,    398 431,    212 536,    185 895,    269 556,  150 471,  119 085,    119 333,    57 383,    61 950,    9 542,    4 682,    4 860,    67.65
    桥东区,    184 650,    94 396,    90 254,    133 435,    70 990,  62 445,    46 666,    21 154,    25 512,    4 549,    2 252,    2 297,    72.26
    桥西区,    213 781,    118 140,    95 641,    136 121,    79 481,  56 640,    72 667,    36 229,    36 438,    4 993,    2 430,    2 563,    63.67
  保定市,    605 087,    315 412,    289 675,    485 344,  259 276,  226 068,    117 658,    55 030,    62 628,    2 085,    1 106,    979,    80.21
    新市区,    271 100,    144 652,    126 448,    209 278,  115 171,  94 107,    61 255,    29 166,    32 089,    567,    315,    252,    77.20
    北市区,    164 602,    84 666,    79 936,    146 559,    76 306,  70 253,    17 493,    8 074,    9 419,    550,    286,    264,    89.04
    南市区,    169 385,    86 094,    83 291,    129 507,    67 799,  61 708,    38 910,    17 790,    21 120,    968,    505,    463,    76.46
  张家口市,    720 814,    370 676,    350 138,    525 013,  273 146,  251 867,    190 537,    94 881,    95 656,    5 264,    2 649,    2 615,    72.84
    桥东区,    219 160,    111 460,    107 700,    170 966,    87 573,  83 393,    46 682,    23 129,    23 553,    1 512,    758,    754,    78.01
    桥西区,    206 427,    103 215,    103 212,    157 506,    79 375,  78 131,    47 486,    23 093,    24 393,    1 435,    747,    688,    76.30
    宣化区,    226 675,    119 966,    106 709,    165 249,    89 091,  76 158,    59 537,    29 935,    29 602,    1 889,    940,    949,    72.90
    下花园区,    68 552,    36 035,    32 517,    31 292,    17 107,  14 185,    36 832,    18 724,    18 108,    428,    204,    224,    45.65
  承德市,    369 388,    191 847,    177 541,    243 248,  131 064,  112 184,    120 050,    57 870,    62 180,    6 090,    2 913,    3 177,    65.85
    双桥区,    210 392,    107 913,    102 479,    154 946,    81 401,  73 545,    52 233,    24 933,    27 300,    3 213,    1 579,    1 634,    73.65
    双滦区,    88 134,    46 417,    41 717,    44 665,    25 562,  19 103,    42 153,    20 228,    21 925,    1 316,    627,    689,    50.68
    鹰手营子矿区,    70 862,    37 517,    33 345,    43 637,    24 101,  19 536,    25 664,    12 709,    12 955,    1 561,    707,    854,    61.58
  沧州市,    330 677,    170 992,    159 685,    221 874,  118 031,  103 843,    105 531,    51 379,    54 152,    3 272,    1 582,    1 690,    67.10
    新华区,    103 981,    56 711,    47 270,    98 820,    54 419,  44 401,    4 401,    1 915,    2 486,    760,    377,    383,    95.04
    运河区,    115 682,    58 135,    57 547,    108 646,    55 061,  53 585,    6 102,    2 618,    3 484,    934,    456,    478,    93.92
    郊区,    111 014,    56 146,    54 868,    14 408,    8 551,    5 857,    95 028,    46 846,    48 182,    1 578,    749,    829,    12.98
  廊坊市,  1 083 980,    552 684,    531 296,    183 368,  103 422,  79 946,    887 586,    442 926,    444 660,    13 026,    6 336,    6 690,    16.92
    安次区,    597 080,    306 970,    290 110,    146 020,    81 356,  64 664,    438 169,    219 343,    218 826,    12 891,    6 271,    6 620,    24.46
    霸州市,    486 900,    245 714,    241 186,    37 348,    22 066,  15 282,    449 417,    223 583,    225 834,    135,    65,    70,    7.67
  邢台地区,    850 568,    433 787,    416 781,    88 221,    56 967,  31 254,    760 457,    375 851,    384 606,    1 890,    969,    921,    10.37
    南宫市,    429 588,    213 927,    215 661,    21 459,    13 901,    7 558,    407 685,    199 784,    207 901,    444,    242,    202,    5.00
    沙河市,    420 980,    219 860,    201 120,    66 762,    43 066,  23 696,    352 772,    176 067,    176 705,    1 446,    727,    719,    15.86
  石家庄地区,  1 267 723,    637 321,    630 402,    66 438,    41 804,  24 634,    1 192 098,    590 986,    601 112,    9 187,    4 531,    4 656,    5.24
    辛集市,    582 131,    292 468,    289 663,    43 402,    27 201,  16 201,    532 440,    262 079,    270 361,    6 289,    3 188,    3 101,    7.46
    藁城市,    685 592,    344 853,    340 739,    23 036,    14 603,    8 433,    659 658,    328 907,    330 751,    2 898,    1 343,1 555,    3.36
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表2-4单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,      农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    的比例
  保定地区,    1 520 315,    766 252,    754 063,    136 321,    77 129,    59 192,  1 371 388,    682 851,    688 537,    12 606,    6 272,    6 334,    8.97
    定州市,    1 024 953,    514 102,    510 851,    65 717,    38 374,    27 343,    948 988,    470 543,    478 445,    10 248,    5 185,    5 063,    6.41
    涿州市,    495 362,    252 150,    243 212,    70 604,    38 755,    31 849,    422 400,    212 308,    210 092,    2 358,    1 087,    1 271,    14.25
  沧州地区,    1 624 923,    826 176,    798 747,    255 228,  147 044,    108 184,    1 364 334,    676 416,    687 918,    5 361,    2 716,    2 645,    15.71
    泊头市,    494 656,    250 714,    243 942,    65 535,    36 034,    29 501,    425 996,    213 110,    212 886,    3 125,    1 570,    1 555,    13.25
    任丘市,    701 411,    356 832,    344 579,    127 843,    74 892,    52 951,    572 650,    281 474,    291 176,    918,    466,    452,    18.23
    黄骅市,    428 856,    218 630,    210 226,    61 850,    36 118,    25 732,    365 688,    181 832,    183 856,    1 318,    680,    638,    14.42
  衡水地区,    329 781,    168 288,    161 493,    99 123,    56 008,    43 115,    230 048,111 977,    118 071,    610,    303,    307,    30.06
    衡水市,    329 781,    168 288,    161 493,    99 123,    56 008,    43 115,    230 048,    111 977,    118 071,    610,    303,    307,    30.06
山西省,  8 184 219,  4 307 310,    3 876 909,    3 905 552,  2 168 032,  1 737 520,    4 190 525,    2 094 338,    2 096 187,    88 142,    44 940,    43 202,    47.72
  太原市,  2 224 580,  1 180 565,    1 044 015,    1 577 321,    853 384,    723 937,    628 278,    317 742,    310 536,    18 981,    9 439,    9 542,    70.90
    南城区,    564 675,    295 550,    269 125,    538 946,    282 699,    256 247,    22 713,11 268,11 445,    3 016,    1 583,    1 433,    95.44
    北城区,    573 018,    301 056,    271 962,    541 786,    285 949,    255 837,    27 895,    13 389,    14 506,    3 337,    1 718,    1 619,    94.55
    河西区,    413 083,    227 544,    185 539,    371 422,    206 402,    165 020,    38 536,    19 583,    18 953,    3 125,    1 559,    1 566,    89.91
    南郊区,    294 823,    151 838,    142 985,    35 056,    22 207,    12 849,    256 327,    128 101,    128 226,    3 440,    1 530,    1 910,    11.89
    北郊区,    205 959,    108 020,    97 939,    27 137,    18 368,    8 769,    176 007,    88 288,    87 719,    2 815,    1 364,    1 451,    13.18
    古交市,    173 022,    96 557,    76 465,    62 974,    37 759,    25 215,    106 800,    57 113,    49 687,    3 248,    1 685,    1 563,    36.40
  大同市,    1 277 310,    680 916,    596 394,    778 978,    422 013,    356 965,    473 297,    245 882,    227 415,    25 035,    13 021,    12 014,    60.99
    城区,    420 337,    217 345,    202 992,    377 542,    196 807,    180 735,    39 310,    18 741,    20 569,    3 485,    1 797,    1 688,    89.82
    矿区,    474 983,    257 094,    217 889,    359 276,    198 293,    160 983,    108 037,    54 727,    53 310,    7 670,    4 074,    3 596,    75.64
    南郊区,    282 183,    152 505,    129 678,    31 824,    20 175,    11 649,    239 259,    126 607,    112 652,    11 100,    5 723,    5 377,    11.28
    新荣区,    99 807,    53 972,    45 835,    10 336,    6 738,    3 598,    86 691,    45 807,    40 884,    2 780,    1 427,    1 353,    10.36
  阳泉市,    574 832,    312 692,    262 140,    337 831,    197 004,    140 827,    233 030,    113 573,    119 457,    3 971,    2 115,    1 856,    58.77
    城区,    131 564,    69 794,    61 770,    122 260,    65 198,    57 062,    8 654,    4 291,    4 363,    650,    305,    345,    92.93
    矿区,    189 968,    107 059,    82 909,    160 032,    91 070,    68 962,    28 384,    15 151,    13 233,    1 552,    838,    714,    84.24
    郊区,    253 300,    135 839,    117 461,    55 539,    40 736,    14 803,    195 992,    94 131,    101 861,    1 769,    972,    797,    21.93
  长治市,    552 255,    292 414,    259 841,    307 213,    173 216,    133 997,    236 872,    115 186,    121 686,    8 170,    4 012,    4 158,    55.63
    城区,    290 385,    153 196,    137 189,    213 247,    116 684,    96 563,    72 356,    34 164,    38 192,    4 782,    2 348,    2 434,    73.44
    郊区,    261 870,    139 218,    122 652,    93 966,    56 532,    37 434,    164 516,    81 022,    83 494,    3 388,    1 664,    1 724,    35.88
  晋城市,    677 045,    349 741,    327 304,    127 595,    82 018,    45 577,    546 081,    265 924,    280 157,    3 369,    1 799,    1 570,    18.85
    城区,    190 048,    102 964,    87 084,    93 148,    56 341,    36 807,    94 278,    45 263,    49 015,    2 622,    1 360,    1 262,    49.01
    郊区,    486 997,    246 777,    240 220,    34 447,    25 677,    8 770,    451 803,    220 661,    231 142,    747,    439,    308,    7.07
  朔州市,    469 903,    247 339,    222 564,    76 221,    47 118,    29 103,    388 151,    197 364,    190 787,    5 531,    2 857,    2 674,    16.22
    朔城区,    301 966,    159 410,    142 556,    59 636,    36 387,    23 249,    237 926,    120 757,    117 169,    4 404,    2 266,    2 138,    19.75
    平鲁区,     167 937,    87 929,    80 008,    16 585,    10 731,    5 854,    150 225,    76 607,    73 618,    1 127,    591,    536,    9.88
  忻州地区,    434 062,    226 311,    207 751,    93 420,    55 413,  38 007,    335 395,    168 263,    167 132,    5 247,    2 635,    2 612,    21.52
    忻州市,    434 062,    226 311,    207 751,    93 420,    55 413,  38 007,    335 395,    168 263,    167 132,    5 247,    2 635,    2 612,    21.52
  晋中地区,    467 127,    241 540,    225 587,    188 985,    100 533,  88 452,    272 322,    138 084,    134 238,    5 820,    2 923,    2 897,    40.46
    榆次市,    467 127,    241 540,    225 587,    188 985,    100 533,  88 452,    272 322,    138 084,    134 238,    5 820,    2 923,    2 897,    40.46
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
  省、自治区、直辖市的市按非农业户口和农业户口分的人口数(续03),,,,,,,,,,,,,
表2-4单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,    农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    的比例
  临汾地区,  1 014 814,    524 733,  490 081,    311 021,  175 523,  135 498,    693 836,    344 095,    349 741,    9 957,    5 115,    4 842,    30.65
    临汾市,    588 171,    300 496,  287 675,    174 159,    95 959,    78 200,    407 432,    201 181,    206 251,    6 580,    3 356,    3 224,    29.61
    侯马市,    178 480,    91 977,    86 503,    71 873,    39 589,    32 284,    105 200,    51 644,    53 556,    1 407,    744,    663,    40.27
    霍州市,    248 163,    132 260,    115 903,    64 989,    39 975,    25 014,    181 204,    91 270,    89 934,    1 970,    1 015,    955,    26.19
  运城地区,    492 291,    251 059,    241 232,    106 967,    61 810,    45 157,    383 263,    188 225,    195 038,    2 061,    1 024,    1 037,    21.73
    运城市,    492 291,    251 059,    241 232,    106 967,    61 810,    45 157,    383 263,    188 225,    195 038,    2 061,    1 024,    1 037,    21.73
内蒙古自治区,  6 549 685,  3 378 740,  3 170 945,  3 922 474, 2 019 361, 1 903 113,  2 514 041,  1 302 336,  1 211 705,    113 170,    57 043,    56 127,    59.89
  呼和浩特市,  947 677,  495 635,  452 042,  653 565,  338 945,  314 620,    277 338,    147 364,    129 974,    16 774,    9 326,    7 448,    68.96
    新城区,  346 854,  179 628,  167 226,  326 480,  167 704,  158 776,    15 965,    9 312,    6 653,    4 409,    2 612,    1 797,    94.13
    回民区,  171 776,    87 684,    84 092,  162 225,    82 515,    79 710,    7 847,    4 121,    3 726,    1 704,    1 048,    656,    94.44
    玉泉区,  107 476,    54 892,    52 584,    98 366,    50 470,    47 896,    7 575,    3 571,    4 004,    1 535,    851,    684,    91.52
    郊区,  321 571,    173 431,    148 140,    66 494,    38 256,    28 238,    245 951,    130 360,    115 591,    9 126,    4 815,    4 311,    20.68
  包头市,  1 248 391,    644 645,    603 746,    980 436,  503 000,  477 436,    253 775,    134 467,    119 308,    14 180,    7 178,    7 002,    78.54
    东河区,    347 002,    177 150,    169 852,    315 847,  161 703,  154 144,    26 803,    13 285,    13 518,    4 352,    2 162,    2 190,    91.02
    昆都伦区,    347 341,    179 167,    168 174,    322 449,  165 757,  156 692,    21 753,    11 814,    9 939,    3 139,    1 596,    1 543,    92.83
    青山区,    256 367,    130 973,    125 394,    239 893,  121 603,  118 290,    14 866,    8 467,    6 399,    1 608,    903,    705,    93.57
    石拐矿区,    60 412,    31 646,    28 766,    53 817,    28 047,    25 770,    5 645,    3 063,    2 582,    950,    536,    414,    89.08
    白云矿区,    22 735,    11 878,    10 857,    21 045,    10 985,    10 060,    1 561,    831,    730,    129,    62,    67,    92.57
    郊区,    214 534,    113 831,    100 703,    27 385,    14 905,    12 480,    183 147,    97 007,    86 140,    4 002,    1 919,    2 083,    12.76
  乌海市,    314 148,    164 599,    149 549,    260 955,  135 280,  125 675,    45 029,    25 120,    19 909,    8 164,    4 199,    3 965,    83.07
    海勃湾区,    119 876,    62 780,    57 096,    98 739,    51 014,  47 725,    18 357,    10 272,    8 085,    2 780,    1 494,    1 286,    82.37
    海南区,    75 215,    40 037,    35 178,    58 920,    30 960,  27 960,    14 161,    7 986,    6 175,    2 134,    1 091,    1 043,    78.34
    乌达区,    119 057,    61 782,    57 275,    103 296,    53 306,  49 990,    12 511,    6 862,    5 649,    3 250,    1 614,    1 636,    86.76
  赤峰市,    987 301,    505 296,    482 005,    344 313,  179 462,  164 851,    634 756,    322 257,    312 499,    8 232,    3 577,    4 655,    34.87
    红山区,    234 989,    118 466,    116 523,    176 867,    89 717,    87 150,    55 462,    27 432,    28 030,    2 660,    1 317,    1 343,    75.27
    元宝山区,    254 527,    129 796,    124 731,    126 706,    65 255,    61 451,    124 451,    63 095,    61 356,    3 370,    1 446,    1 924,    49.78
    郊区,    497 785,    257 034,    240 751,    40 740,    24 490,    16 250,    454 843,    231 730,    223 113,    2 202,    814,    1 388,    8.18
  呼伦贝尔盟,  1 175 075,    602 564,    572 511,    791 925,  403 274,  388 651,    350 053,    183 085,    166 968,    33 097,    16 205,    16 892,    67.39
    海拉尔市,    205 744,    104 190,    101 554,    176 123,    89 242,    86 881,    25 527,    12 892,    12 635,    4 094,    2 056,    2 038,    85.60
    满州里市,    137 790,    70 893,    66 897,    119 400,    60 955,    58 445,    15 653,    8 551,    7 102,    2 737,    1 387,    1 350,    86.65
    扎兰屯市,    415 498,    214 945,    200 553,    131 156,    66 739,    64 417,    270 208,    141 392,    128 816,    14 134,    6 814,    7 320,    31.57
    牙克石市,    416 043,    212 536,    203 507,    365 246,  186 338,  178 908,    38 665,    20 250,    18 415,    12 132,    5 948,    6 184,    87.79
  兴安盟,    229 136,    115 743,    113 393,    152 005,    76 842,    75 163,    72 359,    36 651,    35 708,    4 772,    2 250,    2 522,    66.34
    乌兰浩特市,    229 136,    115 743,    113 393,    152 005,    76 842,    75 163,    72 359,    36 651,    35 708,    4 772,    2 250,    2 522,    66.34
  哲里木盟,    735 656,    375 562,    360 094,    280 498,  144 794,  135 704,    449 292,    227 785,    221 507,    5 866,    2 983,    2 883,    38.13
    通辽市,    688 764,    351 335,    337 429,    246 828,  127 115,  119 713,    437 287,    221 840,    215 447,    4 649,    2 380,    2 269,    35.84
    霍林郭勒市,    46 892,    24 227,    22 665,    33 670,    17 679,    15 991,    12 005,    5 945,    6 060,    1 217,    603,    614,    71.80
  锡林郭勒盟,    138 536,    72 572,    65 964,    96 078,    50 449,    45 629,    38 226,    19 902,    18 324,    4 232,    2 221,    2 011,    69.35
    二连浩特市,    11 628,    6 370,    5 258,    9 455,    5 272,    4 183,    1 964,    993,    971,    209,    105,    104,    81.31
    锡林浩特市,    126 908,    66 202,    60 706,    86 623,    45 177,    41 446,    36 262,    18 909,    17 353,    4 023,    2 116,    1 907,    68.26
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表2-4单位：人、％,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    非农业户口,,,    农业户口,,,    户口待定和暂无户口,,,    非农业
    市名,  合计,    男,    女,,,,,,,,,,    户口占
,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,    的比例
  乌兰察布盟,    193 085,    98 903,    94 182,    159 077,    81 883,    77 194,    31 798,    15 801,    15 997,    2 210,    1 219,    991,    82.39
    集宁市,    193 085,    98 903,    94 182,    159 077,    81 883,    77 194,    31 798,    15 801,    15 997,    2 210,    1 219,    991,    82.39
  伊克昭盟,    147 026,    77 263,    69 763,    72 368,    37 877,    34 491,    72 129,    38 052,    34 077,    2 529,    1 334,    1 195,    49.22
    东胜市,    147 026,    77 263,    69 763,    72 368,    37 877,    34 491,    72 129,    38 052,    34 077,    2 529,    1 334,    1 195,    49.22
  巴彦淖尔盟,    433 654,    225 958,    207 696,    131 254,    67 555,    63 699,    289 286,    151 852,    137 434,    13 114,    6 551,    6 563,    30.27
    临河市,    433 654,    225 958,    207 696,    131 254,    67 555,    63 699,    289 286,    151 852,    137 434,    13 114,    6 551,    6 563,    30.27
辽宁省,  20 211 215,  10 296 903,  9 914 312,  13 276 689, 6 845 147,6 431 542,    6 795 636,3 378 123,  3 417 513,    138 890,    73 633,    65 257,    65.69
  沈阳市,  4 669 737,    2 375 679,  2 294 058,  3 588 084, 1 826 936,  1 761 148,    1 055 435,    534 418,    521 017,    26 218,    14 325,    11 893,    76.84
    和平区,    581 313,    290 995,    290 318,    564 554,    281 635,    282 919,    14 423,    7 860,    6 563,    2 336,    1 500,    836,    97.12
    沈河区,    533 564,    272 451,    261 113,    507 298,    254 109,    253 189,    24 667,    17 444,    7 223,    1 599,    898,    701,    95.08
    大东区,    583 843,    296 932,    286 911,    566 462,    288 857,    277 605,    15 700,    7 148,    8 552,    1 681,    927,    754,    97.02
    皇姑区,    629 784,    317 169,    312 615,    613 069,    309 053,    304 016,    14 622,    6 994,    7 628,    2 093,    1 122,    971,    97.35
    铁西区,    726 364,    368 466,    357 898,    708 410,    359 161,    349 249,    16 095,    8 249,    7 846,    1 859,    1 056,    803,    97.53
    苏家屯区,    421 101,    215 257,    205 844,    189 971,    99 702,    90 269,    227 313,    113 454,    113 859,    3 817,    2 101,    1 716,    45.11
    东陵区,    455 625,    234 847,    220 778,    171 369,    91 572,    79 797,    279 673,    140 856,    138 817,    4 583,    2 419,    2 164,    37.61
    新城子区,    304 038,    156 174,    147 864,    110 253,    58 373,    51 880,    190 011,    95 874,    94 137,    3 774,    1 927,    1 847,    36.26
    于洪区,    434 105,    223 388,    210 717,    156 698,    84 474,    72 224,    272 931,    136 539,    136 392,    4 476,    2 375,    2 101,    36.10
  大连市,  3 485 136,  1 784 260,  1 700 876,  1 970 502, 1 033 907,    936 595,    1 481 425,    733 178,    748 247,    33 209,    17 175,    16 034,    56.54
    中山区,    349 143,    176 750,    172 393,    337 718,    169 851,    167 867,    9 937,    5 912,    4 025,    1 488,    987,    501,    96.73
    西岗区,    322 183,    165 565,    156 618,    312 376,    159 950,    152 426,    8 980,    5 171,    3 809,    827,    444,    383,    96.96
    沙河口区,    486 525,    248 306,    238 219,    462 884,    234 692,    228 192,    22 214,    12 825,    9 389,    1 427,    789,    638,    95.14
    甘井子区,    503 276,    266 319,    236 957,    336 571,    181 494,    155 077,    163 960,    83 363,    80 597,    2 745,    1 462,    1 283,    66.88
    旅顺口区,    216 918,    109 207,    107 711,    88 532,    47 367,    41 165,    127 871,    61 554,    66 317,    515,    286,    229,    40.81
    金州区,    605 731,    305 888,    299 843,    182 603,    98 798,    83 805,    415 590,    203 198,    212 392,    7 538,    3 892,    3 646,    30.15
