,,,,,,,,,,,,,,,,,,,,,,,,
表7-16全国县按丈夫年龄和夫妻年龄差分的妻子人数(第二口径),,,,,,,,,,,,,,表7-16全国县按丈夫年龄和夫妻年龄差分的妻子人数(第二口径)(续03),,,,,,,,,,
    单位：人,,,,,,,,,,,,,,    单位：人,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,,    丈夫年龄与妻子年龄之差,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,    丈夫年龄别,,,,,,,,,,
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,,    -1岁,    -2岁,    -3岁,    -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,    -10岁及以上
,,,,,,,,,,,,,,,,,,,,,,,,
,    丈夫年龄与 妻子年龄之差,,,,,,,,,,,,,,    丈夫年龄与妻子年龄之差,,,,,,,,,
    丈夫年龄别,,,,,,,,,,,,,,    丈夫年龄别,,,,,,,,,,
,  10岁及以上,    9岁,    8岁,    7岁,    6岁,    5岁,    4岁,    3岁,    2岁,    1岁,    0岁,,,,    -1岁,    -2岁,    -3岁,    -4岁,    -5岁,    -6岁,    -7岁,    -8岁,    -9岁,  -10岁及以上
70-74岁,    545 882,    149 293,    166 327,    170 652,    178 029,    199 639,    207 463,    210 191,    224 280,    223 850,    208 510,,,70-74岁,    150 460,    115 241,    75 159,    45 373,    25 707,    14 023,    7 575,    4 366,    2 537,    4 087
  70,    139 272,    39 575,    46 773,    46 471,    50 150,    59 346,    58 184,    57 016,    63 436,    64 638,    63 788,,,  70,    42 017,    32 197,    23 297,    14 713,    7 938,    4 649,    2 221,    1 262,    808,    1432
  71,    109 986,    33 466,    34 970,    35 540,    37 979,    43 222,    44 552,    47 048,    48 693,    50 893,    43 792,,,  71,    34 255,    28 129,    18 218,    9 920,    6 009,    2 909,    1 683,    1 035,    630,    974
  72,    108 557,    27 634,    29 531,    33 985,    35 265,    36 372,    40 716,    40 717,    45 119,    41 484,    39 308,,,  72,    30 761,    22 545,    12 269,    7 845,    4 636,    2 540,    1 538,    890,    478,    679
  73,    98 924,    24 729,    29 972,    30 217,    28 944,    33 193,    34 001,    37 076,    36 447,    37 374,    35 081,,,  73,    23 355,    15 040,    11 420,    7 448,    3 779,    2 187,    1 252,    676,    351,    574
  74,    89 143,    23 889,    25 081,    24 439,    25 691,    27 506,    30 010,    28 334,    30 585,    29 461,    26 541,,,  74,    20 072,    17 330,    9 955,    5 447,    3 345,    1 738,    881,    503,    270,    428
