,,,,,,,,,,,,,,,,,,
表7-2省、自治区、直辖市的市各种文化程度人口分性别的婚姻状况(第二口径),,,,,,,,,,,,,,,表7-2省、自治区、直辖市的市各种文化程度人口分性别的,,,
    单位：人,,,,,,,,,,,,,,,    婚姻状况(第二口径)(续08)单位：人,,,
,,,,,,,,,,,,,,,,,,
    文化程度,    合计,,,    未婚,,,    有配偶,,,    丧偶,,,,,    文化程度,    离婚,,
    和地区别,,,,,,    女,    小计,    男,    女,    小计,    男,    女,,,    和地区别,,,
,  合计,    男,    女,  小计,    男,,,,,,,,,,,    小计,    男,    女
初中,    59 721 792,    33 402 365,    26 319 427,    18 889 750,  11089 994,    7 799 756,    39 734 257,    21 768 638,    17 965 619,    616 050,    287 084,    328 966,,,初中,    481735,    256 649,    225 086
北京市,    2 026 358,    1 171 791,    854 567,    505 761,    324 907,    180 854,    1 476 767,    825 763,    651 004,    26 538,    12 073,    14 465,,,北京市,    17 292,    9 048,    8 244
天津市,    1 732 576,    978 520,    754 056,    387 018,    233 652,    153 366,    1 309 024,    723 966,    585 058,    24 564,    14443,    10 121,,,天津市,    11 970,    6 459,    5 511
河北省,    2 678 727,    1 507 674,    1 171 053,    687 827,    396 753,    291 074,    1 955 106,    1 091 869,    863 237,    21 597,    11020,    10 577,,,河北省,    14 197,    8 032,    6 165
山西省,    1 945 811,    1 122 061,    823 750,    641 176,    385 822,    255 354,    1 278 169,    721 238,      556 931,    15 832,    8 238,    7 594,,,山西省,    10 634,    6 763,    3 871
内蒙古自治区,    1 479 859,    827 790,    652 069,    484 753,    284 529,    200 224,    972 900,    531 979,    440 921,    11 723,    5 590,    6 133,,,内蒙古自治区,    10 483,    5 692,    4 791
辽宁省,    6 023 748,    3 181 607,    2 842 141,    1 452 279,    862 007,    590 272,    4 449 124,    2 262 964,    2 186 160,    52 184,    22 665,    29 519,,,辽宁省,    70 161,    33 971,    36 190
吉林省,    2 058 089,    1 090 717,    967 372,    593 103,    335 244,    257 859,    1 412 982,    731 719,    681 263,    25 614,    10 872,    14 742,,,吉林省,    26 390,    12 882,    13 508
黑龙江省,    3 759 820,    2 040 577,    1 719 243,    1 144 039,    658 521,    485 518,    2 533 601,    1 344 489,    1 189 112,    38 685,    16 622,    22 063,,,黑龙江省,    43 495,    20 945,    22 550
上海市,    2 447 352,    1 374 238,    1 073 114,    430 237,    296 087,    134 150,    1 930 936,    1 037 816,    893 120,    53 045,    23 188,    29 857,,,上海市,    33 134,    17 147,    15 987
江苏省,    2 942 455,    1 656 450,    1 286 005,    865 549,    512 825,    352 724,    2 025 197,    1 116 848,    908 349,    33 501,    16 230,    17 271,,,江苏省,    18 208,    10 547,    7 661
浙江省,    1 726 397,    968 755,    757 642,    578 000,    344 979,    233 021,    1 119 454,    609 174,    510 280,    17 065,    7 712,    9 353,,,浙江省,    11 878,    6 890,    4 988
安徽省,    1 862 912,    1 061 333,    801 579,    652 306,    384 382,    267 924,    1 182 405,    661 224,    521 181,    17 483,    9 110,    8 373,,,安徽省,    10 718,    6 617,    4 101
福建省,    886 839,    522 206,    364 633,    294 395,    180 049,    114 346,    573 733,    333 560,    240 173,    13 600,    5 554,    8 046,,,福建省,    5 111,    3 043,    2 068
江西省,    1 269 028,    709 285,    559 743,    442 835,    258 982,    183 853,    805 616,    440 153,    365 463,    12 732,    5 699,    7 033,,,江西省,    7 845,    4 451,    3 394
山东省,    4 583 660,    2 664 415,    1 919 245,    1 658 660,    964 954,    693 706,    2 878 341,    1 671 824,    1 206 517,    31 105,    18 293,    12 812,,,山东省,    15 554,    9 344,    6 210
河南省,    2 630 967,    1 493 068,    1 137 899,    844 688,    487 255,    357 433,    1 746 825,    985 984,    760 841,    24 324,    11 697,    12 627,,,河南省,    15 130,    8 132,    6 998
湖北省,    3 126 497,    1 747 395,    1 379 102,    1 001 203,    572 206,    428 997,    2 074 633,    1 148 186,    926 447,    31 585,    16 136,    15 449,,,湖北省,    19 076,    10 867,    8 209
湖南省,    2 011 717,    1 082 347,    929 370,    673 220,    388 747,    284 473,    1 299 966,    674 621,    625 345,    21 551,    9 751,    11 800,,,湖南省,    16 980,    9 228,    7 752
广东省,    4 045 024,    2 256 909,    1 788 115,    1 914 553,    1 034 823,    879 730,    2 084 087,    1 199 692,    884 395,    33 387,    14 490,    18 897,,,广东省,    12 997,    7 904,    5 093
广西壮族自治区,    848 775,    470 326,    378 449,    301 087,    175 174,    125 913,    529 313,    287 474,    241 839,    10 275,    3 532,    6 743,,,广西壮族自治区,    8 100,    4 146,    3 954
海南省,    206 236,    119 848,    86 388,    83 545,    49 117,    34 428,    120 282,    69 492,    50 790,    1 682,    802,    880,,,海南省,    727,    437,    290
四川省,    4 002 343,    2 253 588,    1 748 755,    1 299 858,    780 534,    519 324,    2 614 739,    1 429 797,    1 184 942,    42 818,    19 462,    23 356,,,四川省,    44 928,    23 795,    21 133
贵州省,    947 871,    568 637,    379 234,    349 864,    218 503,    131 361,    574 276,    338 354,    235 922,    10 369,    4 504,    5 865,,,贵州省,    13 362,    7 276,    6 086
云南省,    591 832,    333 756,    258 076,    212 122,    129 623,    82 499,    364 917,    196 939,    167 978,    7 083,    2 852,    4 231,,,云南省,    7 710,    4 342,    3 368
西藏自治区,    30 915,    20 355,    10 560,    14 110,    10 004,    4 106,    16 275,    10 106,    6 169,    238,    101,    1 37,,,西藏自治区,    292,    144,    148
陕西省,    1 361 739,    755 553,    606 186,    400 611,    234 608,    166 003,    937 748,    509 026,    428 722,    14 739,    6 884,    7 855,,,陕西省,    8 641,    5 035,    3 606
