表3-29全国各民族有生育的妇女按年龄和孩次分的出生人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,四孩,五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  40-44岁,    93 906,    360,    12,    42,    34,    38,    234,    258,    10,    28,    30,    31,    159
    40,    24 526,    144,    4,    27,    13,    19,    81,    107,    4,    10,    19,    13,    61
    41,    19 213,    71,    2,    7,    9,    9,44,    59,    3,    9,    3,    6,    38
    42,    18 241,    64,    3,    3,    6,    8,    44,    41,-,    5,    3,    6,    27
    43,    17 760,    46,    1,    5,    3,    2,    35,    32,    2,    4,    4,    2,    20
    44,    14 166,    35,    2,-,    3,    -,    30,    19,    1,-,    1,    4,    13
  45-49岁,    71 250,    53,    1,    4,    6,    9,    33,    55,    3,    3,    5,    7,    37
    45,    15 038,    16,    -,-,    1,    4,    11,    18,    2,-,-,2,    14
    46,    15 261,    16,    1,    1,    1,    3,    10,    15,-,-,    2,    3,    10
    47,    12 693,    8,-,    1,      2,    1,    4,    4,-,-,    1,-,    3
    48,    13 627,    7,-,    2,-,    1,    4,    11,-,    2,2,-,7
    49,    14 631,    6,-,-,    2,     -,    4,    7,    1,    1,-,    2,    3
  50岁,    14 711,    5,-,    1,    1,    1,    2,  2,-,-,-,-,    2
回族,    2 332 774,    102 793,    42 109,    31 649,    15 293,    6 947,    6 795,    101 721,    48 669,    29 541,    13 479,    5 492,    4 540
  15-19岁,    455 511,    2 293,2 044,    242,    7,-,-,    3 853,    3 573,    263,    16,    1,-
    15,    86 021,    4,    2,    1,    1,-,-,    11,    11,-,-,-,-
    16,    89 529,    30,    29,    1,-,-,-,    43,    42,    1,-,-,-
    17,    92 168,    160,    152,    8,-,-,-,    290,    281,    8,    1,-,-
    18,    93 178,    547,    502,    44,    1,-,-,    979,    919,    57,    3,-,-
    19,    94 615,    1 552,    1 359,    188,    5,-,-,    2 530,    2 320,    197,    12,    1,-
  20-24岁,    477 029,    40 189,    24 398,    12 297,    3 035,    405,    54,    45 960,    29 935,    12 440,    3 099,    433,    53
    20,    104 618,    4 276,    3 522,    691,    57,    6,    -,    5 553,    4 662,    816,    73,2,-
    21,    101 650,    6 486,    4 786,    1 498,    181,    20,    1,    8 180,    6 118,    1 788,    247,    26,    1
    22,    94 128,    8 644,    5 456,    2 682,    460,    42,    4,    9 737,    6 525,    2 654,    479,    68,    11
    23,    85 747,    9 560,    5 154,    3 442,    841,    109,    14,    10 468,    6 098,    3 385,    869,    101,    15
    24,    90 886,    1 1 223,    5 480,    3 984,    1 496,    228,    35,    12 022,    6 532,    3 797,    1 431,    236,    26
  25-29岁,    383 784,    39 791,    14 058,    13 055,    8 172,    3 403,    1 103,    36 386,    13 783,    12 033,    6 984,    2 711,    875
    25,    88 279,    1 1 113,    5 029,    3 736,    1 891,    385,    72,    10 941,    5 367,    3 572,    1 586,    349,    67
    26,    94 468,    10 787,    4 223,    3 561,    2 173,    692,    138,    10 030,    4 085,    3 327,    1 859,    629,    130
    27,    94 590,    9 209,    2 934,    3 034,    2 043,    936,    262,    8 330,    2 763,    2 816,    1 772,    765,    214
    28,    60 898,    5 408,    1 221,    1 628,    1 326,    876,    357,    4 426,    1 051,    1 369,    1 136,    610,    260
    29,    45 549,    3 274,    651,    1 096,    739,    514,    274,    2 659,    517,    949,    631,    358,    204
  30-34岁,    285 815,    12 984,    1 264,    4 555,    2 944,    2 058,    2 163,    10 413,    1 102,    3 712,    2 472,    1 618,    1 509
    30,    52 505,    3 340,    488,    1 229,    819,    508,    296,    2 720,    452,    994,    638,    414,    222
    31,    48 007,    2 605,    260,    972,    595,    430,    348,    1 990,    205,    747,    533,    295,    210
    32,    62 193,    2 763,    216,    1 000,    634,    457,    456,    2 310,    209,    846,    561,    365,    329
    33,    61 903,    2 358,    188,    775,    491,    362,    542,    1 868,    1 50,    651,    405,    291,    371
    34,    61 207,    1 918,    112,    579,    405,    301,    521,    1 525,    86,    474,    335,    253,    377
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  35-39岁,    293 288,    5 394,    285,    1 322,    929,    826,    2 032,    3 877,    227,    968,    780,    566,    1 336
    35,    65 491,    1 719,    123,    490,    302,    284,    520,    1223,    86,    351,    239,    196,    351
    36,    63 620,    1 292,    53,    341,    251,    185,    462,    978,    50,    259,    208,    134,    327
    37,    56 849,    937,    45,    220,    152,    146,    374,    698,    25,    177,    163,    93,    240
    38,    56 497,    818,    45,    169,    137,    120,    347,    571,    40,    105,    112,    83,    231
    39,    50 831,    628,    19,    102,    87,    91,    329,    407,    26,    76,    58,    60,    187
  40-44岁,    223 241,    1 657,    53,    152,    167,    204,    1 081,    959,    38,    103,    106,    128,    584
    40,    54 675,    594,    23,    80,    67,    66,    358,    355,    16,    39,    53,    43,    204
    41,    44 638,    363,    12,    30,    35,    51,    235,    201,    7,    32,    18,    25,    119
    42,    40 840,    260,    6,    20,    26,    38,    170,    173,    9,    10,    14,    27,    113
    43,    41 431,    219,    7,    10,    20,    20,    162,    127,    4,    17,    14,    15,    77
    44,    41 657,    221,    5,    12,    19,    29,    156,    103,    2,    5,    7,    18,    71
  45-49岁,    180 101,    449,    6,    25,    35,    46,    337,    248,    9,    20,    20,    32,    167
    45,        38 897,    146,    3,    7,    14,    12,    110,    77,    2,    3,    6,    11,    55
    46,    35 094,    108,    1,    3,    5,    10,    89,    55,   2,    6,    5,    4,    38
    47,    36 497,    89,    1,    10,    9,    10,    59,    56,    4,    6,    6,    9,    31
    48,    36 261,    63,    1,    2,    4,    9,    47,    41,-,    5,    2,    6,    28
    49,    33 352,    43,    -,    3,    3,    5,    32,    19,    1,-,    1,    2,    15
  50岁,    34 005,    36,    1,    1,    4,    5,    25,    25,    2,    2,    2,    3,    16
藏族,    1 151 202,    67 227,    18 808,    15 749,    10 585,    6 933,    15 152,    58 044,    18 309,    14 148,    8 955,    5 434,    11 198
  15-19岁,    255 297,    2 202,    1 903,    258,    28,    7,    6,    2 833,    2 496,    299,    27,    6,    5
    15,    51 272,    21,    14,    4,    2,    1,    -,    47,    35,    10,     -,    1,    1
    16,    52 329,    49,    43,    4,     -,    1,    1,    88,    77,    7,    1,    1,    2
    17,    51 153,    244,    222,    17,    3,    1,    1,    306,    288,    15,    2,-,    1
    18,    51 738,    611,    545,    59,    4,    2,    1,    823,    761,    54,    7,-,    1
    19,    48 805,    1 277,    1 079,    174,    19,    2,     3,    1 569,    1 335,    213,    17,    4,-
  20-24岁,    237 824,    19 604,    10 977,    6 342,    1 866,    338,    81,    19 520,    1 1 061,    6 235,    1 791,    352,    81
    20,    52 628,    2 399,    1 861,    474,    52,    10,    2,    2 735,    2118,    540,    63,    12,2
    21,    50 791,    3 524,    2 431,    911,    156,    19,    7,    3 775,    2 588,    990,    161,    26,    10
    22,    48 619,    4 280,    2 586,    1 332,    291,    58,    13,    4 285,    2 509,    1 385,    338,    43,    10
    23,    43 031,    4 506,    2 172,      1 671,    559,    86,    18,    4 237,    2 041,    1 602,    486,    94,    14
    24,    42 755,    4 895,    1 927,    1 954,    808,    165,    41,    4 488,    1 805,    1 718,    743,    177,    45
  25-29岁,    178 243,    20 379,    4 751,    6 731,    5 201,    2 536,    1 160,    17 414,    3 913,    5 743,    4 551,    2 202,    1 005
    25,    43 220,    4 989,    1 642,    1 932,    1 036,    297,    82,    4 527,    1 453,    1 680,    1 014,    294,    86
    26,    41 910,    4 971,    1 311,    1 749,    1 254,    501,    156,    4 286,    1 082,    1 544,    1 100,    428,    132
    27,    38 447,    4 490,    900,    1 491,    1 231,    635,    233,    3 762,    717,    1 216,    1 066,    568,    195
    28,    31 786,    3 478,    565,    966,    1 003,    609,    335,    2 835,    425,    778,    852,    508,    272
