表3-29全国各民族有生育的妇女按年龄和孩次分的出生人口数,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
    29,    22 880,    2 451,    333,    593,    677,    494,    354,    2 004,    236,    525,    519,    404,    320
  30-34岁,    124 060,    10 868,    853,    1 695,    2 281,    2 404,    3 635,    8 358,    608,    1 327,    1 762,    1 773,    2 888
    30,    24 660,    2 551,    274,    535,    628,    560,    554,    1 963,    205,    437,    471,    439,    411
    31,    23 991,    2 214,    196,    398,    536,    459,    625,    1 789,    136,    300,    409,    401,    543
    32,    25 731,    2 220,    168,    331,    462,    525,    734,    1 691,    110,    285,    354,    352,    590
    33,    24 729,    1 993,    123,    252,    379,    450,    789,    1 474,    82,    160,    300,    302,    630
    34,    24 949,    1 890,    92,    179,    276,    410,    933,    1 441,    75,    145,    228,    279,    714
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表3--29全国各民族有生育的妇女按年龄和孩次分的出生人口数(1989．1．1．--1990．6．30．)(续05),,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  35-39岁,    120 727,    7 722,    227,    520,    875,    1 176,    4 924,    5 535,    167,    415,    608,    770,    3 575
    35,    25 945,    1 816,    71,    158,    249,    334,    1 004,    1 388,    51,    131,    206,    226,    774
    36,    25 386,    1 704,    54,    120,    217,    295,    1 018,    1 256,    39,    91,    148,    202,    776
    37,    24 056,    1 540,    43,    121,    163,    225,    988,    1 042,    29,    81,    109,    146,    677
    38,    23 743,    1 368,    34,    62,    137,    176,    959,    1 009,    31,    63,    85,    124,    706
    39,    21 597,    1 294,    25,    59,    109,    146,    955,    840,    17,    49,    60,    72,    642
  40-44岁,    111 241,    4 784,    53,    153,    247,    360,    3 971,    3 346,    41,    95,    169,    253,    2 788
    40,    23 461,    1 115,    11,    46,    82,    98,    878,    870,    9,    36,    62,    76,    687
    41,    22 348,    1 174,    15,    38,    69,    94,    958,    777,    5,    15,    40,    67,    650
    42,    22 534,    983,    16,    26,    45,    68,    828,    678,    8,    17,    25,    40,    588
    43,    21 887,    837,    3,    27,    34,    56,    717,    550,    7,    15,    29,    37,    462
    44,    21 011,    675,    8,    16,    17,    44,    590,    471,    12,    12,    13,    33,    401
  45-49岁,    102 717,    1 569,    42,    42,    80,    106,    1 299,    977,    21,    32,    41,    67,    816
    45,    20 541,    490,    10,    14,    21,    33,    412,    331,    6,    14, 7,    26,    278
    46,    20 318,    434,    8,    8,    16,    30,    372,    253,    1,    6,    17,    9,    220
    47,    21 115,    312,    7,    7,    18,    18,    262,    190,    6,    5,    9,    15,    155
    48,    20 876,    204,    11,    9,    9,    14,    161,    119,      5,    4,    6,    9,    95
    49,    19 867,    129,    6,    4,    16,    11,    92,    84,     3,    3,    2,    8,    68
  50岁,    21 093,    99,    2,    8,    7,    6,    76,    61,    2,     2,    6,    11,    40
维吾尔族,    1 755 050,    144 272,    30 773,    26 930,    22 576,    18 534,    45 459,    93 346,    23 574,    18 065,    14 274,    11180,    26 253
  15-19岁,    387 252,    6 901,    5 687,    1 050,    110,    31,    23,    6 410,    5 451,    819,    111,    16,    13
    15,    72 698,    86,    60,    25,     -,    1,    -,    54,    41,    13,    -,     -, -
    16,    70 873,    104,    76,    13,    8,    5,     2,    137,    117,    12,    4,    2,    2
    17,    68 205,    473,    427,    33,    3,    6,    4,    466,    432,    28,    4,    -,    2
    18,    101 203,    2 311,    1 969,    303,    27,    4,    8,    2 154,    1 906,    214,    28,    4,    2
    19,    74 273,    3 927,    3 155,    676,    72,    15,    9,    3 599,    2 955,    552,    75,    10,    7
  20-24岁,    359 680,    43 540,    19 047,    14 464,    7 061,    2 234,    734,    30 899,    13 932,    10 009,    4 790,    1 647,    521
    20,    109 773,    11 054,    7 283,    2 868,    717,    149,    37,    7 825,    5 282,    1 979,    453,    88,    23
    21,    59 713,    6 654,    3 576,    2 267,    658,    126,    27,    4 909,    2 624,    1 636,    513,    109,    27
    22,    74 607,    9 637,    3 856,    3 630,    1 609,    425,    117,    6 693,    2 742,    2 479,    1 098,    289,    85
    23,    56 550,    7 746,    2 305,    2 909,    1 789,    562,    181,    5 525,    1 734,    2 017,    1 213,    435,    126
    24,    59 037,    8 449,    2 027,    2 790,    2 288,    972,    372,    5 947,    1 550,    1 898,    1 513,    726,    260
  25-29岁,    249 863,    36 649,    4 638,    8 097,    9 684,    7 805,    6 425,    23 922,    3 402,    5 291,    6 140,    4 919,    4 170
    25,    77 913,    1 1 682,    2 066,    3 266,    3 374,    1 950,    1 026,    7 471,    1 435,    2 063,    2 081,    1 258,    634
    26,    52 776,    7 965,    1 144,    1 875,    2 294,    1 631,    1 021,    5 323,    882,    1 284,    1 419,    1 068,    670
    27,    44 015,    6 434,    678,    1 332,    1 651,    1 489,    1 284,    4 266,    509,    850,    1 119,    959,    829
    28,    45 850,    6 557,    482,    1 058,    1 551,    1 694,    1 772,    4 353,    392,    724,    1 005,    1 036,    1 196
    29,    29 309,    4 011,    268,    566,    814,    1 041,    1 322,    2 509,    184,    370,    516,    598,    841
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  30-34岁,    202 689,    25 457,    855,    2 185,    3 649,    5 125,    13 643,    14 909,    525,    1 291,    2 146,    2 911,    8 036
    30,    70 497,    9 939,    467,    1 090,    1 790,    2 294,    4 298,    5 554,    280,    616,    971,    1 246,    2 441
    31,    30 305,    3 714,    129,    372,    556,    824,    1 833,    2 246,    82,    223,    371,    474,    1 096
    32,    37 832,    4 624,    130,    351,    599,    886,    2 658,    2 735,    63,    212,    358,    504,    1 598
    33,    31 150,    3 553,    69,    227,    385,    600,    2 272,    2 164,    44,    142,    238,    367,    1 373
    34,    32 905,    3 627,    60,    145,    319,    521,    2 582,    2 210,    56,    98,    208,    320,    1 528
  35-39岁,    193 795,    18 372,    316,    704,    1 294,    2 142,    13 916,    10 113,    162,    397,    662,    1 065,    7 827
    35,    59 276,    6 595,    143,    302,587,    904,    4 659,    3 536,    72,    170,    277,    430,    2 587
    36,    38 571,    3 751,    64,    129,    260,    437,    2 861,    2 136,    31,    89,    132,    252,    1 632
    37,    32 042,    2 820,    36,    112,    166,    298,    2 208,    1 667,    19,    45,    99,    137,    1 367
    38,    38 033,    3 254,    51,    102,    174,    310,    2 617,    1 736,    23,    60,    87,    150,    1 416
    39,    25 873,    1 952,    22,    59,    107,    193,    1 571,    1 038,    17,    33,    67,    96,    825
  40-44岁,    173 762,    9 982,    166,    296,    581,    897,    8 042,    5 360,    71,    188,    325,    459,    4 317
    40,    73 653,    5 146,    91,    166,    310,    472,    4 107,    2 701,    43,    98,    175,    241,    2144
    41,    26 396,    1 602,    25,    44,    87,    152,    1 294,    838,    7,    31,    48,    77,    675
    42,    29 304,    1 506,    27,    47,    89,    123,    1 220,    850,    13,    28,    47,    71,    691
    43,    21 794,    901,    11,    19,    54,    77,    740,    516,    3,    15,    33,    43,    422
    44,      22 615,    827,    12,    20,    41,    73,    681,    455,    5,    16,    22,    27,    385
  45-49岁,    134 467,    2 974,    57,    111,    175,    261,    2 370,    1 511,    26,    59,    77,    137,    1 212
    45,    50 003,    1 573,    22,    52,    87,    136,    1 276,    785,    9,    29,    38,    76,    633
    46,    24 595,    584,    15,    20,    39,    52,    458,    318,    5,    15,    10,    33,    255
    47,    19 256,    334,    6,    11,    20,    32,    265,    170,    5,    7,    14,    13,    131
    48,    23 145,    318,     7,    16,    15,    28,    252,    155,    4,        5,    9,    9,    128
    49,    17 468,    165,    7,    12,    14,    13,    119,    83,    3,    3,    6,    6,    65
  50岁,    53 542,    397,    7,    23,    22,    39,    306,    222,    5,    11,    23,    26,    157
苗族,    1 856 880,    83 098,    32 075,    23 839,    13 460,    6 683,    7 041,    100 680,    39 663,    30 285,    16 604,    7 304,    6 824
  15-19岁,    448 738,    2 931,    2 604,    313,    13,    1,-,    4 482,    3 936,    517,    28,    1,-
    15,    98 988,    8,    8,-,-,-,-,    16,    15,    1,-,-,-
    16,    96 503,    46,    45,    1,-,-,-,    113,    109,    4,-,-,-
    17,    86 825,    221,    208,    12,    1,-,-,    391,    376,    13,    2,-,-
    18,    82 976,    765,    700,    65,-,-,-,    1 227,    1 100,    121,    6,-,-
    19,    83 446,    1 891,    1 643,    235,    12,    1,-,    2 735,    2 336,    378,    20,    1,-
  20-24岁,    408 789,    34 612,    21 211,    10 593,    2 426,    334,    48,    46 345,    27 167,    15 007,    3 607,    502,    62
    20,    88 512,    3 678,    3 008,    602,    60,    6,    2,    5 446,    4 274,    1 072,    94,    5,    1
    21,    87 723,    6 173,    4 558,    1 424,    164,    25,     2,    8 468,    6 070,    2 121,    253,    24,   -
    22,    81 002,    7 566,    4 994,    2 182,    351,    36,    3,    10 113,    6 333,    3 151,    559,    67,    3
    23,    74 338,    8 102,    4 440,    2 854,    712,    85,    11,    10 751,    5 595,    3 976,    1 038,    130,    12
    24,    77 214,    9 093,    4 211,    3 531,    1 139,    182,    30,    11 567,    4 895,    4 687,    1 663,    276,    46
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  25-29岁,    268 971,    28 414,    7 468,    10 757,    7 153,    2 306,    730,    33 304,    7 912,    12 694,    9 055,    2 839,    804
    25,    73 773,    8 600,    3 155,    3 455,    1 608,    319,    63,    10 770,    3 657,    4 468,    2 107,    446,    92
    26,    70 635,    7 896,    2 166,    3 161,    1 935,    507,    127,    9 320,    2 254,    3 764,    2 491,    669,    142
    27,    65 984,    6 647,    1 381,    2 469,    1 945,    649,    203,    7 620,    1 293,    2 813,    2 476,    828,    210
    28,    37 195,    3 511,    542,    1 184,    1 101,    497,    187,    3 785,    500,    1 161,    1 342,    603,    179
    29,    21 384,    1 760,    224,    488,    564,    334,    150,    1 809,    208,    488,    639,    293,    181
  30-34岁,    181 601,    9 367,    555,    1 581,    2 668,    2 391,    2 172,    9 400,    461,    1 555,    2 777,    2 394,    2 213
    30,    26 530,1890,    193,    457,    594,    400,    246,    1 959,    184,    429,    637,    428,    281
    31,    30 939,    1 866,    113,    351,    565,    506,    331,    1 844,    79,    334,    612,    473,    346
    32,    42 208,    2 192,    115,    360,    663,    547,    507,    2 186,    80,    352,    669,    572,    513
    33,    41 457,    1 837,    74,    224,    477,    505,    557,    1 928,    72,    249,    523,    535,    549
    34,    40 467,    1 582,    60,    189,    369,    433,    531,    1 483,    46,    191,    336,    386,    524
  35-39岁,    205 181,    5 362,    180,    476,    967,    1 264,    2 475,    5 065,    151,    401,    927,    1 207,    2 379
    35,    44 780,    1 526,    68,    165,    298,    385,    610,    1 487,    46,    144,    326,    389,    582
    36,    44 983,    1 283,    42,    119,    263,    293,    566,    1 226,    47,    95,    225,    300,    559
    37,    42 295,    1 043,    27,    80,    181,    254,    501,    988,    18,    72,    177,    22,    495
    38,    38 743,    846,    23,    72,    138,    197,    416,    757,    24,    48,    115,    160,    410
    39,    34 380,    664,    20,    40,    87,    135,    382,    607,    16,    42,    84,    132,    333
  40-44岁,    169 987,    1 913,    45,    97,    191,    323,    1 257,    1 703,    27,    100,    185,    309,    1 082
    40,    38 542,    580,    13,    33,    76,    105,    353,    569,    13,    43,    78,    114,    321
    41,    34 132,    448,    16,    24,    34,    80,    294,    400,    5,    20,    49,    80,    246
    42,    33 986,    350,    9,    15,    35,    56,    235,    312,    7,    17,    24,    60,    204
    43,    33 669,    307,    5,    19,    25,    51,    207,    238,    -,    6,    22,    35,    175
    44,    29 658,    228,     2,    6,    21,    31,    168,    184,    2,    14,    12,    20,    136
  45-49岁,    146 100,    467,    11,    21,    38,    58,    339,    359,    8,    10,    25,    47,    269
    45,    28 562,    147,    5,    5,    14,    21,    102,    121,    5,    5,    9,    14,    88
    46,    30 122,    106,     -,    6,    7,    18,    75,    90,    1,    1,    4,    10,    74
    47,    28 967,    94,    4,     5,    6,    8,    71,    57,    1,    2,    6,    7,    41
    48,    29 981,    76,    1,      2,    6,    6,    61,    56,    -,    1,    4,    9,    42
    49,    28 468,    44,    1,    3,     5,    5,    30,    35,    1,    1,    2,    7,    24
  50岁,    27 513,    32,    1,    1,    4,    6,    20,    22,    1,    1,    -,    5,    15
彝族,    1 661 360,    79 705,    29 815,    24 404,    11 974,    5 947,    7 565,    87 138,    34 812,    27 286,    12 437,    5 926,    6 677
  15-19岁,    394 639,    2 693,    2 451,    228,    13,    1,-,    4 118,    3 729,    368,    20,-,    1
    15,    80 926,    8,    7,    1,      -,-,-,    20,    20,-,-,-,-
    16,    83 971,    47,    44,    2,    1,-,-,    95,    91,    4,-,-,-
    17,    77 549,    189,    178,    10,    1,-,-,    364,    349,    15,-,-,-
    18,    77 004,    698,    653,    43,  2,-,-,    1 094,    1 020,    71,    3,-,-
    19,    75 189,    1 751,    1 569,    172,    9,    1,-,    2 545,    2 249,    278,    17,-,    1
  20-24岁,    359 782,    34 439,    20 459,    11 436,    2 195,    300,    49,    42 323,    24 593,    14 398,    2 851,    416,    65
    20,    73 388,    3 538,    2 913,    577,    43,    5,-,    4 962,    4 028,    869,    57,    8,  -
    21,    79 539,    6142,    4 587,    1 406,    133,    16,-,    8 436,    6 142,    2 027,    245,    19,    3
    22,    70 542,    7 410,    4 849,    2 194,    336,    28,    3,    9 133,    5 768,    2 864,    437,    54,    10
    23,    65 931,    8 038,    4 296,    3 100,    552,    75,    15,    9 599,    4 651,    3 972,    833,    127,    16
    24,    70 382,    9 311,    3 814,    4 159,    1 131,    176,    31,    10 193,    4 004,    4 666,    1 279,    208,    36
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
表3--29全国各民族有生育的妇女按年龄和孩次分的出生人口数(1989．1．1．--1990．6．30．)(续08),,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,
,,,,,,,,,,,,,
    民族和,    1990：年,    1989年上半年,,,,,,    1989年下半年,,,,,
,    6月30日,,,,,,,,,,,,
    年龄别,    育龄妇女,  小计,  一孩,  二孩,    三孩,  四孩,  五孩以上,  小计,  一孩,  二孩,  三孩,  四孩,  五孩以上
  25-29岁,    253 377,    27 541,    6 395,    11 240,    6 909,    2 297,    700,    27 721,    6 068,    11 218,    7 075,    2 583,    777
    25,    68 342,    8 871,    2 872,    3 952,    1 661,    330,    56,    9 239,    2 793,    4 241,    1 739,    389,    77
    26,    62 375,    7 166,    1 757,    3 081,    1 760,    453,    115,    7 527,    1 654,    3 188,    1 961,    579,    145
    27,    59 401,    6 192,    1 123,    2 501,    1 731,    665,    172,    5 962,    1 025,    2 281,    1 764,    696,    196
    28,    39 680,    3 470,    458,    1 192,    1 120,    522,    178,    3 296,    430,    1 057,    1 028,    584,    197
    29,    23 579,    1 842,    185,    514,    637,    327,    179,    1 697,    166,    451,    583,    335,    162
  30-34岁,    172 616,    8 325,    380,    1 186,    2 189,    2 177,    2 393,    7 503,    304,    1 060,    1 926,    2 009,    2 204
    30,    28 807,    1 907,    149,    383,    607,    458,    310,    1 785,    119,    377,    559,    443,    287
    31,    27 118,    1 629,    85,    257,    472,    446,    369,    1 450,    46,    209,    418,    409,    368
    32,    38 286,    1 773,    69,    232,    448,    490,    534,    1 667,    64,    210,    422,    456,    515
    33,    39 584,    1 697,    40,    179,    397,    465,    616,    1 456,    49,    147,    321,    378,    561
    34,    38 821,    1 319,    37,    135,    265,    318,    564,    1 145,    26,    117,    206,    323,    473
  35-39岁,    174 031,    4 242,    98,    239,    533,    887,    2 485,    3 640,    82,    196,    459,    746,    2 157
    35,    40 943,    1 172,    26,    83,    210,    304,    549,    1 016,    23,    73,    157,    276,    487
    36,    38 600,    1 026,    28,    62,    133,    209,    594,    916,    23,    54,    146,    175,    518
    37,    35 996,    821,    19,    40,    70,    164,    528,    699,    17,    30,    69,    126,    457
    38,    31 620,    725,    12,    33,    74,    132,    474,    563,    7,    20,    53,    106,    377
    39,    26 872,    498,    13,    21,    46,    78,    340,    446,    12,    19,    34,    63,    318
  40-44岁,    147 133,    1 873,    22,    64,    113,    223,    1 451,    1 461,    29,    37,    86,    145,    1 164
    40,    30 256,    480,    5,    28,    37,    71,    339,    385,    10,    7,    28,    43,    297
    41,    30 207,    456,    7,    14,    28,    51,    356,    343,    5,    9,    21,    34,    274
