表7    人口婚姻状况和妇女生育状况（长表数据）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,单位：人,,
县市名,15岁及以上人口,,,未婚,,,初婚有配偶,,,再婚有配偶,,,离婚,,,丧偶,,,15—50岁妇女,,,
,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,平均活产子女数,平均存活子女数,,
,,,,,,,,,,,,,,,,,,,,,,
丰宁满族自治县,26546,13780,12766,4842,3122,1720,19337,9605,9732,671,280,391,203,164,39,1493,609,884,1.38,1.35,,
宽城满族自治县,17038,8744,8294,3546,2115,1431,11965,5991,5974,496,186,310,90,75,15,941,377,564,1.46,1.44,,
围场满族蒙古族自治县,34424,17565,16859,6237,3927,2310,25111,12334,12777,813,332,481,211,178,33,2052,794,1258,1.49,1.45,,
沧州市,501505,251220,250285,100147,54720,45427,364736,181772,182964,8008,3555,4453,2944,2194,750,25670,8979,16691,1.32,1.31,,
新华区,13850,6833,7017,2447,1301,1146,10506,5195,5311,290,152,138,90,42,48,517,143,374,1.01,1.01,,
运河区,20807,10070,10737,5004,2408,2596,14509,7197,7312,470,229,241,150,56,94,674,180,494,0.91,0.90,,
沧县,49109,24663,24446,9951,5469,4482,35770,17848,17922,549,229,320,242,193,49,2597,924,1673,1.37,1.36,,
青县,28549,14136,14413,4962,2599,2363,21415,10659,10756,542,219,323,165,124,41,1465,535,930,1.34,1.33,,
东光县,26339,13284,13055,5035,2823,2212,19250,9628,9622,364,161,203,158,126,32,1532,546,986,1.30,1.29,,
海兴县,14426,7228,7198,2564,1424,1140,10774,5358,5416,200,84,116,64,58,6,824,304,520,1.50,1.49,,
盐山县,30104,15184,14920,6445,3459,2986,21622,10757,10865,231,113,118,160,141,19,1646,714,932,1.35,1.35,,
肃宁县,24300,12132,12168,4932,2714,2218,17458,8690,8768,357,145,212,152,119,33,1401,464,937,1.36,1.35,,
南皮县,25399,12672,12727,4642,2465,2177,18798,9353,9445,389,175,214,171,133,38,1399,546,853,1.29,1.29,,
吴桥县,21921,10961,10960,4249,2312,1937,15964,7983,7981,338,140,198,95,79,16,1275,447,828,1.18,1.17,,
献县,39376,19825,19551,8778,4875,3903,27869,13856,14013,437,184,253,192,173,19,2100,737,1363,1.39,1.37,,
