表2    分年龄、性别的人口（全部数据）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
县市名,0岁,,1-4岁,,5-9岁,,10-14岁,,15-19岁,,20-24岁,,25-29岁,,30-34岁,,35-39岁,,40-44岁,,45-49岁,,50-54岁,,55-59岁,,60-64岁,,65-69岁,,70-74岁,,75-79岁,,80-84岁,,85岁及以上,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
昌黎县,2831,2724,11149,10381,17028,16442,20807,20018,22489,22839,19704,20416,18640,19447,24337,24622,25717,26623,23391,22690,25907,23495,17585,15492,12080,10537,10322,8064,9361,8947,7191,7281,4778,5291,2178,2687,1137,1812
抚宁县,2679,2503,11212,10266,15835,14751,28767,26760,16910,15709,16276,16588,18857,18225,24223,23218,23328,22601,20973,20368,22999,22585,15650,15494,10554,9650,9246,7713,7745,7191,5490,5805,3681,4021,1781,2190,861,1359
卢龙县,2453,2267,10215,9468,14465,13593,20237,19102,14399,13573,11079,11380,13248,13771,18938,19396,18912,18673,17612,16045,17868,16015,12905,11621,9225,7872,8088,6870,6732,6619,4584,5056,2998,3505,1366,1700,617,1080
邯郸市,55137,45777,216161,174792,295732,265399,534351,518930,464765,462460,317324,293562,355147,332178,410521,388110,333789,320497,297816,279110,289322,279844,217415,219990,129573,133578,121156,125166,103406,110867,69324,82194,36043,50802,14184,24760,5373,12259
邯山区,1450,1372,6535,5759,6494,5897,10823,10092,14323,15251,12813,11404,13820,14580,13592,13841,13884,12866,12426,11794,11645,11186,7845,7484,4890,5157,4818,5701,3878,4143,2510,2386,1181,1270,391,569,132,338
丛台区,1693,1419,7110,6327,6708,6292,10624,10322,14831,17538,11113,12330,14874,16444,15156,15456,14755,13841,12697,11730,11149,10538,8169,8225,5417,5923,5838,6747,4641,4851,2741,2687,1248,1349,462,575,184,456
复兴区,1373,1309,6070,5215,5609,5071,9278,8686,8720,7692,10278,7618,15994,12693,14450,11491,12722,9451,10685,8589,10947,8630,8924,7194,4763,4319,3788,3771,2547,2488,1548,1444,609,723,188,282,70,158
峰峰矿区,3061,2667,12429,10519,13173,11519,29140,26650,23397,20364,15406,12855,24099,20545,28321,23660,29321,23946,24387,19669,21347,16002,15594,12235,9595,8862,8967,9936,7292,7526,4309,4293,1895,2292,544,946,182,402
邯郸县,2553,2153,9755,8309,12563,11402,28526,28241,24202,22992,15067,13760,16104,14570,19843,18546,14395,13484,12802,12607,12619,13447,9456,10053,5646,6039,4705,5154,4131,4777,3053,4106,1745,2741,652,1419,280,711
临漳县,3715,3002,12660,10424,20238,19004,43657,42953,33715,33814,22058,20501,21711,20629,26949,27747,20097,21929,18589,18208,19751,19304,13778,13376,9053,7836,7165,7212,5808,7114,4331,6262,2386,3921,864,1818,328,870
成安县,2183,1672,6934,5792,12223,11615,24105,24496,23018,23693,12288,11672,12982,12710,15653,15234,10838,11723,11695,11868,13074,12653,9208,9203,5603,5282,5176,5512,4314,5737,3053,4224,1627,2892,650,1353,267,722
大名县,4950,4041,17887,14016,18840,17055,49342,46971,44256,45752,29024,27820,29805,27616,34629,31086,27717,26713,22834,21378,22266,22655,17271,20715,9332,11679,9544,10581,8783,9399,6493,7074,3878,5171,1967,2818,749,1477
