表2    分年龄、性别的人口（全部数据）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,单位：人
县市名,0岁,,1-4岁,,5-9岁,,10-14岁,,15-19岁,,20-24岁,,25-29岁,,30-34岁,,35-39岁,,40-44岁,,45-49岁,,50-54岁,,55-59岁,,60-64岁,,65-69岁,,70-74岁,,75-79岁,,80-84岁,,85岁及以上,
,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
涉县,2750,2117,11501,9171,16377,14070,26802,24633,17724,15902,11093,10804,16384,16401,19351,18619,16471,15667,14595,13304,12436,12452,10274,10392,6832,5919,6347,4755,5080,4301,2935,3039,1414,1707,460,804,132,269
磁县,4159,3720,14666,11489,26177,23163,41928,40401,37362,36138,23943,22929,27072,25690,32417,30246,25244,24169,20730,19722,20969,21121,15032,15866,9710,10109,8452,7881,6948,7317,4372,5819,2382,3632,844,1630,261,760
肥乡县,2222,1931,7550,6708,11217,10742,16511,17485,16455,16715,11925,11622,11858,11181,16556,15569,10618,10433,10182,9406,10419,9917,8660,8546,5117,5217,5001,5223,4216,4848,3107,3824,1665,2422,713,1306,337,681
永年县,5522,4963,24785,19758,34951,30056,52119,51437,48532,49540,34468,31591,33876,31322,38713,37005,27841,28760,25427,25614,27383,27941,21222,22019,12360,12233,10908,10542,9531,9942,6789,8106,3353,4785,1299,2531,478,1195
邱县,1185,1040,4536,4275,7412,6557,11716,11463,13613,13300,7291,6948,7262,7582,9242,8819,8100,7617,7560,7349,7159,7156,4745,4937,1858,2252,2664,3400,2669,3358,1853,2044,991,1231,366,561,154,299
鸡泽县,1788,1513,6144,4628,10121,8894,17331,17033,15550,15638,11236,9722,9606,8532,11680,10989,7761,7738,8965,8398,8620,8065,6569,5939,3864,3807,3615,3304,2963,3002,2223,2638,1175,1646,474,895,181,396
广平县,1345,1193,5024,4248,7764,7525,17431,17270,15282,16009,9461,9270,9423,9122,11028,10410,8169,8356,8316,8097,7865,7837,6342,6423,3551,3867,3565,3950,3187,3500,2044,2813,1226,1945,505,906,250,478
馆陶县,1736,1342,6776,5347,9344,8309,17525,16626,17931,17412,11375,11178,11449,10644,12971,12312,10565,10834,8411,8291,9597,10323,7426,8219,4116,4103,4045,3943,3975,4097,2397,2902,1323,1861,583,925,193,471
魏县,5405,4196,21720,16304,31480,28471,52434,52060,40375,42303,31463,28717,30947,27497,38106,37979,31490,30377,26112,24555,23765,22823,18159,19225,10998,13160,9979,11057,8871,9711,6463,8047,3460,4874,1481,2465,586,1123
曲周县,2636,2056,9943,8392,14876,14346,27726,26999,22484,22904,14716,13504,15563,14419,17070,16353,12204,12560,13706,12942,13051,13012,9967,10853,5026,5939,5851,6058,5572,5654,3948,4228,1998,2832,870,1440,370,828
武安市,5411,4071,24136,18111,30165,25411,47333,45112,32995,29503,22306,19317,32318,30001,34794,32748,31597,30033,27697,25589,25260,24782,18774,19086,11842,11875,10728,10439,9000,9102,5155,6258,2487,3508,871,1517,239,625
邢台市,41443,34302,166176,136481,240165,216363,410505,398037,392701,387785,238926,232884,244731,238792,327575,308275,269996,262455,234738,218408,238510,229676,178792,176805,102988,104097,95655,93447,83851,88987,58359,67839,31542,43183,13091,22047,5061,11098
桥东区,1492,1404,5781,5143,5297,5094,8151,7903,11311,13718,8559,10030,10960,11376,10933,10868,10284,9485,9045,8408,8297,7717,5587,5877,3715,3976,3505,3704,2556,2682,1652,1745,806,1047,293,476,92,232
桥西区,1594,1361,7545,6811,8124,7594,14239,13394,18371,18682,13428,11478,16168,15452,17027,15671,16768,14034,12982,11532,12572,11384,8452,8318,5429,5628,4915,4678,3388,3040,1945,1848,936,1014,338,529,124,288
邢台县,2799,2461,10355,9257,13492,12451,31412,29807,29685,27204,14163,13375,16389,15487,22400,20354,21081,19406,19080,16876,17685,16668,12363,12262,7494,7345,6471,5831,6198,6357,4283,4812,2098,2930,812,1362,284,630
临城县,1234,1042,4386,3638,6397,5950,10922,10657,12223,11550,6066,5913,6522,6510,9650,8553,8932,8579,7433,6915,6945,6882,5262,5291,3196,3309,2665,2587,2464,2451,1829,1943,880,1287,308,592,101,291
内丘县,1534,1328,5227,4670,7114,6576,16037,15270,17427,16407,9689,8940,10574,9367,12922,10580,11606,10578,9921,8980,9290,8932,6452,6630,3879,4163,3382,3240,2958,3109,2126,2568,948,1565,348,665,119,281
柏乡县,1233,913,5159,3791,6318,4858,10565,10226,11657,10983,6203,6158,5922,6238,8636,8315,6879,7047,6055,5776,7131,7046,4992,4830,3315,3069,2437,2512,2388,2654,1608,2169,941,1463,376,705,134,402
隆尧县,2887,2336,11534,8743,17402,15209,28247,27493,27744,29789,18046,17968,18414,18026,25558,22148,17298,16751,15790,14790,16237,15900,12650,12022,8147,8233,6422,6435,5595,6125,4099,5323,2255,3419,968,1852,359,934
任县,2076,1524,7609,6069,11128,9696,20093,18773,19411,19183,12187,10958,11400,11201,14005,13300,10659,10680,9251,9547,10171,10589,7895,8341,4919,4509,3994,3955,3716,3906,2902,3317,1611,2096,722,1119,273,523
南和县,2078,1875,8554,6447,13652,12065,21784,21171,19206,18629,12932,12098,10957,10677,14945,14660,11016,11448,9647,9385,10200,10213,8211,8142,4871,4309,3784,3517,3498,3777,2373,2850,1236,1814,515,940,188,442
宁晋县,4600,3409,18486,14659,25462,21414,44772,44131,39638,37947,25502,24946,24422,26358,36864,35889,29041,29129,22590,21245,25509,23220,19622,18064,12613,11803,11120,10561,9644,9962,6665,7831,3807,5018,1742,2841,670,1496
巨鹿县,2410,2010,8646,7439,13322,12452,20670,20820,20307,21086,13372,13436,12858,12948,17305,16457,13185,13561,12962,11958,11924,11245,9122,8843,4876,4973,5896,5835,5124,5608,3451,3712,1951,2588,931,1466,457,879
新河县,978,862,4178,3878,5448,5384,8545,8577,7516,7531,5236,5246,6481,6659,8568,8547,6441,6471,5895,5608,6658,6315,4909,4259,2702,2644,2654,2693,2311,2696,1577,2009,810,1209,320,607,157,309
广宗县,1819,1485,6617,5711,9300,8905,15506,15156,16252,16181,11392,10834,8650,7795,12146,10906,10204,9399,9293,8592,9136,9650,7255,7600,3445,3848,3717,3759,3449,3595,2570,2808,1500,1879,632,915,214,436
平乡县,1879,1740,6580,5456,9801,8874,17904,17038,18814,19211,13027,12847,9927,9102,12644,11935,10188,9859,9153,8642,9464,9276,7543,7319,4164,4101,4112,3567,3681,3581,2794,2797,1639,2004,765,1064,322,546
威县,3322,2946,11704,9712,19610,18141,30511,29507,31864,31316,20268,19451,19891,18579,26566,24833,20850,19931,18969,17322,19531,19148,14529,15461,6653,7178,7692,8014,6913,7793,5301,5883,2819,3704,1163,1810,474,900
清河县,2137,1492,8524,5970,12801,10587,26768,25865,24135,24485,13565,15856,10998,10610,16651,16541,13810,14725,11845,11200,12102,12777,9586,9152,5181,5654,4834,5032,4040,4509,2963,3433,1758,2363,803,1269,334,718
临西县,2012,1535,8298,6269,13713,11936,19435,19114,17582,17013,11772,10869,9718,9424,14852,15906,13482,14162,9961,9706,11477,10124,8982,7992,5026,5207,4431,4143,4001,4132,2511,3061,1351,1847,523,943,201,407
南宫市,2436,2169,10099,8596,17948,16943,29985,29363,22063,20902,11113,11175,15786,15900,23696,22494,19727,19629,19017,17192,19369,17935,15012,15424,7268,7824,7715,7845,6132,7386,4116,5613,2290,3471,876,1670,330,847
沙河市,2923,2410,16894,14222,23836,22234,34959,33772,27495,25968,12406,11306,18694,17083,22207,20318,18545,17581,15849,14734,14812,14655,10368,10978,6095,6324,5909,5539,5795,5624,3594,4117,1906,2465,656,1222,228,537
保定市,65106,56704,236776,207835,334270,306571,558598,536524,537746,544950,441538,430223,419968,404289,481459,483155,435263,437597,369532,352382,394245,382156,306862,297102,201904,183447,170594,145847,141383,135497,107874,119960,60671,79093,26847,41646,12005,23504
新市区,1962,1917,8383,7792,10018,9635,12228,11857,17800,19070,16753,17167,19091,19733,19982,19200,18223,16595,15854,15219,16097,15968,11532,12391,8905,9792,8152,8208,5258,5026,3480,3483,1772,2028,685,1110,339,646
北市区,1121,1083,4862,4575,5541,5378,7957,7706,18420,21240,19779,17157,13079,11934,12773,11179,11933,10312,10089,8900,8725,8205,6024,6141,4363,4349,3900,4510,3111,3581,2477,2576,1247,1521,507,745,228,429
南市区,1294,1170,4920,4503,5597,5454,7770,7409,13359,12722,15611,14080,11831,11605,11337,10631,10697,9455,9615,8465,8395,8526,6398,6757,4572,4557,4043,4592,3232,3427,2286,2522,1250,1518,549,695,219,425
满城县,2453,2146,8924,8097,13252,12635,22137,20976,20355,19254,14369,12312,16556,13542,19270,17417,16766,16555,14155,13869,14996,14626,11589,11435,7438,7218,6348,5633,5080,4645,3973,4379,2246,2819,967,1430,378,760
清苑县,3547,3043,12249,10481,21249,18916,37070,36621,31651,31628,23548,22855,21290,20170,27057,27352,24564,25144,20611,19985,22260,22087,17748,17325,11925,10717,9653,7757,7925,7485,6654,7821,4153,5348,2082,2872,1043,1694
涞水县,1686,1640,6442,6022,10124,9655,17748,17128,17342,16674,12524,11840,12178,11969,15631,15315,15448,14396,12478,11151,13209,12795,9910,9323,6643,6019,5452,4651,4581,4470,3238,3459,1780,2285,763,1139,320,555
阜平县,1319,1190,5185,4814,6437,6295,9292,9245,8437,8270,6376,6569,7402,7304,7756,7683,7959,7892,7734,6827,8086,7756,6752,6491,3509,3137,3536,2833,3534,2952,2625,2246,1505,1670,703,828,334,467
徐水县,3364,3032,12202,11043,15808,14786,33898,33075,30492,28908,21707,20634,21350,20517,25255,25721,22075,23578,17529,17816,20726,21116,15953,15907,11447,9409,9517,7056,7422,6623,5640,6594,3154,4365,1434,2374,616,1414
定兴县,3269,2676,12475,10520,22532,19735,31708,30441,25693,25976,19494,18801,20722,20295,24096,27334,20923,23993,16439,16159,20400,18947,15463,14423,11510,9241,8819,6625,7170,6823,5386,6371,3245,4471,1454,2321,653,1436
唐县,3610,3152,13935,12595,17975,16727,26916,26430,26202,25822,23489,21331,20750,19968,22350,22362,21811,21350,18428,17086,18200,17453,15477,15355,8553,8631,7862,7253,6973,6783,5313,5622,2713,3542,983,1647,376,890
高阳县,1931,1619,6542,5808,8129,7540,16209,15690,16350,17098,13267,13087,12041,11262,13842,14278,12583,12423,10877,10597,12514,11533,9361,8272,5691,5237,4697,3775,4615,4109,4099,4073,2270,2707,1257,1746,599,1122
容城县,1539,1162,5492,4145,8968,7492,14305,13711,12481,13525,9645,10355,9343,9173,10466,11088,9325,10338,7570,7545,8888,8790,6970,6575,5009,4214,4247,3150,3530,3109,2528,2909,1498,1961,736,1233,371,781
涞源县,1807,1654,6484,5750,7932,7063,11939,10826,9751,8986,9292,8676,13093,11310,13504,11307,12120,10093,10572,8160,10393,9030,8303,6831,4905,3847,4594,3625,4167,3436,3083,2695,1711,1698,727,858,265,303
望都县,1481,1238,5457,4735,6632,6062,14451,13558,15827,14544,9159,7882,9266,8518,11597,10865,10480,11273,9495,10084,9433,9892,7467,7024,4988,4529,4607,4106,3013,2915,2392,2973,1339,2018,567,958,264,547
安新县,2930,2470,9863,8451,13029,12126,20392,20037,18733,19219,18181,18391,15844,15988,19470,19485,14726,14758,12291,12037,14511,15625,10285,11731,6668,5852,5591,4973,5547,5217,4595,4574,2437,2700,1236,1570,558,910
易县,3059,2967,12320,11242,17451,16600,27811,26841,26727,25390,19452,19078,21305,21415,26705,26412,24799,22262,21702,18296,21635,19244,16835,15179,10635,9700,9482,7656,8338,7291,5560,5802,3247,3964,1287,2066,563,1081
曲阳县,3672,3257,12721,11379,18438,17244,31414,30274,29892,29443,24879,23098,22047,20129,22359,21877,21033,19923,18062,16625,18167,17319,14623,13928,8315,7700,7234,6607,6102,6239,4551,4998,2345,3122,829,1477,309,790
蠡县,3255,2564,11107,8309,17011,13747,28382,27253,27400,34560,27285,33687,19875,18579,20677,20375,17800,18675,15988,15474,17633,17315,14288,13351,8961,7562,6548,5316,6227,6094,5408,6151,3291,4312,1639,2546,797,1644
顺平县,1826,1693,6656,6205,7674,7403,14233,13339,13272,12743,10693,10175,11663,11248,13162,12767,12413,12068,11156,10283,11690,10753,9094,8796,5293,5394,5039,4593,4092,3990,3143,3382,1744,2361,738,1251,281,630
博野县,1681,1301,4873,4156,6847,6218,14426,13613,12412,12729,10260,9671,8506,8372,11677,11461,9517,9911,8324,8223,9177,8916,7217,7397,4696,4367,3824,3315,3305,3275,2705,3088,1500,2052,659,1111,328,664
雄县,2018,1664,7398,6214,12172,11021,18778,18442,15314,15091,13057,12989,11745,11807,15267,16052,13990,14317,10494,9985,11686,10964,8858,8702,6195,5797,5067,4214,4481,4398,3317,4044,1816,2543,907,1440,470,760
涿州市,3025,2741,11886,10643,13676,13120,27376,24578,30374,29186,18478,17930,22313,22720,25689,26882,24549,26053,20305,19987,22634,21370,16815,16763,11555,10598,9570,7848,7514,7548,5261,6259,3050,3792,1297,1919,467,983
定州市,7887,6776,27702,24471,36806,33827,61739,59153,52642,51560,47767,44021,44897,42547,48573,52536,44251,46782,39764,39443,40870,39729,32614,30316,21649,19208,17772,15274,14120,13952,10827,13372,5969,9013,2337,4329,1028,2380
安国市,2240,1973,7527,6439,11796,10331,19029,18005,19709,19773,15922,15540,14506,14411,16659,16706,14688,15354,12978,13827,14880,15706,12451,12383,8161,7343,6354,5151,5267,5058,3965,4769,2290,3358,1052,1799,470,960
高碑店市,3130,2576,11171,9446,19176,17561,31390,30316,27111,31539,20551,22897,19275,19773,26305,26870,22590,24097,17022,16339,19040,18491,14835,14306,10318,9029,8686,7126,6779,7051,5368,5798,3099,3925,1452,2182,729,1233
张家口市,25894,24246,91383,86053,142813,133901,204037,190739,141052,136663,115103,123069,167027,177004,213340,210260,206924,197933,182938,163082,178422,162370,129740,109865,95003,77436,96099,80012,77401,65604,50838,44347,28706,27005,11962,13093,4170,5501
桥东区,1633,1573,5192,4767,7353,7010,9544,9385,12570,11860,11121,10206,11430,12763,12703,13271,14157,14101,13403,13191,12540,12692,8198,8098,5618,5317,5102,5668,4500,4570,3137,3006,1745,1660,627,738,267,328
桥西区,1363,1241,4371,4161,6042,5755,8677,8115,10565,11385,8081,8490,9764,10596,10960,11478,12192,11654,11451,11046,10011,9897,6408,6082,4487,4377,4053,4673,3845,4089,2725,2926,1750,1906,831,846,324,432
宣化区,1799,1742,6674,6440,9471,9001,11207,10646,10815,10456,9551,9264,15738,16372,17294,16943,17900,16753,14561,13914,13467,13461,9153,8076,6083,6115,6483,6946,5082,4807,3203,2788,1560,1445,624,722,223,342
下花园区,332,297,1345,1212,1991,1945,2908,2731,1865,1656,1908,1737,2936,2828,3576,3414,3920,3388,3524,3182,3036,2705,1854,1817,1562,1424,1720,1655,1377,1310,886,730,463,399,161,200,56,84
宣化县,1688,1551,5951,5512,10715,9449,15654,13484,10700,9116,9366,9267,12399,11926,16007,15128,13644,13190,11614,10361,12661,10881,8805,6819,6897,5101,6732,4836,5398,4508,3314,3108,1974,1865,794,869,252,342
张北县,2052,1979,6591,6513,11207,11066,14175,14016,6938,8379,5626,8172,9533,11309,13478,14113,14882,14373,13237,12295,13353,12084,10439,9729,7244,6265,7917,6826,6318,4818,3700,3101,2024,1915,723,853,211,287
康保县,1580,1488,5072,4927,8049,8099,11004,11102,5709,6622,4326,5764,7665,8818,11427,11058,11572,10839,10758,9918,10480,9733,7771,7012,5136,4178,5625,4602,4198,3384,2511,2014,1355,1294,508,548,142,173
沽源县,1171,1130,3669,3476,6380,6163,9418,9030,4729,4752,3734,4450,6437,6461,9323,8329,9270,8523,8769,7781,8117,7947,5656,5522,3585,3024,4211,3639,3166,2540,2075,1618,1090,873,465,353,133,134
尚义县,1045,1032,3685,3617,6350,6318,7541,7498,4181,4735,2740,4021,5203,6451,7378,7750,7433,7596,6765,6298,7003,6810,5428,5074,3645,2866,4042,3325,3063,2579,1870,1462,1066,960,349,384,103,100
蔚县,2647,2308,11170,9930,18486,16348,22656,20892,15197,13574,13346,13368,20392,21396,24121,23036,20673,18222,16032,12127,18060,15257,14943,11055,11347,7628,10066,7180,7991,6159,5887,5046,3072,2883,1381,1765,536,882
阳原县,1866,1632,7432,6422,11636,10263,13374,11987,7357,6897,6544,7491,10795,12222,12730,13852,11246,11667,8989,7829,9671,8434,8079,5668,6717,4911,5896,4444,4706,3922,3355,2961,1965,1903,848,1032,288,465
怀安县,1396,1270,4824,4658,7447,7142,12691,11833,8354,8517,4816,5915,8010,9157,11097,12198,9518,10775,9377,8014,8935,7546,7215,5265,6246,4504,5520,4111,4303,3767,2627,2335,1682,1577,706,844,203,315
万全县,1368,1269,4849,4744,7205,6552,12346,10697,6787,5809,5136,5349,7810,8579,10617,10480,9253,10121,8045,7757,8299,7773,6386,4795,5039,3619,4789,3791,4008,3533,2717,2404,1680,1589,768,845,263,332
怀来县,1845,1838,6651,6431,10248,9668,18962,17743,11414,10491,10233,9939,13068,13322,16359,16541,16327,15357,14701,12523,13076,11659,8907,7526,6420,5891,6435,5425,5266,4713,3730,3466,2134,2138,995,1049,416,480
涿鹿县,1808,1690,6725,6300,9549,8861,16930,15343,11574,10658,9843,9475,13732,12704,18324,16075,17169,15650,14861,12208,14144,11886,9885,8442,7524,6087,7700,5659,6061,5184,3831,3218,2228,2063,1023,979,325,383
赤城县,1615,1471,4829,4653,6789,6488,11588,11026,9168,8564,6421,7323,8687,8521,12608,11021,11973,10354,11690,10063,10884,9309,7225,6058,4902,4039,6819,4939,5723,4065,3863,3056,2182,1877,884,830,355,319
崇礼县,686,735,2353,2290,3895,3773,5362,5211,3129,3192,2311,2838,3428,3579,5338,5573,5795,5370,5161,4575,4685,4296,3388,2827,2551,2090,2989,2293,2396,1656,1407,1108,736,658,275,236,73,103
承德市,20726,17852,78397,68307,113905,103351,173529,158183,136956,131294,99881,102493,133487,132958,170794,163017,175351,161660,161618,144757,130163,121659,77616,73569,55158,52416,66384,60081,54704,49841,39279,35211,20260,19025,7484,7443,2446,2866
双桥区,1313,1181,4469,4141,6998,6464,9792,9231,13549,16420,12973,13136,11880,12023,13256,12740,14448,13501,13671,12955,11343,11023,6033,5846,4400,4508,4569,5398,3944,4076,2841,2720,1330,1328,532,576,180,273
双滦区,544,496,1955,1839,2909,2760,3998,3689,2752,2325,3465,2908,5332,4850,5610,5123,5251,4641,4173,3919,3369,3411,2319,2425,1827,1886,2067,1965,1448,1339,819,768,428,411,153,152,56,73
鹰手营子矿区,338,331,1272,1185,2184,2056,3163,3147,1585,1427,1619,1714,3004,2954,4175,4026,4454,3640,3483,3186,2744,2566,1721,1730,1140,1537,1724,1684,1313,1160,775,644,382,333,114,135,35,55
承德县,2490,2267,9609,8448,14908,13167,26436,22605,18049,16052,12857,12222,18179,17005,23093,21592,23731,21364,23090,20781,18492,16532,10694,9658,6526,6141,8655,7664,7748,7287,5987,5272,2934,2911,1088,1045,349,417
兴隆县,1816,1744,6520,5995,9778,9223,17324,16316,10831,10005,9418,9351,11627,11569,14876,14741,16026,14912,15054,12920,13084,11374,8744,8023,4060,3945,5515,4798,5725,5035,3701,3345,2048,2099,743,930,262,384
平泉县,2828,2296,11843,10431,15773,14592,21141,18893,17188,16768,12684,12903,18495,18043,22008,21052,22158,21377,20892,19464,16579,16153,9778,9536,8227,7571,8634,7556,6741,6432,5413,5111,2890,2769,942,1010,308,438
滦平县,2076,1962,8006,7482,10526,10160,15933,15159,12252,11175,7903,8450,12580,12710,16511,15903,16695,15127,15311,13033,11687,9929,6963,6320,4855,4665,6383,5495,5598,5181,3864,3504,2038,1990,781,807,275,243
隆化县,2633,2004,9836,7471,13899,12134,19568,17313,17623,16212,10952,11521,14271,14286,19480,18415,19207,17726,17202,15437,13708,13300,8053,7730,6787,6290,8042,7078,5639,5034,4481,3980,2275,2046,883,763,255,239
丰宁满族自治县,2296,2037,8713,7788,12360,11243,17245,16159,13201,12134,9021,9247,13251,13168,18164,16684,18482,16529,16391,14122,12721,12274,8316,7941,6017,5733,7241,6532,6153,5219,4180,3825,2517,2098,1061,854,343,301
宽城满族自治县,1331,977,4551,3665,8791,7319,13497,11948,10708,9990,6693,6748,7615,7718,11096,10737,11101,10322,10588,9473,8730,8095,5697,5169,3084,2712,3857,3248,3829,3378,2660,2297,1402,1365,480,571,188,257
围场满族蒙古族自治县,3061,2557,11623,9862,15779,14233,25432,23723,19218,18786,12296,14293,17253,18632,22525,22004,23798,22521,21763,19467,17706,17002,9298,9191,8235,7428,9697,8663,6566,5700,4558,3745,2016,1675,707,600,195,186
沧州市,41476,34813,164310,133190,230359,202994,390907,365607,314300,306959,222919,215242,271164,268572,343533,334821,262060,272746,233663,231020,250138,249535,192318,188030,132219,119324,110789,95788,88468,86162,66751,72909,38031,45563,18373,23336,8499,12613
新华区,1213,1191,4633,4100,4935,4504,7428,7035,8018,7665,6313,6522,8776,9747,9306,9545,7842,7668,6505,6496,6420,6767,4855,5182,3467,3644,3146,3014,2326,2106,1524,1484,719,741,286,387,141,247
运河区,1866,1614,6328,5667,6593,6008,11262,10320,15331,17749,12906,11257,13776,13571,14209,12950,12184,11243,9881,9496,9622,9675,6428,6711,4598,4931,4130,3937,2907,2757,2080,2009,1006,1073,468,551,220,349
沧县,3931,3655,17008,13813,20592,18676,39001,36547,32641,30897,20639,20233,26951,27126,32703,31735,23730,25663,20881,21280,24538,26206,18973,18721,12515,10241,10294,8127,8613,8166,6581,7454,3940,4606,2092,2290,943,1112
青县,2218,1921,10241,8992,14286,12770,23511,22029,16304,16178,10299,9937,14636,15679,19427,19207,14459,16506,14126,14936,14681,15294,10809,10301,7847,6910,6734,5415,5268,4622,4180,4058,2401,2375,1220,1283,536,632
东光县,1940,1795,7512,6560,12331,11731,19333,18471,13733,13257,11286,11057,14857,14450,19014,17767,13433,14064,11555,11203,14148,14234,10684,10470,7060,5890,5897,5143,4960,4974,3408,3915,2032,2520,893,1234,378,618
海兴县,1384,1125,6634,4857,8247,7202,12233,11474,8157,7914,5413,5280,8422,8147,9738,9415,7262,7390,6834,6766,7105,7951,5493,5393,3807,3198,3188,2706,2949,2783,2302,2441,1299,1523,581,725,273,413
盐山县,2492,1958,9832,7325,16949,13975,25953,24539,18333,17823,12811,12924,15509,15008,21764,21265,15880,16559,14092,13518,14645,13643,11317,10937,7674,7132,5997,5404,5466,5282,4303,4421,2435,2582,1072,1114,474,545
肃宁县,1836,1590,5840,4887,10799,9432,20756,20323,15759,15147,11366,10379,12972,11980,15245,14953,13287,13444,12614,11511,12253,11373,9691,9010,6971,6240,5825,5166,4361,4451,3348,3986,1943,2727,963,1542,417,870
南皮县,2215,1690,9069,6944,13209,11321,18580,16502,14056,13950,10258,10493,12708,12236,19062,18470,13452,14816,11902,12123,13181,13026,10418,9894,6734,6173,5666,4970,4854,5037,3600,3931,2014,2319,984,1095,447,532
吴桥县,1549,1512,6113,5538,7944,7675,13149,12756,11850,11776,9223,9341,11404,10754,14699,13822,11673,11535,10641,9765,12477,11810,8984,8976,6522,5750,5420,5023,3996,4452,2627,3251,1622,2290,743,1148,288,595
献县,3321,2858,12347,10230,18857,17407,33009,32047,27651,27001,20181,19355,20169,19156,28675,27142,21451,21562,18679,18184,19556,18801,16055,15179,10914,9762,8123,6780,6830,6964,5305,6116,3225,4098,1357,2006,640,995
孟村回族自治县,1201,1014,6196,4297,8661,7085,10464,10133,8840,8641,5716,5504,6787,6423,8827,8884,6661,7392,5898,6395,6226,6390,4902,4464,3203,2977,2627,2394,2428,2448,2032,2125,1055,1189,593,637,259,336
泊头市,3461,2991,12479,10525,16526,14954,30904,27981,27395,27099,21014,20411,26516,25136,29735,29267,21999,22065,19347,18466,20659,20086,16273,16177,11222,10391,8856,7738,5823,6417,4220,5087,2319,3437,1038,1647,423,804
任丘市,4297,3676,15675,13422,24623,22079,48938,46545,39318,37940,25520,23349,28767,29037,37269,37348,30215,33456,26876,26954,29159,28445,23676,22511,16001,14383,14412,11968,10716,9583,7686,7977,4167,4921,2223,2847,1111,1810
黄骅市,3716,2272,17862,12209,21836,16054,29557,23949,18125,16991,13475,13475,20898,20992,25421,23803,18313,18706,16482,17749,17624,19741,12791,13649,9186,7927,7850,6660,7068,6278,5459,5639,3138,3269,1543,1743,784,1039
河间市,4836,3951,16541,13824,23971,22121,46829,44956,38789,36931,26499,25725,28016,29130,38439,39248,30219,30677,27350,26178,27844,26093,20969,20455,14498,13775,12624,11343,9903,9842,8096,9015,4716,5893,2317,3087,1165,1716
