表8    家庭户住房状况（全部数据、长表数据）,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
县市名,全 部 数 据,,,长    表    数    据  （户）,,,,,,,,,,,,,
,家庭户（户）,平均每户住房间数,人均住房建筑面积,家庭户,住房中有无厨房,,是否饮用自来水,,住房中有无洗澡设施,,住房中有无厕所,,住房来源,,,,
,,（间/户）,（平方米/人）,,有,    无    ,    是    ,    否    ,有,    无    ,有,    无    ,自建,购买,租用,其他,
,,,,,,,,,,,,,,,,,
衡水市,1123044,3.82,25.68,113433,107768,5665,104960,8473,30273,83160,107083,6350,104165,6668,1211,1389,
桃城区,116964,3.21,23.59,11729,10788,941,11674,55,5054,6675,10175,1554,6720,4091,534,384,
枣强县,102901,4.04,28.82,10468,9458,1010,10059,409,2815,7653,9422,1046,10094,237,76,61,
武邑县,88539,2.71,31.56,9038,8731,307,8573,465,1408,7630,8760,278,8705,205,67,61,
武强县,52858,3.55,22.31,5342,5245,97,5069,273,641,4701,5061,281,5021,232,18,71,
饶阳县,75283,4.25,21.36,7528,6921,607,7467,61,3343,4185,6828,700,7143,272,32,81,
安平县,85139,3.47,22.14,8550,7909,641,8355,195,4119,4431,8133,417,8158,257,45,90,
故城县,116809,4.71,23.82,11864,11583,281,9288,2576,2196,9668,11624,240,11589,152,57,66,
景县,132927,4.02,28.69,13574,13277,297,11555,2019,2834,10740,13266,308,13061,250,94,169,
阜城县,91107,3.46,28.28,9188,8695,493,7024,2164,928,8260,8423,765,8909,195,36,48,
冀州市,108324,3.69,22.69,10840,10456,384,10771,69,2244,8596,10578,262,10080,539,75,146,
深州市,152193,4.31,26.70,15312,14705,607,15125,187,4691,10621,14813,499,14685,238,177,212,
,,,,,,,,,,,,,,,,,
山西省,8650261,3.26,19.28,861053,612064,248989,567031,294022,77878,783175,733782,127271,604475,141001,71139,44438,
太原市,925336,2.62,18.36,91196,78433,12763,81194,10002,19666,71530,76381,14815,28919,39028,17976,5273,
小店区,124206,2.20,21.73,12216,11068,1148,10442,1774,3998,8218,10825,1391,3850,6066,1709,591,
迎泽区,139828,2.15,18.40,13712,11931,1781,13386,326,5081,8631,11351,2361,953,7799,3957,1003,
杏花岭区,161153,2.09,16.30,15925,13628,2297,15581,344,3803,12122,11887,4038,1600,8139,5019,1167,
尖草坪区,94342,2.65,18.81,9313,8401,912,9047,266,1399,7914,8016,1297,2643,4169,1885,616,
万柏林区,156802,2.12,17.10,15275,12976,2299,13605,1670,2911,12364,11632,3643,2839,8074,3785,577,
晋源区,46859,4.00,19.65,4704,4341,363,4427,277,896,3808,4248,456,2809,1229,534,132,
清徐县,77800,4.72,19.23,7687,7162,525,7470,217,800,6887,7472,215,6583,598,164,342,
阳曲县,40026,3.21,18.60,3839,3054,785,2220,1619,201,3638,3676,163,3031,490,88,230,
