21.市(不含市辖县)人口数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    总人口数,,,    市区人口数,,,    郊区人口数,,
    地区别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
  鄂城市,"    121,371","    65,675","    55,696","    92,257","    51,660","    40,597","    29,114","    14,015","    15,099"
  荆门市,"    112,738","    60,348","    52,390","    41,987","    23,284","    18,703","    70,751","    37,064","    33,687"
  随州市,"    132,814","    68,453","    64,361","    57,162",    30，820,"    26,342","    75,652","    37,633","    38,019"
  老河口市,"    101,438","    51,610","    49,828","    67,870","    35,874","    31,996","    33,568","    1 5,736","    17,832"
  恩施市,"    98,711","    52,419","    46,292","    57,300","    31,815","    25,485","    41,411","    20,604","    20,807"
湖南省,"    5,074,058","    2,682,316","    2,391,742","    3,549,748","    1,911,676","    1,638,072","    1,524,310","    770,640","    753,670"
  长沙市区,"    1,076,413","    564,740","    511,673","    833,655","    444,253","    389,402","    242,758","    120,487","    122,271"
  株洲市区,"    385,646","    207,354","    178,292","    310,433","    1 71,855","    138,578","    75,213","    35,499","    39,714"
  邵阳市,"    399,255","    207,585","    191,670","    399,255","    207,585","    191,670",-,-,-
  湘潭市,"    482,959","    254,61 7","    228,342","    482,959","    254,61 7","    228,342",-,-,-
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    总人口数,,,    市区人口数,,,    郊区人口数,,
    地区别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
,,,,,,,,,
  (续),,,,,,,,,
  衡阳市,"    527,039","    277,070","    249,969","    527,039","    277,070","    249,969",-,-,-
  岳阳市,"    980,747","    513,674",467073,"    166,758","    92,342","    74,416","    813,989","    421,332","    392,657"
  益阳市,"    163,240","    84,995","    78,245","    142,388","    74,940","    67,448","    20,852","    10,055","    10,797"
  常德市,"    204,125","    109,936","    94,189","    161,673","    89,660","    72,013","    42,452","    20,276","    22,1 76"
  津市市,"    84,215","    46,240","    37,975","    56,486","    29,708","    26,778","    27,729","    16,532","    11,197"
  娄底市,"    102,180","    58,840","    43,340","    68,884","    42,777","    26,107","    33,296","    16,063","    1 7,233"
  冷水江市,"    255,760","    134,955","    120,805","    85,335","    51,939","    33,396","    170,425","    83,016","    87,409"
  郴州市,"    167,088","    90,600","    76,488","    132,056","    73,781","    58,275","    35,032","    16,819","    18,213"
  永州市,"    81,201","    43,352","    37,849","    54,025","    30,032","    23,993","    27,1 76","    13,320","    13,856"
  怀化市,"    96,907","    54,139","    42,768","    74,723","    43,230","    31,493","    22,184","    10,909","    11,275"
  洪江市,"    67,283","    34,219","    33,064","    54,079","    27,887","    26,192","    13,204","    6,332","    6,872"
广东省,"    7,117,770","    3,663,932","    3,453,838","    4,265,305","    2,224,505","    2,040,800","    2,852,465","    1,439,427","    1,413,038"
  广州市区,"    3,148,281","    1,611,290","    1,536,991","    1,943,319","    1,001,174","    942,145","    1,204,962","    610,116","    594,846"
  韶关市区,"    344,888","    185,680","    159,208","    344,888","    185,680","    159,208",-,-,-
  深圳市区,"    113,599","      59,132","    54,467","    113,599","    59,132","    54,467",-,-,-
  珠海市,"    133,208","    66,332","    66,876","    133,208","    66,332","    66,876",-,-,-
  海口市,"    266,303","    138,048","    128,255","    184,466","    97,807","    86,659","    81,837","    40,241","    41,596"
  汕头市,"    722,805","    364,752","    358,053","    436,861","    222,067","    214,794","    285,944","    142,685","    143,259"
  潮州市,"    164,099","    82,932","    81,167","    133,837","    68,175","    65,662","    30,262","    14,757","    15,505"
  梅州市,"    109,647","    59,410","    50,237","    79,1 76","    45,375","    33,801","    30,471","    14,035","    16,436"
  惠州市,"    166,543","    84,591","    81,952","    103,274","    53,926","    49,348","    63,269","    30,665","    32,604"
  佛山市,"    285,540","    142,767","    142,773","    179,038","    91,040","    87,998","    106,502","    51,727","    54,775"
  江门市,"    216,097","    107,844","    108,253","    126,442","    64,908","    61,534","    89,655","    42,936","    46,719"
  肇庆市,"    169,799","    88,673","    81,126","    119,064","    63,972","    55,092","    50,735","    24,701","    26,034"
  湛江市,"    867,217","    457,421","    409,796","    283,835","    1 52,616","    131,219","    583,382","    304,805","    278,577"
  茂名市,"    409,744","    215,060","    194,684","    84,298","    52,301","    31,997","    325,446","    162,759",162687
广西壮族自治区,"    2,477,666","    1,290,598","    1,187,068","    1,551,771","    831,916","    71 9,855","    925,895","    458,682","    467,213"
  南宁市区,"    862,732","    450,823","    411,909","    518,316","    279,660","    238,656","    344,416","    171,163","    1 73,253"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    总人口数,,,    市区人口数,,,    郊区人口数,,
    地区别,,,,,,,,,
