,,,,,,,,,,,,,,,,,,,,,,,,
表5-4省、自治区、直辖市的县分性别和学业完成状况的各种文化程度人口数(第二口径),,,,,,,,,,,,    单位：人,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    学业完成状况,    中专,,,    高中,,,    初中,,,    小学,,
    学业完成状况,    合计,,,    大学本科,,,    大学专科,,,,,    和地区别,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
    和地区别,    合计,      男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,    3 999 750,    2 921 656,    1 078 094,  32 352 835,  22 644 590,    9 708 245,    173 523 382,    109 651 404,    63 871 978,    341 484 294,    178 994 863,    162 489 431
黑龙江省,    7 486 106,    4 268 687,    3 217 419,    4 819,    3 926,    893,    38 053,    27 605,    10 448,,,吉林省,    79 629,    56 631,    22 998,    509 827,    323 284,    186 543,    2 239 565,    1 352 432,    887 133,    3 275 015,    1 665 436,    1 609 579
上海市,    2 023 789,    1 116 193,    907 596,    9 876,    7 612,    2 264,    20 470,    14 824,    5 646,,,黑龙江省,    104 433,    67 571,    36 862,    712 218,    466 475,    245 743,    2 803 584,    1 740 903,    1 062 681,    3 822 999,    1 962 207,    1 860 792
江苏省,    21 490 304,    12 641 107,    8 849 197,    16 191,    14 271,    1 920,    82 550,    69 979,    12 571,,,上海市,    48 508,    28 063,    20 445,    262 808,    146 007,    116 801,    1 055 299,    571 655,    483 644,    626 828,    348 032,    278 796
浙江省,    10 397 318,    6 146 195,    4 251 123,    6 342,    5 613,    729,        28 552,    23 448,    5 104,,,江苏省,    193 146,    144 959,    48 187,    2 290 188,    1 601 234,    688 954,    9 919 648,    6 203 615,    3 716 033,    8 988 581,    4 607 049,    4 381 532
安徽省,    13 636 750,    8 828 482,    4 808 268,    11 180,    10 188,    992,    45 703,    40 092,    5 611,,,浙江省,    90 985,    66 518,    24 467,    849 166,    567 754,    281 412,    4 061 225,    2 461 945,    1 599 280,    5 361 048,    3 020 917,    2 340 131
福建省,    6 401 373,    4 133 400,    2 267 973,    13 251,    11 881,    1 370,    37 030,    31 405,    5 625,,,安徽省,    156 520,    127 612,    28 908,    846 106,    677 496,    168 610,    5 590 949,    4 050 848,    1 540 101,    6 986 292,    3 922 246,    3 064 046
江西省,    8 544 710,    5 383 747,    3 160 963,    10 652,    9 752,    900,    40 632,    36 236,    4 396,,,福建省,    121 237,    94 034,    27 203,    632 647,    484 238,    148 409,    1 857 104,    1 341 309,    515 795,    3 740 104,    2 170 533,    1 569 571
山东省,    28 270 467,    16 123 338,    12 147 129,    9 724,    8 596,    1 128,    58 408,    49 180,    9 228,,,江西省,    161 407,    128 401,    33 006,    822 069,    641 125,    180 944,    2 754 677,    1 963 745,    790 932,    4 755 273,    2 604 488,    2 150 785
河南省,    33 345 686,    18 837 896,    14 507 790,    19 594,    17 004,    2 590,    79 724,    65 149,    14 575,,,山东省,    242 024,    192 765,    49 259,    2 038 230,    1 502 926,    535 304,    11 518 014,    7 467 378,    4 050 636,    14 404 067,    6 902 493,    7 501 574
湖北省,    13 789 543,    8 154 718,    5 634 825,    8 033,    7 245,    788,    41 359,    35 547,    5 812,,,河南省,    232 321,    174 608,    57 713,    2 703 499,    1 903 410,    800 089,    15 289 562,    9 524 437,    5 765 125,    15 020 986,    7 153 288,    7 867 698
湖南省,        20 125 185,    11 510 543,    8 614 642,    9 939,    8 818,    1 121,    63 745,    52 962,    10 783,,,湖北省,    149 923,    116 276,    33 647,    1 332 193,    973 939,    358 254,    5 508 521,    3 595 374,    1 913 147,    6 749 514,    3 426 337,    3 323 177
广东省,    15 434 767,    8 968 721,    6 466 046,    6 511,    5 894,    617,    37 813,    32 992,    4 821,,,湖南省,    194 242,    141 450,    52 792,    1 829 125,    1 273 319,    555 806,    6 801 868,    4 124 960,    2 676 908,    11 226 266,    5 909 034,    5 317 232
广西壮族自治区,    15 588 441,    9 074 316,    6 514 125,    6 987,    6 193,    794,    30 941,      26 150,    4 791,,,广东省,    129 209,    102 294,    26 915,    1 426 103,    1 093 873,    332 230,    5 777 845,    3 668 628,    2 109 217,    8 057 286,    4 065 040,    3 992 246
海南省,    1 732 817,    1 045 376,    687 441,    1 939,    1 691,    248,    11 669,    10 034,    1 635,,,广西壮族自治区,    150 311,    114 280,    36 031,    1 233 957,    889 701,    344 256,    4 857 741,    3 119 993,    1 737 748,    9 308 504,    4 917 999,    4 390 505
四川省,    36 512 718,    20 837 702,    15 675 016,    14 703,      12 833,    1 870,    62 241,    51 370,    10 871,,,海南省,    30 719,    22 508,    8 211,    267 824,    195 369,    72 455,    727 056,    462 509,    264 547,    693 610,    353 265,    340 345
贵州省,    5 751 883,    3 954 173,    1 797710,    4 836,    3 961,    875,    15 020,    12 380,    2 640,,,四川省,    310 165,    229 024,    81 141,    1 554 099,    1 052 414,    501 685,    11 710 877,    7 309 087,    4 401 790,    22 860 633,    12 182 974,    10 677 659
